market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2,流通盘,circulating
0,000001,2219,11.03,11.05,11.05,11.11,11.01,11:29:53.388,11298898,-1103,435468,217,481527104.0,215266,220202,0,48659,11.03,11.04,13802,706,11.02,11.05,11396,6905,11.01,11.06,13250,5777,11.0,11.07,13946,6315,10.99,11.08,5480,19833,"(885,)",0,0,0,0,-0.08,2219,19405601250.0,18,1,20251028,19910403,19405918750.0,19660000.0,397290000000.0,1115820000000.0,0.0,0.0,18700.00004768372,57667640320000.0,0.0,79280000000.0,56840000000.0,453515.0,0.0,0.0,806370000000.0,5179299840000.0,1006680000000.0,545710000000.0,0.0,460970000000.0,162750000000.0,717830000000.0,-220430000000.0,0.0,459200000000.0,383390000000.0,383390000000.0,2680470080000.0,23.07999992370605,9.0,214043781787.5,214043781787.5
0,000002,2364,4.95,4.81,4.83,5.07,4.83,11:29:57.036,11299506,-495,2201975,70,1093437952.0,1029660,1172316,1,61109,4.94,4.95,10105,1640,4.93,4.96,12628,4477,4.92,4.97,11643,12381,4.91,4.98,12394,11701,4.9,4.99,21688,11356,"(6004,)",0,0,0,0,0.0,2364,9716399375.0,18,11,20251031,19910129,11930710000.0,20700000.0,-179432980000.0,2198948160000.0,0.0,2206512968.75,-23599.99895095825,11365945600000.0,7829856000000.0,201260660000.0,78403005000.0,493176.0,5996908160000.0,1252742400000.0,269267400000.0,1757558240000.0,1613884160000.0,1459202880000.0,95884040000.0,-240635360000.0,-29620190000.0,-58893480000.0,-234534080000.0,4230761600000.0,-257841280000.0,-282366580000.0,-280158360000.0,161220380000.0,14.730999946594238,9.0,48096176906.25,48096176906.25
0,000004,195,9.28,9.77,9.28,9.28,9.28,11:29:54.438,11299073,-928,2687,10,2493536.0,172,2515,0,3183,0.0,9.28,0,176757,0.0,9.29,0,259,0.0,9.3,0,122,0.0,9.31,0,1,0.0,9.32,0,1,"(52,)",0,0,0,0,0.0,195,126287802.734375,18,24,20260204,19901201,132380302.734375,18650000.0,-358267500.0,758943828.125,0.0,0.0,-2000.0000298023224,2605456093.75,1487138906.25,104964003.90625,251696992.1875,15236.0,1705986875.0,72962998.046875,12321915000.0,369476992.1875,510224023.4375,155399003.90625,462230000.0,-242540000.0,602781015.625,-123660996.09375,-173942011.71875,39596999.51171875,-342360000.0,-343110000.0,-270908007.8125,-13410381250.0,0.2790000140666961,9.0,1171950809.375,1171950809.375
0,000006,1618,9.27,8.98,9.18,9.53,9.16,11:29:54.444,11299074,-927,206757,7,193177584.0,103713,103044,0,24336,9.27,9.28,60,462,9.26,9.29,497,140,9.25,9.3,450,107,9.24,9.31,476,231,9.23,9.32,277,185,"(1269,)",0,0,0,0,0.0,1618,1349987343.75,18,11,20251030,19920427,1349995000.0,20700000.0,-5235375625.0,48276280000.0,0.0,0.0,-99.99999776482582,172693120000.0,154213410000.0,600637031.25,0.0,56467.0,86650410000.0,7825318750.0,4843215937.5,53967790000.0,22044715000.0,17958687500.0,465175000.0,232821992.1875,10164000.244140623,5012137812.5,-813067031.25,110733190000.0,258800996.09375,85747998.046875,-69970000.0,13841965000.0,3.997999906539917,9.0,12514382676.5625,12514382676.5625
0,000007,1361,12.25,11.82,11.87,12.45,11.75,11:29:52.656,11298776,-1225,96858,1,116969872.0,45995,50864,0,19740,12.24,12.25,135,548,12.23,12.26,10,271,12.22,12.27,59,8,12.21,12.28,300,193,12.19,12.29,14,21,"(3700,)",0,0,0,0,0.25,1361,346448007.8125,18,10,20251031,19920413,346448007.8125,20700000.0,31760900.87890625,1542256875.0,0.0,0.0,99.99999776482582,3705430937.5,2598828906.25,435443007.8125,945999.9847412108,12551.0,1599967031.25,144065000.0,1570240937.5,1826725937.5,2998466875.0,2659123125.0,550212031.25,28079001.46484375,1138000.030517578,2837065937.5,-257132011.71875,549862968.75,35642998.046875,24640000.0,34179001.46484375,-3279330937.5,0.5270000100135803,9.0,4243988095.703125,4243988095.703125
0,000008,1618,3.07,2.99,3.02,3.1,3.0,11:29:58.164,11299694,-307,360641,1,110075288.0,135207,225435,0,5847,3.07,3.08,2742,12461,3.06,3.09,7737,17398,3.05,3.1,12053,24313,3.04,3.11,6390,4554,3.03,3.12,4572,8762,"(3573,)",0,0,0,0,-0.31,1618,2716296875.0,7,8,20260203,19920507,2716377812.5,12370000.0,-1798562812.5,10896377500.0,0.0,0.0,-299.99999329447746,91102480000.0,36844165000.0,4585128125.0,1389798125.0,94401.0,41218872500.0,882328046.875,26269837500.0,29311870000.0,11364677500.0,8277296875.0,18438593750.0,-892844062.5,656260000.0,-402926015.625,-3210326875.0,7628618125.0,-809305000.0,-887070000.0,-872257031.25,-24945692500.0,1.0789999961853027,9.0,8339031406.25,8339031406.25
0,000009,1982,9.69,9.45,9.54,9.8,9.42,11:29:54.192,11299032,-969,255602,2,247502736.0,88378,167224,-1,14043,9.69,9.7,899,640,9.68,9.71,591,478,9.67,9.72,296,443,9.66,9.73,1197,232,9.65,9.74,908,789,"(309,)",0,0,0,0,-0.2,1982,2576020468.75,18,43,20260122,19910625,2579213906.25,19690000.0,3853800625.0,146357800000.0,0.0,0.0,1099.9999940395355,565794320000.0,312068100000.0,170991880000.0,16191372500.0,144700.0,177894200000.0,127870390000.0,14009301250.0,100781720000.0,168124580000.0,123451650000.0,63190180000.0,16001355000.0,2159240937.5,2496838125.0,-7934878750.0,122950610000.0,15904187500.0,13189156250.0,2832330937.5,57258430000.0,3.9079999923706055,9.0,24961638342.1875,24961638342.1875
0,000010,1425,3.64,3.55,3.54,3.84,3.5,11:29:57.822,11299637,-364,346702,16,126221576.0,125888,220814,0,9006,3.64,3.65,3342,2235,3.63,3.66,1454,3918,3.62,3.67,1766,3161,3.61,3.68,741,2971,3.6,3.69,1979,600,"(53,)",0,0,0,0,-0.26,1425,848033437.5,18,21,20251216,19951027,1149652265.625,14480000.0,-594307617.1875,3538041250.0,0.0,0.0,-299.99999329447746,27194105000.0,21016562500.0,54823999.0234375,17625999.755859375,34767.0,23266005000.0,447741015.625,21103560000.0,3264786875.0,4246812812.5,3909369062.5,15298285000.0,-222531015.625,-7787999.877929687,-411815000.0,-549964023.4375,1034025000.0,-271158007.8125,-305187011.71875,-319038984.375,-28424925000.0,0.2840000092983246,9.0,3086841712.5,3086841712.5
0,000011,1140,9.21,9.06,9.13,9.31,9.09,11:29:54.480,11299080,-921,56580,30,52120212.0,26454,30127,0,7459,9.2,9.21,554,140,9.19,9.22,119,266,9.18,9.23,322,100,9.17,9.24,599,55,9.16,9.25,180,438,"(4916,)",0,0,0,0,-0.1,1140,526475507.8125,18,11,20251030,19920330,595979101.5625,20700000.0,35810200.1953125,13178067500.0,67605200.1953125,0.0,500.0000074505806,153041960000.0,142511010000.0,427474023.4375,3370000.0,37276.0,46318395000.0,-1376573125.0,804880000.0,33937560000.0,17157720000.0,12862247500.0,6030171875.0,360598007.8125,7345000.0,-23751710000.0,3675944062.5,108231440000.0,480114023.4375,260592988.28125,322211015.625,25949710000.0,5.693999767303467,9.0,4848839426.953125,4848839426.953125
0,000012,1858,4.76,4.65,4.71,4.85,4.7,11:29:57.150,11299525,-476,316658,3,151710896.0,127222,189436,0,9062,4.76,4.77,7143,1601,4.75,4.78,5427,6217,4.74,4.79,1181,1435,4.73,4.8,1677,3768,4.72,4.81,432,2102,"(1461,)",0,0,0,0,-0.2,1858,1959316562.5,18,48,20260202,19920228,3070692187.5,12300000.0,7864497500.0,118368820000.0,1109369062.5,0.0,500.0000074505806,312696520000.0,94637340000.0,141625350000.0,22766105000.0,124681.0,99975190000.0,4554615000.0,5907394375.0,132496210000.0,104240140000.0,89774020000.0,21768655000.0,1208558984.375,-105180000.0,8324635000.0,-5150106875.0,16565397500.0,1365036093.75,1391630000.0,1503957031.25,81629205000.0,4.315000057220459,9.0,9326346837.5,9326346837.5
