日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-09-26,0.050468984546120955,9.47,8.96,9.88,0.048848661370782046,9.16,9.69,0.02777668979907199
2025-09-29,0.09192883879963312,9.47,8.96,9.88,0.048848661370782046,9.14,9.69,0.028762055471205812
2025-09-30,0.0856783224017427,9.45,8.96,9.88,0.048848661370782046,9.14,9.69,0.028762055471205812
2025-10-09,0.14244847936994884,9.45,8.96,9.88,0.048848661370782046,9.13,9.69,0.029749312365996098
2025-10-10,0.173877703297096,9.45,8.96,9.88,0.048848661370782046,9.13,9.69,0.029749312365996098
2025-10-13,0.11082140797491993,9.45,8.96,9.88,0.048848661370782046,9.11,9.69,0.030738465933438038
2025-10-14,0.17185462585329442,9.45,8.96,9.88,0.048848661370782046,9.11,9.69,0.030738465933438038
2025-10-15,0.2943024086286913,9.43,8.96,9.88,0.048848661370782046,9.11,9.69,0.030738465933438038
2025-10-16,0.17009723102133262,9.43,8.96,9.87,0.04793675911867648,9.11,9.69,0.030738465933438038
2025-10-17,0.078554898987912,9.43,8.96,9.87,0.04793675911867648,9.11,9.69,0.030738465933438038
2025-10-20,0.1436841331816183,9.43,8.96,9.87,0.04793675911867648,9.11,9.69,0.030738465933438038
2025-10-21,0.3456948361158301,9.43,8.98,9.87,0.046933027591535594,9.11,9.69,0.030738465933438038
2025-10-22,0.3623820426062461,9.42,8.98,9.87,0.046933027591535594,9.11,9.69,0.030738465933438038
2025-10-23,0.4499595556106003,9.42,8.98,9.87,0.046933027591535594,9.11,9.67,0.029806520332700672
2025-10-24,0.291726365465331,9.42,8.98,9.85,0.04601928875392942,9.11,9.67,0.029806520332700672
2025-10-27,0.10408906184452821,9.4,8.98,9.85,0.04601928875392942,9.11,9.67,0.029806520332700672
2025-10-28,0.05264498823437935,9.4,8.98,9.85,0.04601928875392942,9.09,9.67,0.03079763293285911
