ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
000001.SZ,20260210,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.5,28.39
000001.SZ,20260209,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.5,28.09
000001.SZ,20260206,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.5,27.78
000001.SZ,20260205,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.51,27.31
000001.SZ,20260204,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.51,16.33
000001.SZ,20260203,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.51,15.88
000001.SZ,20260202,0.2,21.2,10.4,10.8,11.4,12.0,12.8,11.52,15.25
000001.SZ,20260130,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.53,14.86
000001.SZ,20260129,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.53,14.49
000001.SZ,20260128,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.54,13.05
000001.SZ,20260127,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.55,12.1
000001.SZ,20260126,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.56,11.76
000001.SZ,20260123,0.2,21.2,10.4,11.0,11.4,12.0,12.8,11.56,11.34
000001.SZ,20260122,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.57,18.55
000001.SZ,20260121,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.57,18.06
000001.SZ,20260120,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.58,17.49
000001.SZ,20260119,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.58,17.01
000001.SZ,20260116,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.58,16.75
000001.SZ,20260115,0.2,21.2,10.2,11.0,11.4,12.0,12.8,11.59,27.52
000002.SZ,20260210,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.27,77.85
000002.SZ,20260209,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.27,77.18
000002.SZ,20260206,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.28,77.46
000002.SZ,20260205,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.28,76.76
000002.SZ,20260204,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.28,75.81
000002.SZ,20260203,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.3,22.12
000002.SZ,20260202,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.31,20.3
000002.SZ,20260130,0.2,32.0,4.6,4.6,4.8,5.0,6.6,5.32,71.69
000002.SZ,20260129,0.2,32.0,4.6,4.6,4.8,5.2,6.6,5.33,84.24
000002.SZ,20260128,0.2,32.0,4.6,4.6,4.8,5.2,6.8,5.34,74.03
000002.SZ,20260127,0.2,32.0,4.6,4.6,4.8,5.2,6.8,5.35,21.12
000002.SZ,20260126,0.2,32.0,4.6,4.6,4.8,5.4,6.8,5.36,71.68
000002.SZ,20260123,0.2,32.0,4.6,4.6,4.8,5.4,6.8,5.38,70.16
000002.SZ,20260122,0.2,32.0,4.6,4.6,4.8,5.6,6.8,5.39,68.61
000002.SZ,20260121,0.2,32.0,4.6,4.6,4.8,5.8,6.8,5.39,77.68
000002.SZ,20260120,0.2,32.0,4.6,4.6,4.8,6.0,6.8,5.42,25.6
000002.SZ,20260119,0.2,32.0,4.6,4.6,4.8,6.2,6.8,5.44,23.41
000002.SZ,20260116,0.2,32.0,4.6,4.6,4.8,6.2,6.8,5.45,22.16
000002.SZ,20260115,0.2,32.0,4.6,4.6,4.8,6.2,6.8,5.46,64.16
000004.SZ,20260210,8.4,14.0,10.4,10.8,11.7,12.4,12.8,11.61,1.15
000004.SZ,20260209,8.4,14.0,10.5,10.8,11.7,12.4,12.8,11.65,0.58
000004.SZ,20260206,8.4,14.0,10.5,10.8,11.7,12.4,12.8,11.67,0.55
000004.SZ,20260205,8.4,14.0,10.5,10.8,11.7,12.4,12.8,11.68,1.69
000004.SZ,20260204,8.4,14.0,10.5,10.9,11.8,12.4,12.8,11.68,14.64
000004.SZ,20260203,8.4,14.0,10.5,10.9,11.8,12.4,12.8,11.69,34.64
000004.SZ,20260202,8.4,14.0,10.5,10.9,11.8,12.4,12.8,11.69,61.37
000004.SZ,20260130,8.4,14.0,10.5,10.9,11.8,12.4,12.8,11.69,92.12
000004.SZ,20260129,8.4,14.0,10.5,10.8,11.7,12.4,12.8,11.64,69.32
000004.SZ,20260128,8.4,14.0,10.5,10.8,11.6,12.5,12.8,11.62,53.18
000004.SZ,20260127,8.4,14.0,10.5,10.8,11.4,12.5,12.9,11.58,73.87
000004.SZ,20260126,8.4,14.0,10.5,10.7,11.3,12.4,12.9,11.47,92.25
000004.SZ,20260123,8.4,14.0,10.5,10.7,11.2,12.0,12.4,11.31,98.2
000004.SZ,20260122,8.4,14.0,10.4,10.6,11.2,11.7,12.0,11.19,94.17
000004.SZ,20260121,8.4,14.0,10.4,10.6,11.1,11.6,12.1,11.15,77.45
