ts_code,trade_date,cost_5pct,cost_95pct,weight_avg,winner_rate
000001.SZ,20260327,10.4,12.8,11.38,43.0
000002.SZ,20260327,4.0,6.2,5.1,7.11
000006.SZ,20260327,8.3,10.1,9.22,31.9
000007.SZ,20260327,12.2,14.7,13.8,15.12
000008.SZ,20260327,2.6,3.2,2.93,6.68
000009.SZ,20260327,8.8,11.4,9.89,23.78
000010.SZ,20260327,4.1,4.8,4.43,17.09
000011.SZ,20260327,8.2,10.4,9.12,14.41
000012.SZ,20260327,4.4,5.1,4.8,21.42
000014.SZ,20260327,13.6,15.6,14.88,83.13
000016.SZ,20260327,3.0,4.0,3.33,56.64
000017.SZ,20260327,6.5,8.4,7.41,18.92
000019.SZ,20260327,7.0,7.9,7.51,78.92
000020.SZ,20260327,15.4,22.2,18.09,8.39
000021.SZ,20260327,27.0,33.2,30.22,10.49
001872.SZ,20260327,13.8,22.6,19.23,93.47
000025.SZ,20260327,15.6,19.6,18.11,8.41
000026.SZ,20260327,13.6,17.4,15.62,15.03
000027.SZ,20260327,6.4,8.1,7.11,93.38
000028.SZ,20260327,24.4,32.4,26.38,56.67
000029.SZ,20260327,19.2,32.4,24.02,5.6
000030.SZ,20260327,4.8,6.0,5.47,10.74
000031.SZ,20260327,2.8,4.0,3.46,16.32
000032.SZ,20260327,17.2,21.4,18.58,66.59
000034.SZ,20260327,33.2,40.4,37.12,24.27
000035.SZ,20260327,6.8,8.3,7.45,29.04
000036.SZ,20260327,4.6,6.2,5.27,60.16
000037.SZ,20260327,10.2,12.8,11.82,71.12
000039.SZ,20260327,9.6,13.5,11.78,32.65
000042.SZ,20260327,7.6,9.4,8.73,90.72
001914.SZ,20260327,9.8,14.4,11.79,8.02
000045.SZ,20260327,12.4,14.0,13.28,99.2
000048.SZ,20260327,15.9,21.3,19.03,82.35
000049.SZ,20260327,25.6,28.4,27.27,59.67
000050.SZ,20260327,7.8,10.4,9.6,10.35
000055.SZ,20260327,3.5,4.3,3.95,15.21
000056.SZ,20260327,1.8,2.2,1.92,50.12
000058.SZ,20260327,8.0,10.0,9.12,7.87
000059.SZ,20260327,5.2,6.4,5.85,28.5
000060.SZ,20260327,5.9,8.2,7.01,24.05
000061.SZ,20260327,7.8,10.4,9.38,4.62
000062.SZ,20260327,24.0,28.0,26.38,90.04
000063.SZ,20260327,32.4,40.8,36.84,6.75
000065.SZ,20260327,12.0,14.4,13.33,67.18
000066.SZ,20260327,14.6,17.4,16.16,14.56
000068.SZ,20260327,3.3,3.9,3.56,46.41
000069.SZ,20260327,2.1,2.8,2.65,6.7
000070.SZ,20260327,13.9,17.9,15.72,54.27
000078.SZ,20260327,2.9,3.8,3.14,61.62
000088.SZ,20260327,4.4,4.8,4.66,55.85
000089.SZ,20260327,6.6,7.4,7.14,10.68
000090.SZ,20260327,3.5,4.2,3.86,9.73
000096.SZ,20260327,10.0,12.8,11.22,22.84
000099.SZ,20260327,17.1,21.6,18.97,13.6
000100.SZ,20260327,4.2,5.0,4.7,15.12
000151.SZ,20260327,11.4,13.8,12.8,13.6
000153.SZ,20260327,6.0,6.8,6.53,31.27
000155.SZ,20260327,12.4,15.6,14.18,98.65
000156.SZ,20260327,7.2,9.6,8.51,10.67
000157.SZ,20260327,7.3,10.0,8.8,30.67
000158.SZ,20260327,17.2,21.8,20.09,8.28
000159.SZ,20260327,6.3,7.6,6.76,47.29
000301.SZ,20260327,8.4,23.4,12.71,39.04
000400.SZ,20260327,28.0,34.0,30.57,13.49
000401.SZ,20260327,4.4,6.0,5.26,39.77
000402.SZ,20260327,2.5,3.2,2.94,5.41
000403.SZ,20260327,13.0,18.2,14.58,7.23
000404.SZ,20260327,6.6,7.4,7.05,43.92
000407.SZ,20260327,4.7,5.6,5.06,37.4
000408.SZ,20260327,72.0,96.0,83.68,33.62
000409.SZ,20260327,9.8,12.0,10.66,50.67
000410.SZ,20260327,6.4,8.0,7.55,9.13
000411.SZ,20260327,10.5,13.8,12.14,12.72
000415.SZ,20260327,3.7,5.4,4.57,39.38
000417.SZ,20260327,6.5,8.7,7.63,19.15
000419.SZ,20260327,5.6,6.7,6.29,14.86
000420.SZ,20260327,4.4,5.3,4.8,67.77
000421.SZ,20260327,6.5,7.5,6.98,30.52
000422.SZ,20260327,16.0,19.6,17.24,67.47
000423.SZ,20260327,46.9,56.0,51.5,90.86
000425.SZ,20260327,10.1,12.7,11.36,13.67
000426.SZ,20260327,36.8,59.2,45.43,30.34
000428.SZ,20260327,3.4,4.0,3.83,91.97
000429.SZ,20260327,10.9,13.2,12.11,90.75
000498.SZ,20260327,5.6,6.3,6.11,12.39
000501.SZ,20260327,8.1,10.8,9.73,12.49
000503.SZ,20260327,7.2,11.2,9.41,8.24
000505.SZ,20260327,6.4,7.7,7.14,28.26
000506.SZ,20260327,15.4,22.0,17.95,27.86
