代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
002187,广百股份,8.97,10.0613,242330900.00000003,53.82743744643834,-27.698603942515852,A:机构锁仓,"中盘锁仓(市值62.9亿): 主力53.82743744643834%, 小单-27.698603942515852%"
002272,川润股份,17.88,10.0308,461835800.0,46.71716741551442,-21.820304006173945,A:机构锁仓,"中盘锁仓(市值69.1亿): 主力46.71716741551442%, 小单-21.820304006173945%"
001266,宏英智能,32.54,10.0068,47999399.99999999,45.14846623804873,-17.484526463093136,A:机构锁仓,"小盘锁仓(市值18.8亿): 主力45.14846623804873%, 小单-17.484526463093136%"
600178,东安动力,13.16,10.0334,117031399.99999997,33.8637723236103,-16.72762955303831,A:机构锁仓,"中盘锁仓(市值61.4亿): 主力33.8637723236103%, 小单-16.72762955303831%"
603332,苏州龙杰,13.79,9.9681,45419700.000000015,33.00368954911432,-16.86105837413189,A:机构锁仓,"小盘锁仓(市值29.8亿): 主力33.00368954911432%, 小单-16.86105837413189%"
002146,荣盛发展,1.73,10.1911,235531400.0,32.10680514091877,-18.49176313282256,A:机构锁仓,"中盘锁仓(市值67.7亿): 主力32.10680514091877%, 小单-18.49176313282256%"
603017,中衡设计,11.62,10.0379,62524700.000000015,32.036777751718404,-14.9062295540393,A:机构锁仓,"小盘锁仓(市值32.1亿): 主力32.036777751718404%, 小单-14.9062295540393%"
002177,御银股份,7.77,10.0567,421721099.99999994,30.71228791275873,-17.647080795581374,A:机构锁仓,"中盘锁仓(市值52.4亿): 主力30.71228791275873%, 小单-17.647080795581374%"
002261,拓维信息,33.77,10.0,1662885999.9999998,28.306658904356762,-14.391278295832524,A:机构锁仓,"中盘锁仓(市值386.9亿): 主力28.306658904356762%, 小单-14.391278295832524%"
000917,电广传媒,11.5,10.0478,195899200.00000003,28.23089941424637,-12.081433199182165,A:机构锁仓,"中盘锁仓(市值163.0亿): 主力28.23089941424637%, 小单-12.081433199182165%"
002591,恒大高新,8.2,10.0671,34381000.0,25.23004853061954,-9.723192956022302,A:机构锁仓,"小盘锁仓(市值18.3亿): 主力25.23004853061954%, 小单-9.723192956022302%"
002072,凯瑞德,7.72,9.9715,20376600.000000004,24.621142986956222,-11.570122330104104,A:机构锁仓,"小盘锁仓(市值22.9亿): 主力24.621142986956222%, 小单-11.570122330104104%"
002674,兴业科技,14.96,7.8587,68384499.99999999,24.153044614282518,-10.658109954653082,A:机构锁仓,"小盘锁仓(市值43.8亿): 主力24.153044614282518%, 小单-10.658109954653082%"
603116,红蜻蜓,6.3,9.9476,32196099.999999996,23.910263387784315,-13.248633119706883,A:机构锁仓,"小盘锁仓(市值36.3亿): 主力23.910263387784315%, 小单-13.248633119706883%"
002866,传艺科技,18.85,4.9555,151306300.0,22.793396571503706,-13.720330311825085,A:机构锁仓,"小盘锁仓(市值34.2亿): 主力22.793396571503706%, 小单-13.720330311825085%"
002413,雷科防务,10.37,9.9682,1018815399.9999998,22.687870527932784,-11.144444020949868,A:机构锁仓,"中盘锁仓(市值134.1亿): 主力22.687870527932784%, 小单-11.144444020949868%"
300582,英飞特,17.76,20.0,178748500.00000006,22.43321324742924,-9.328693129501149,A:机构锁仓,"小盘锁仓(市值39.3亿): 主力22.43321324742924%, 小单-9.328693129501149%"
000420,吉林化纤,4.65,9.9291,255426399.9999999,22.069963222220395,-9.065246569673638,A:机构锁仓,"中盘锁仓(市值114.3亿): 主力22.069963222220395%, 小单-9.065246569673638%"
001229,魅视科技,42.75,10.0103,43048499.999999985,21.634733173634448,-10.7249194825676,A:机构锁仓,"小盘锁仓(市值22.5亿): 主力21.634733173634448%, 小单-10.7249194825676%"
002767,先锋电子,22.65,6.1885,58816299.999999985,21.061919776675456,-10.674216451682568,A:机构锁仓,"小盘锁仓(市值29.5亿): 主力21.061919776675456%, 小单-10.674216451682568%"
600477,杭萧钢构,2.96,10.0372,87604699.99999997,20.59478512019246,-10.915849457442448,A:机构锁仓,"中盘锁仓(市值70.1亿): 主力20.59478512019246%, 小单-10.915849457442448%"
002465,海格通信,15.35,10.0358,674697800.0000001,20.450495458196887,-7.5422746173175,A:机构锁仓,"中盘锁仓(市值380.4亿): 主力20.450495458196887%, 小单-7.5422746173175%"
301237,和顺科技,58.34,19.9918,60841800.0,19.617602271194563,-5.431438751948044,A:机构锁仓,"小盘锁仓(市值38.4亿): 主力19.617602271194563%, 小单-5.431438751948044%"
003037,三和管桩,8.07,0.875,19989500.0,19.45235208660937,-9.382418401813162,A:机构锁仓,"小盘锁仓(市值48.3亿): 主力19.45235208660937%, 小单-9.382418401813162%"
301088,戎美股份,17.65,1.9642,23190299.999999996,19.31720261436754,-22.188839647643125,A:机构锁仓,"小盘锁仓(市值33.2亿): 主力19.31720261436754%, 小单-22.188839647643125%"
600828,茂业商业,6.3,9.9476,112824900.0,19.21176162372419,-11.01079693446251,A:机构锁仓,"中盘锁仓(市值109.1亿): 主力19.21176162372419%, 小单-11.01079693446251%"
603936,博敏电子,12.95,10.0255,245834200.00000003,18.894193104269963,-8.005988364656169,A:机构锁仓,"中盘锁仓(市值81.6亿): 主力18.894193104269963%, 小单-8.005988364656169%"
603458,勘设股份,9.49,9.9652,54219300.000000015,18.303603502127487,-6.477371744687242,A:机构锁仓,"小盘锁仓(市值29.1亿): 主力18.303603502127487%, 小单-6.477371744687242%"
300857,协创数据,148.75,1.8836,396271000.00000006,17.875260378502027,-13.179379483123288,A:机构锁仓,"大盘锁仓(市值513.4亿): 主力17.875260378502027%, 小单-13.179379483123288%"
003041,真爱美家,46.55,3.5595,101485800.0,17.731282463018957,-18.337235550428648,A:机构锁仓,"中盘锁仓(市值63.7亿): 主力17.731282463018957%, 小单-18.337235550428648%"
002875,安奈儿,17.17,3.5585,39988500.0,17.375318764764632,-8.575100113442186,A:机构锁仓,"小盘锁仓(市值31.3亿): 主力17.375318764764632%, 小单-8.575100113442186%"
002562,兄弟科技,6.58,4.2789,87530600.00000001,16.73388468935562,-17.3419057341791,A:机构锁仓,"小盘锁仓(市值46.2亿): 主力16.73388468935562%, 小单-17.3419057341791%"
300337,银邦股份,15.62,14.1813,449836300.0,16.623855230981498,-13.651632993238033,A:机构锁仓,"中盘锁仓(市值111.1亿): 主力16.623855230981498%, 小单-13.651632993238033%"
002627,三峡旅游,7.44,1.3624,25547100.0,16.577299472255785,-19.24703432351883,A:机构锁仓,"中盘锁仓(市值53.4亿): 主力16.577299472255785%, 小单-19.24703432351883%"
000948,南天信息,18.0,2.8571,39212400.0,16.346911643947053,-11.195260754655909,"A:机构锁仓,B:低位起爆","涨幅2.8571%, 主力流入3921万, 昨日流出-1312万 | 中盘锁仓(市值70.0亿): 主力16.346911643947053%, 小单-11.195260754655909%"
001326,,45.76,-1.2729,37083300.0,16.316176044091854,-26.397161973667504,A:机构锁仓,"小盘锁仓(市值11.0亿): 主力16.316176044091854%, 小单-26.397161973667504%"
601700,风范股份,6.16,10.0,78375000.00000001,16.040841384138673,-12.067501948156346,A:机构锁仓,"中盘锁仓(市值70.4亿): 主力16.040841384138673%, 小单-12.067501948156346%"
000700,模塑科技,12.63,10.0174,229190399.99999997,16.00973290590576,-6.808975929837137,A:机构锁仓,"中盘锁仓(市值115.9亿): 主力16.00973290590576%, 小单-6.808975929837137%"
301248,杰创智能,31.43,0.8665,48140899.99999999,15.592739762232977,-18.76311786776671,A:机构锁仓,"小盘锁仓(市值35.3亿): 主力15.592739762232977%, 小单-18.76311786776671%"
002015,协鑫能科,10.43,1.7561,62042799.999999985,15.528914757031117,-12.029009516930458,"A:机构锁仓,B:低位起爆","涨幅1.7561%, 主力流入6204万, 昨日流出-2050万 | 中盘锁仓(市值169.3亿): 主力15.528914757031117%, 小单-12.029009516930458%"
002169,智光电气,11.72,10.0469,140341800.00000003,15.504368022920879,-5.721330078478607,A:机构锁仓,"中盘锁仓(市值88.9亿): 主力15.504368022920879%, 小单-5.721330078478607%"
000659,珠海中富,3.88,9.915,59070699.99999998,15.159779085601546,-15.426733806044052,A:机构锁仓,"小盘锁仓(市值49.9亿): 主力15.159779085601546%, 小单-15.426733806044052%"
000652,泰达股份,4.31,2.619,21355100.000000004,15.143010402756243,-14.473969737294572,"A:机构锁仓,B:低位起爆","涨幅2.619%, 主力流入2136万, 昨日流出-1306万 | 中盘锁仓(市值63.5亿): 主力15.143010402756243%, 小单-14.473969737294572%"
300848,美瑞新材,16.01,8.1026,45864900.00000001,15.08190498492262,-18.947767541567153,A:机构锁仓,"小盘锁仓(市值40.5亿): 主力15.08190498492262%, 小单-18.947767541567153%"
300622,博士眼镜,31.0,2.108,63114500.00000001,14.87106915344863,-11.497360789019872,A:机构锁仓,"小盘锁仓(市值48.3亿): 主力14.87106915344863%, 小单-11.497360789019872%"
300682,朗新科技,15.69,1.2258,50259800.000000015,14.842370576988825,-17.356517507680834,"A:机构锁仓,B:低位起爆","涨幅1.2258%, 主力流入5026万, 昨日流出-2215万 | 中盘锁仓(市值161.9亿): 主力14.842370576988825%, 小单-17.356517507680834%"
600058,五矿发展,11.52,10.0287,106854900.00000001,14.730786352554645,-7.195021557251851,A:机构锁仓,"中盘锁仓(市值123.5亿): 主力14.730786352554645%, 小单-7.195021557251851%"
301586,,49.4,4.3735,16463399.999999996,14.553889396858526,-7.944375878782546,A:机构锁仓,"小盘锁仓(市值26.1亿): 主力14.553889396858526%, 小单-7.944375878782546%"
301261,恒工精密,86.72,6.6142,64690500.0,14.522382717069481,-5.049525218847574,A:机构锁仓,"小盘锁仓(市值32.5亿): 主力14.522382717069481%, 小单-5.049525218847574%"
001217,华尔泰,15.3,9.9928,76277300.0,14.435419994164839,-4.643665035637354,A:机构锁仓,"中盘锁仓(市值50.3亿): 主力14.435419994164839%, 小单-4.643665035637354%"
000987,越秀资本,8.4,9.9476,250422300.00000015,14.377387476547046,-6.479875295767306,A:机构锁仓,"中盘锁仓(市值421.2亿): 主力14.377387476547046%, 小单-6.479875295767306%"
688212,澳华内镜,43.4,-1.9209,16990800.000000004,14.308551911436949,-17.6473656084538,A:机构锁仓,"中盘锁仓(市值58.4亿): 主力14.308551911436949%, 小单-17.6473656084538%"
300179,四方达,15.63,3.0323,106446999.99999999,14.190072236368554,-12.644597178686185,A:机构锁仓,"中盘锁仓(市值58.5亿): 主力14.190072236368554%, 小单-12.644597178686185%"
002471,中超控股,6.89,10.0639,32574799.999999996,14.096103788325944,-7.2493580413175,A:机构锁仓,"中盘锁仓(市值92.5亿): 主力14.096103788325944%, 小单-7.2493580413175%"
300812,易天股份,29.18,0.0686,48635500.0,14.078272089754881,-23.003286692030873,A:机构锁仓,"小盘锁仓(市值27.1亿): 主力14.078272089754881%, 小单-23.003286692030873%"
003027,同兴科技,23.15,3.118,58276800.00000002,14.072220602293307,-16.593986063264555,A:机构锁仓,"小盘锁仓(市值24.3亿): 主力14.072220602293307%, 小单-16.593986063264555%"
300348,长亮科技,14.85,3.6288,96393300.0,13.649704227450329,-12.141151308873036,A:机构锁仓,"中盘锁仓(市值105.3亿): 主力13.649704227450329%, 小单-12.141151308873036%"
301053,远信工业,35.12,5.4655,13339799.999999996,13.027374889915075,-4.226245339030305,A:机构锁仓,"小盘锁仓(市值27.2亿): 主力13.027374889915075%, 小单-4.226245339030305%"
301633,,70.16,3.0855,10215200.000000002,13.01821119695132,-9.10810903600625,A:机构锁仓,"小盘锁仓(市值17.9亿): 主力13.01821119695132%, 小单-9.10810903600625%"
603353,和顺石油,27.3,9.9919,28506099.999999996,12.986155770574145,-6.8560429913592795,A:机构锁仓,"小盘锁仓(市值46.5亿): 主力12.986155770574145%, 小单-6.8560429913592795%"
301188,力诺药包,17.81,1.5973,12465100.000000002,12.969347045903495,-4.0745168483576295,A:机构锁仓,"小盘锁仓(市值42.6亿): 主力12.969347045903495%, 小单-4.0745168483576295%"
301373,凌玮科技,33.4,2.706,11792700.0,12.880514866707363,-9.004575085656564,"A:机构锁仓,B:低位起爆","涨幅2.706%, 主力流入1179万, 昨日流出-555万 | 小盘锁仓(市值12.8亿): 主力12.880514866707363%, 小单-9.004575085656564%"
002017,东信和平,22.21,3.5431,126031500.00000003,12.480819151242546,-11.483375602168342,A:机构锁仓,"中盘锁仓(市值128.8亿): 主力12.480819151242546%, 小单-11.483375602168342%"
300221,银禧科技,10.41,4.4132,74285400.0,12.403273852259629,-9.145914677289205,A:机构锁仓,"小盘锁仓(市值47.5亿): 主力12.403273852259629%, 小单-9.145914677289205%"
000159,国际实业,5.84,0.5164,11236399.999999998,12.26953375968263,-7.348136456730654,A:机构锁仓,"小盘锁仓(市值28.1亿): 主力12.26953375968263%, 小单-7.348136456730654%"
300229,拓尔思,19.2,1.9649,53148899.99999999,12.0453557211188,-10.19765283125396,A:机构锁仓,"中盘锁仓(市值167.6亿): 主力12.0453557211188%, 小单-10.19765283125396%"
300609,汇纳科技,39.83,5.1201,40176599.99999999,12.006469805519698,-7.345395692636295,A:机构锁仓,"小盘锁仓(市值47.8亿): 主力12.006469805519698%, 小单-7.345395692636295%"
002850,科达利,158.83,3.8105,154566200.00000006,11.963539063159574,-6.073768057327792,A:机构锁仓,"中盘锁仓(市值313.1亿): 主力11.963539063159574%, 小单-6.073768057327792%"
