market,code,name,signal_mode,rim_left_date,rim_left_price,rim_right_date,rim_right_price,bottom_date,bottom_low,cup_days,cup_depth,rim_diff,handle_days,handle_pullback,handle_high,breakout_date,breakout_close,dist_to_breakout,breakout_vol_ratio,bottom_vol_ratio,left_neg_ratio,right_pos_ratio,score,reason
1,600671,天目药业,setup,20250828,20.4,20260304,20.34,20251215,16.47,120,0.20607375271149683,0.002941176470588173,4,0.020873786407766975,21.88,20260310,21.77,0.005052824988516225,0.3322526530925994,0.27523422761982674,0.5070422535211268,0.5510204081632653,79.52988504769858,杯底+杯柄临近突破
0,002875,安奈儿,setup,20251015,19.41,20260226,19.41,20251217,15.26,88,0.21743589743589745,0.0,8,0.09641025641025636,19.74,20260310,19.62,0.006116207951070152,0.4994068709925025,0.3525838455195204,0.6222222222222222,0.4883720930232558,76.58796387465968,杯底+杯柄临近突破
1,600233,圆通速递,setup,20250919,19.63,20260227,19.61,20251118,15.85,101,0.2184418145956608,0.0010188487009678846,7,0.07853926963481725,19.68,20260310,19.43,0.01286670097786935,0.625170378562738,0.6388506698622866,0.6388888888888888,0.5384615384615384,76.2885801351626,杯底+杯柄临近突破
0,000582,北部湾港,setup,20250414,10.8,20260226,10.77,20250804,8.11,210,0.2742729306487697,0.002777777777777883,8,0.015668202764976952,11.75,20260310,11.62,0.01118760757314985,0.8095299943881418,0.08253738284153356,0.5526315789473685,0.5522388059701493,75.47730858115777,杯底+杯柄临近突破
0,300407,凯发电气,setup,20251112,14.09,20260227,14.05,20251231,11.21,69,0.23455104131102758,0.002838892831795539,7,0.10183875530410193,14.58,20260310,14.41,0.01179736294240108,0.606709362821363,0.49691572167763703,0.6571428571428571,0.6176470588235294,75.26639934456982,杯底+杯柄临近突破
1,603797,联泰环保,setup,20250725,5.17,20260226,5.16,20250923,4.31,140,0.17904761904761912,0.001934235976789127,8,0.054263565891472916,5.19,20260310,5.17,0.003868471953578423,0.5650527441840891,0.3461319603907333,0.6190476190476191,0.5204081632653061,75.06627595614512,杯底+杯柄临近突破
0,301386,未来电器,setup,20251107,27.78,20260203,27.98,20251217,22.62,60,0.21417404898384573,0.0071479628305932555,19,0.07209136331192004,29.38,20260310,29.25,0.004444444444444473,0.744795032084635,0.22877269856665203,0.5357142857142857,0.59375,74.91046472839389,杯底+杯柄临近突破
1,688355,明志科技,setup,20250818,20.78,20260305,20.98,20251217,16.41,129,0.22776470588235292,0.009532888465204923,3,0.02877358490566035,22.2,20260310,22.06,0.006346328195829587,0.7102953888602688,0.49242482977091556,0.5308641975308642,0.5416666666666666,74.53945998527772,杯底+杯柄临近突破
0,001378,德冠新材,setup,20241212,25.18,20260209,25.17,20250409,18.9,282,0.2525212576626459,0.0003971405877679909,15,0.03838543727740399,26.47,20260310,26.23,0.009149828440716767,0.5064998803258038,0.7743242443958124,0.4868421052631579,0.558252427184466,74.12719785680636,杯底+杯柄临近突破
1,600753,*ST海钦,setup,20251128,8.68,20260209,8.68,20251217,7.69,49,0.1256395679363274,0.0,15,0.02857142857142857,11.36,20260310,11.36,0.0,0.4311829583876539,0.6128374820060551,0.6923076923076923,0.5833333333333334,73.71083421049146,杯底+杯柄临近突破
0,002652,扬子新材,setup,20250801,4.2,20260211,4.26,20250923,3.31,130,0.22391559202813607,0.01408450704225343,13,0.048498845265588904,5.05,20260310,4.99,0.012024048096192397,0.5629486507687773,0.40878460853220977,0.5675675675675675,0.5268817204301075,73.58085243966052,杯底+杯柄临近突破
0,300838,浙江力诺,setup,20250318,17.08,20260225,17.11,20250620,13.15,227,0.23546511627906988,0.001753360607831744,9,0.1034682080924856,17.16,20260310,16.91,0.014784151389710232,0.5211600636973411,0.5053115327565955,0.5714285714285714,0.5426829268292683,73.55583220424701,杯底+杯柄临近突破
1,688067,爱威科技,setup,20251106,29.35,20260226,29.29,20251217,23.15,72,0.2132540356839423,0.002044293015332275,8,0.10305084745762709,29.34,20260310,29.23,0.003763256927813874,0.6743064303050785,0.7617065832549139,0.6206896551724138,0.5813953488372093,73.48075496052134,杯底+杯柄临近突破
0,300958,建工修复,setup,20250729,14.72,20260226,14.8,20251217,11.87,138,0.20655080213903754,0.00540540540540541,8,0.09200805910006722,14.76,20260310,14.66,0.006821282401091366,0.3926337858216632,0.33429538453615215,0.4421052631578947,0.5813953488372093,73.35176167353417,杯底+杯柄临近突破
1,688296,和达科技,setup,20251118,16.35,20260227,16.38,20251217,12.55,65,0.24850299401197615,0.001831501831501684,7,0.12559523809523815,16.31,20260310,16.15,0.009907120743034126,0.5321829096824657,0.571826771823127,0.6666666666666666,0.6363636363636364,73.32674900663476,杯底+杯柄临近突破
0,000951,中国重汽,setup,20250328,20.59,20260302,20.53,20251127,16.3,222,0.21878744308650855,0.0029140359397765284,6,0.09160671462829736,22.26,20260310,22.2,0.002702702702702897,0.9432732336409967,0.44526499150288246,0.5153374233128835,0.5932203389830508,73.26730043235042,杯底+杯柄临近突破
0,002696,百洋股份,setup,20251119,7.91,20260122,7.88,20251215,6.52,44,0.17520556609740678,0.0037926675094817003,27,0.07974683544303807,7.94,20260310,7.84,0.012755102040816313,0.49452838961626316,0.2472463327386114,0.5,0.6153846153846154,73.04072730351857,杯底+杯柄临近突破
