ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason,chip_concentration,winner_rate,price_position_pct,cost_5pct,cost_95pct,weight_avg
300904.SZ,威力传动,20260313,10:57,65.3,63.39,-2.924961715160791,65.01,-0.44410413476262184,10:02,32,71.01,8.744257274119462,0.0,0.0,0.0,0.0,8.744257274119462,前30分钟回撤-2.92%，随后站上开盘价并稳住,13.908872901678663,88.75,141.3793103448275,58.5,67.2,62.55
600930.SH,华电新能,20260313,10:57,6.42,6.33,-1.4018691588785024,6.34,-1.2461059190031165,10:09,39,6.85,6.697819314641739,0.0,0.0,0.0,0.0,6.697819314641739,前30分钟回撤-1.40%，随后站上开盘价并稳住,8.130081300813007,97.26,187.9999999999999,5.9,6.4,6.15
301272.SZ,英华特,20260313,10:57,43.48,43.0,-1.1039558417663222,43.35,-0.2989880404783704,10:26,56,46.38,6.669733210671587,0.0,0.0,0.0,0.0,6.669733210671587,前30分钟回撤-1.10%，随后站上开盘价并稳住,11.48369315571888,49.89,112.39999999999995,41.2,46.2,43.54
300129.SZ,泰胜风能,20260313,10:57,14.7,14.22,-3.265306122448971,14.33,-2.5170068027210832,10:17,47,15.22,3.537414965986404,0.0,0.0,0.0,0.0,3.537414965986404,前30分钟回撤-3.27%，随后站上开盘价并稳住,10.660980810234541,95.3,138.66666666666669,13.2,14.7,14.07
002848.SZ,*ST高斯,20260313,10:57,12.71,12.5,-1.6522423288749082,12.58,-1.0228166797797071,10:10,40,13.15,3.4618410700235995,0.0,0.0,0.0,0.0,3.4618410700235995,前30分钟回撤-1.65%，随后站上开盘价并稳住,14.93775933609959,89.04,114.44444444444444,11.0,12.8,12.05
688678.SH,福立旺,20260313,10:57,25.27,24.91,-1.4246141669964363,25.2,-0.2770083102493086,10:01,31,25.6,1.3058963197467426,1.0,1.0,0.0,1.2,2.5058963197467428,前30分钟回撤-1.42%，随后站上开盘价并稳住,14.652014652014644,66.49,82.2222222222222,22.6,26.2,24.57
301456.SZ,盘古智能,20260313,10:57,31.65,31.13,-1.6429699842022103,31.26,-1.2322274881516495,10:16,46,32.32,2.1169036334913165,0.0,0.0,0.0,0.0,2.1169036334913165,前30分钟回撤-1.64%，随后站上开盘价并稳住,10.389610389610388,87.83,97.50000000000006,29.2,32.4,30.8
001382.SZ,新亚电缆,20260313,10:57,22.2,21.95,-1.1261261261261262,22.04,-0.7207207207207215,10:17,47,22.53,1.4864864864864948,0.0,0.0,0.0,0.0,1.4864864864864948,前30分钟回撤-1.13%，随后站上开盘价并稳住,6.392694063926951,90.59,120.71428571428562,20.9,22.3,21.9
002219.SZ,新里程,20260313,10:57,2.48,2.44,-1.6129032258064528,2.46,-0.8064516129032264,10:08,38,2.51,1.209677419354831,0.0,0.0,0.0,0.0,1.209677419354831,前30分钟回撤-1.61%，随后站上开盘价并稳住,11.952191235059772,56.01,66.66666666666666,2.3,2.6,2.51
002418.SZ,康盛股份,20260313,10:57,4.97,4.87,-2.012072434607639,4.94,-0.6036217303822808,10:07,37,5.03,1.2072434607645974,0.0,0.0,0.0,0.0,1.2072434607645974,前30分钟回撤-2.01%，随后站上开盘价并稳住,8.113590263691673,48.87,82.50000000000013,4.7,5.1,4.93
601528.SH,瑞丰银行,20260313,10:57,5.55,5.51,-0.7207207207207215,5.53,-0.3603603603603527,10:10,40,5.61,1.0810810810810902,0.0,0.0,0.0,0.0,1.0810810810810902,前30分钟回撤-0.72%，随后站上开盘价并稳住,9.140767824497258,76.16,62.0000000000001,5.3,5.8,5.47
002256.SZ,兆新股份,20260313,10:57,3.98,3.91,-1.758793969849242,3.94,-1.0050251256281415,10:02,32,4.02,1.0050251256281304,0.0,0.0,0.0,0.0,1.0050251256281304,前30分钟回撤-1.76%，随后站上开盘价并稳住,10.498687664041991,74.74,102.49999999999994,3.6,4.0,3.81
600926.SH,杭州银行,20260313,10:57,16.97,16.9,-0.4124926340601078,16.94,-0.17678255745431695,10:04,34,17.14,1.0017678255745535,0.0,0.0,0.0,0.0,1.0017678255745535,前30分钟回撤-0.41%，随后站上开盘价并稳住,12.1638924455826,99.04,128.42105263157887,14.7,16.6,15.62
301259.SZ,艾布鲁,20260313,10:57,35.32,34.63,-1.9535673839184535,34.91,-1.1608154020385155,10:15,45,35.66,0.9626274065685059,0.0,0.0,0.0,0.0,0.9626274065685059,前30分钟回撤-1.95%，随后站上开盘价并稳住,11.239112110143298,41.01,62.5,33.2,37.2,35.59
600365.SH,ST通葡,20260313,10:57,3.25,3.23,-0.6153846153846159,3.24,-0.30769230769230116,10:02,32,3.28,0.9230769230769171,0.0,0.0,0.0,0.0,0.9230769230769171,前30分钟回撤-0.62%，随后站上开盘价并稳住,14.925373134328357,65.84,51.99999999999996,3.0,3.5,3.35
