ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
301302.SZ,华如科技,20260306,10:20,31.86,30.95,-2.85624607658506,31.2,-2.0715630885122414,10:00,30,33.95,6.559949780288774,0.6,0.0,1.0,0.72,7.279949780288773,前30分钟回撤-2.86%，随后站上开盘价并稳住
300936.SZ,中英科技,20260306,10:20,45.97,45.63,-0.7396127909506119,45.92,-0.10876658690449675,10:01,31,47.33,2.958451163802479,0.6,0.0,1.0,0.72,3.678451163802479,前30分钟回撤-0.74%，随后站上开盘价并稳住
002149.SZ,西部材料,20260306,10:20,48.53,47.74,-1.627859056253862,48.17,-0.7418091901916329,10:03,33,49.94,2.9054193282505594,0.6,0.0,1.0,0.72,3.625419328250559,前30分钟回撤-1.63%，随后站上开盘价并稳住
300499.SZ,高澜股份,20260306,10:20,38.5,38.2,-0.7792207792207718,38.37,-0.3376623376623443,10:03,33,38.88,0.9870129870129937,1.6,1.0,1.0,1.92,2.9070129870129935,前30分钟回撤-0.78%，随后站上开盘价并稳住
600118.SH,中国卫星,20260306,10:20,92.5,91.68,-0.8864864864864791,92.43,-0.07567567567566831,10:01,31,94.48,2.140540540540545,0.6,0.0,1.0,0.72,2.860540540540545,前30分钟回撤-0.89%，随后站上开盘价并稳住
301079.SZ,邵阳液压,20260306,10:20,43.28,42.61,-1.5480591497227396,43.14,-0.3234750462107222,10:01,31,44.36,2.4953789279112715,0.0,0.0,0.0,0.0,2.4953789279112715,前30分钟回撤-1.55%，随后站上开盘价并稳住
600791.SH,京能置业,20260306,10:20,8.26,8.13,-1.5738498789346127,8.22,-0.48426150121064343,10:04,34,8.36,1.2106537530266301,1.0,1.0,0.0,1.2,2.4106537530266303,前30分钟回撤-1.57%，随后站上开盘价并稳住
600537.SH,亿晶光电,20260306,10:20,3.4,3.31,-2.6470588235294077,3.36,-1.176470588235295,10:02,32,3.48,2.35294117647059,0.0,0.0,0.0,0.0,2.35294117647059,前30分钟回撤-2.65%，随后站上开盘价并稳住
300092.SZ,科新机电,20260306,10:20,17.06,16.56,-2.9308323563892147,16.89,-0.9964830011723222,10:10,40,17.25,1.113716295427909,1.0,1.0,0.0,1.2,2.313716295427909,前30分钟回撤-2.93%，随后站上开盘价并稳住
001267.SZ,汇绿生态,20260306,10:20,36.31,35.2,-3.057009088405396,36.0,-0.8537592949600723,10:03,33,36.87,1.542274855411719,0.6,0.0,1.0,0.72,2.262274855411719,前30分钟回撤-3.06%，随后站上开盘价并稳住
688498.SH,源杰科技,20260306,10:20,845.75,824.68,-2.491279929057056,843.55,-0.26012415016258295,10:03,33,858.3,1.4838900384274258,0.6,0.0,1.0,0.72,2.203890038427426,前30分钟回撤-2.49%，随后站上开盘价并稳住
