ts_code,name,trade_date,asof_time,strategy_type,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
002335.SZ,科华数据,20260311,10:25,standard,69.82,68.01,-2.5923804067602236,69.68,-0.20051561157259576,10:09,39,72.02,3.1509596104268165,0.6,0.0,1.0,0.72,3.8709596104268167,"standard策略:前30分钟回撤-2.59%,随后站上开盘价并稳住"
002335.SZ,科华数据,20260311,10:25,deep_v,69.82,68.01,-2.5923804067602236,69.68,-0.20051561157259576,10:10,40,72.02,3.1509596104268165,0.6,0.0,1.0,0.72,3.8709596104268167,"deep_v策略:前30分钟回撤-2.59%,随后站上开盘价并稳住"
002300.SZ,太阳电缆,20260311,10:25,standard,11.66,11.2,-3.9451114922813106,11.64,-0.17152658662092257,10:02,32,11.87,1.8010291595197176,1.0,1.0,0.0,1.2,3.0010291595197174,"standard策略:前30分钟回撤-3.95%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:25,standard,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:02,32,16.8,2.4390243902439157,0.0,0.0,0.0,0.0,2.4390243902439157,"standard策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:25,deep_v,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:04,34,16.8,2.4390243902439157,0.0,0.0,0.0,0.0,2.4390243902439157,"deep_v策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
002986.SZ,宇新股份,20260311,10:25,standard,15.81,15.58,-1.4547754585705275,15.66,-0.948766603415562,10:06,36,16.17,2.277039848197351,0.0,0.0,0.0,0.0,2.277039848197351,"standard策略:前30分钟回撤-1.45%,随后站上开盘价并稳住"
002986.SZ,宇新股份,20260311,10:25,deep_v,15.81,15.58,-1.4547754585705275,15.66,-0.948766603415562,10:08,38,16.17,2.277039848197351,0.0,0.0,0.0,0.0,2.277039848197351,"deep_v策略:前30分钟回撤-1.45%,随后站上开盘价并稳住"
002729.SZ,好利科技,20260311,10:25,standard,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:01,31,19.81,2.218782249742001,0.0,0.0,0.0,0.0,2.218782249742001,"standard策略:前30分钟回撤-1.44%,随后站上开盘价并稳住"
002729.SZ,好利科技,20260311,10:25,deep_v,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:02,32,19.81,2.218782249742001,0.0,0.0,0.0,0.0,2.218782249742001,"deep_v策略:前30分钟回撤-1.44%,随后站上开盘价并稳住"
600956.SH,新天绿能,20260311,10:25,standard,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.3,2.0910209102091013,0.0,0.0,0.0,0.0,2.0910209102091013,"standard策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
600956.SH,新天绿能,20260311,10:25,deep_v,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.3,2.0910209102091013,0.0,0.0,0.0,0.0,2.0910209102091013,"deep_v策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
300979.SZ,华利集团,20260311,10:25,standard,46.89,46.7,-0.40520366815951747,46.86,-0.06397952655150595,10:09,39,47.87,2.0899978673491084,0.0,0.0,0.0,0.0,2.0899978673491084,"standard策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
300979.SZ,华利集团,20260311,10:25,volume_validated,46.89,46.7,-0.40520366815951747,46.86,-0.06397952655150595,10:09,39,47.87,2.0899978673491084,0.0,0.0,0.0,0.0,2.0899978673491084,"volume_validated策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
002558.SZ,巨人网络,20260311,10:25,standard,36.51,35.87,-1.7529443987948523,36.01,-1.3694878115584772,10:10,40,37.25,2.026841961106552,0.0,0.0,0.0,0.0,2.026841961106552,"standard策略:前30分钟回撤-1.75%,随后站上开盘价并稳住"
002993.SZ,奥海科技,20260311,10:25,standard,50.43,49.82,-1.2095974618282757,49.92,-1.011302795954785,10:08,38,51.37,1.8639698592107827,0.0,0.0,0.0,0.0,1.8639698592107827,"standard策略:前30分钟回撤-1.21%,随后站上开盘价并稳住"
002993.SZ,奥海科技,20260311,10:25,deep_v,50.43,49.82,-1.2095974618282757,49.92,-1.011302795954785,10:08,38,51.37,1.8639698592107827,0.0,0.0,0.0,0.0,1.8639698592107827,"deep_v策略:前30分钟回撤-1.21%,随后站上开盘价并稳住"
600470.SH,六国化工,20260311,10:25,standard,8.2,8.01,-2.3170731707317014,8.05,-1.8292682926829098,10:04,34,8.29,1.0975609756097544,0.6,0.0,1.0,0.72,1.8175609756097544,"standard策略:前30分钟回撤-2.32%,随后站上开盘价并稳住"
600470.SH,六国化工,20260311,10:25,deep_v,8.2,8.01,-2.3170731707317014,8.05,-1.8292682926829098,10:04,34,8.29,1.0975609756097544,0.6,0.0,1.0,0.72,1.8175609756097544,"deep_v策略:前30分钟回撤-2.32%,随后站上开盘价并稳住"
601001.SH,晋控煤业,20260311,10:25,standard,16.99,16.87,-0.7062978222483665,16.97,-0.11771630370806106,10:02,32,17.15,0.9417304296645095,0.6,0.0,1.0,0.72,1.6617304296645095,"standard策略:前30分钟回撤-0.71%,随后站上开盘价并稳住"
300374.SZ,中铁装配,20260311,10:25,standard,15.53,15.37,-1.030264005151321,15.52,-0.06439150032195613,10:04,34,15.78,1.6097875080489377,0.0,0.0,0.0,0.0,1.6097875080489377,"standard策略:前30分钟回撤-1.03%,随后站上开盘价并稳住"
300374.SZ,中铁装配,20260311,10:25,volume_validated,15.53,15.37,-1.030264005151321,15.52,-0.06439150032195613,10:04,34,15.78,1.6097875080489377,0.0,0.0,0.0,0.0,1.6097875080489377,"volume_validated策略:前30分钟回撤-1.03%,随后站上开盘价并稳住"
000723.SZ,美锦能源,20260311,10:25,standard,5.28,5.22,-1.1363636363636458,5.26,-0.3787878787878875,10:03,33,5.36,1.5151515151515165,0.0,0.0,0.0,0.0,1.5151515151515165,"standard策略:前30分钟回撤-1.14%,随后站上开盘价并稳住"
000723.SZ,美锦能源,20260311,10:25,deep_v,5.28,5.22,-1.1363636363636458,5.26,-0.3787878787878875,10:07,37,5.36,1.5151515151515165,0.0,0.0,0.0,0.0,1.5151515151515165,"deep_v策略:前30分钟回撤-1.14%,随后站上开盘价并稳住"
002364.SZ,中恒电气,20260311,10:25,standard,36.85,36.2,-1.763907734056984,36.26,-1.6010854816825058,10:12,42,37.14,0.7869742198100385,0.6,0.0,1.0,0.72,1.5069742198100384,"standard策略:前30分钟回撤-1.76%,随后站上开盘价并稳住"
600486.SH,扬农化工,20260311,10:25,standard,78.5,77.18,-1.6815286624203736,77.85,-0.8280254777070136,10:01,31,79.06,0.7133757961783468,0.6,0.0,1.0,0.72,1.4333757961783467,"standard策略:前30分钟回撤-1.68%,随后站上开盘价并稳住"
000027.SZ,深圳能源,20260311,10:25,standard,7.07,6.96,-1.5558698727015603,7.06,-0.141442715700151,10:01,31,7.17,1.4144271570014093,0.0,0.0,0.0,0.0,1.4144271570014093,"standard策略:前30分钟回撤-1.56%,随后站上开盘价并稳住"
000683.SZ,博源化工,20260311,10:25,standard,9.24,9.15,-0.9740259740259725,9.17,-0.7575757575757607,10:02,32,9.37,1.406926406926396,0.0,0.0,0.0,0.0,1.406926406926396,"standard策略:前30分钟回撤-0.97%,随后站上开盘价并稳住"
000683.SZ,博源化工,20260311,10:25,deep_v,9.24,9.15,-0.9740259740259725,9.17,-0.7575757575757607,10:02,32,9.37,1.406926406926396,0.0,0.0,0.0,0.0,1.406926406926396,"deep_v策略:前30分钟回撤-0.97%,随后站上开盘价并稳住"
301607.SZ,富特科技,20260311,10:25,standard,51.55,50.9,-1.260911736178465,51.37,-0.3491755577109597,10:06,36,51.65,0.19398642095053625,1.0,1.0,0.0,1.2,1.3939864209505362,"standard策略:前30分钟回撤-1.26%,随后站上开盘价并稳住"
301607.SZ,富特科技,20260311,10:25,deep_v,51.55,50.9,-1.260911736178465,51.37,-0.3491755577109597,10:07,37,51.65,0.19398642095053625,1.0,1.0,0.0,1.2,1.3939864209505362,"deep_v策略:前30分钟回撤-1.26%,随后站上开盘价并稳住"
601033.SH,永兴股份,20260311,10:25,standard,16.08,15.95,-0.80845771144278,16.07,-0.062189054726355796,10:00,30,16.3,1.3681592039801147,0.0,0.0,0.0,0.0,1.3681592039801147,"standard策略:前30分钟回撤-0.81%,随后站上开盘价并稳住"
600256.SH,广汇能源,20260311,10:25,standard,6.65,6.58,-1.0526315789473726,6.6,-0.7518796992481309,10:03,33,6.74,1.3533834586466142,0.0,0.0,0.0,0.0,1.3533834586466142,"standard策略:前30分钟回撤-1.05%,随后站上开盘价并稳住"
600256.SH,广汇能源,20260311,10:25,deep_v,6.65,6.58,-1.0526315789473726,6.6,-0.7518796992481309,10:03,33,6.74,1.3533834586466142,0.0,0.0,0.0,0.0,1.3533834586466142,"deep_v策略:前30分钟回撤-1.05%,随后站上开盘价并稳住"
601898.SH,中煤能源,20260311,10:25,standard,16.83,16.52,-1.8419489007724228,16.68,-0.8912655971479418,10:03,33,17.04,1.2477718360071353,0.0,0.0,0.0,0.0,1.2477718360071353,"standard策略:前30分钟回撤-1.84%,随后站上开盘价并稳住"
601898.SH,中煤能源,20260311,10:25,deep_v,16.83,16.52,-1.8419489007724228,16.68,-0.8912655971479418,10:09,39,17.04,1.2477718360071353,0.0,0.0,0.0,0.0,1.2477718360071353,"deep_v策略:前30分钟回撤-1.84%,随后站上开盘价并稳住"
600970.SH,中材国际,20260311,10:25,standard,11.03,10.85,-1.6319129646418833,10.96,-0.634632819582942,10:05,35,11.15,1.0879419764279328,0.0,0.0,0.0,0.0,1.0879419764279328,"standard策略:前30分钟回撤-1.63%,随后站上开盘价并稳住"
603978.SH,深圳新星,20260311,10:25,standard,24.46,24.36,-0.40883074407196,24.4,-0.24529844644318183,10:00,30,24.72,1.0629599345870728,0.0,0.0,0.0,0.0,1.0629599345870728,"standard策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
300569.SZ,天能重工,20260311,10:25,standard,6.77,6.73,-0.5908419497784217,6.75,-0.2954209748892109,10:03,33,6.84,1.0339734121122643,0.0,0.0,0.0,0.0,1.0339734121122643,"standard策略:前30分钟回撤-0.59%,随后站上开盘价并稳住"
301257.SZ,普蕊斯,20260311,10:25,standard,65.16,64.58,-0.890116635972987,64.85,-0.4757519950890152,10:00,30,65.82,1.0128913443830518,0.0,0.0,0.0,0.0,1.0128913443830518,"standard策略:前30分钟回撤-0.89%,随后站上开盘价并稳住"
301257.SZ,普蕊斯,20260311,10:25,deep_v,65.16,64.58,-0.890116635972987,64.85,-0.4757519950890152,10:00,30,65.82,1.0128913443830518,0.0,0.0,0.0,0.0,1.0128913443830518,"deep_v策略:前30分钟回撤-0.89%,随后站上开盘价并稳住"
