symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
000751,锌业股份,铅锌,20260413,-30.34,30日跌-30.3%,7.5,,5.35,0.94,2.22,75.43,1.67,,0,30日跌-30.3% 连续2日地量(<15.0%分位) 放量 阳线确认,000751.SZ
000603,盛达资源,铅锌,20260413,-27.81,30日跌-27.8%,8.33,,40.84,0.81,2.15,272.29,5.84,,0,30日跌-27.8% 连续2日地量(<15.0%分位) 放量 阳线确认,000603.SZ
000737,北方铜业,铜,20260413,-25.74,30日跌-25.7%,13.33,,13.85,0.95,1.71,263.78,4.48,,0,30日跌-25.7% 连续2日地量(<15.0%分位) 放量 阳线确认,000737.SZ
600497,驰宏锌锗,铅锌,20260413,-25.67,30日跌-25.7%,11.67,,8.34,1.34,1.66,420.37,6.94,,0,30日跌-25.7% 连续2日地量(<15.0%分位) 放量 阳线确认,600497.SH
920634,新威凌,铅锌,20260413,-25.57,30日跌-25.6%,4.17,,20.35,1.04,1.4,8.25,0.11,,0,30日跌-25.6% 连续2日地量(<15.0%分位) 放量 阳线确认,920634.BJ
600399,抚顺特钢,特种钢,20260413,-24.78,30日跌-24.8%,8.33,,5.86,0.34,1.72,115.57,1.99,,0,30日跌-24.8% 连续2日地量(<15.0%分位) 放量 阳线确认,600399.SH
002356,赫美集团,其他商业,20260413,-24.57,30日跌-24.6%,9.17,,3.5,0.57,2.15,45.89,0.98,,0,30日跌-24.6% 连续2日地量(<15.0%分位) 放量 阳线确认,002356.SZ
300123,亚光科技,半导体,20260413,-24.28,30日跌-24.3%,5.83,,6.27,0.16,1.7,62.73,1.07,,0,30日跌-24.3% 连续2日地量(<15.0%分位) 放量 阳线确认,300123.SZ
000060,中金岭南,铅锌,20260413,-24.13,30日跌-24.1%,8.33,,6.35,1.11,1.65,282.01,4.65,,0,30日跌-24.1% 连续2日地量(<15.0%分位) 放量 阳线确认,000060.SZ
301137,哈焊华通,机械基件,20260413,-24.07,30日跌-24.1%,5.83,,43.73,0.11,2.05,79.51,1.63,,0,30日跌-24.1% 连续2日地量(<15.0%分位) 放量 阳线确认,301137.SZ
300045,华力创通,IT设备,20260413,-23.74,30日跌-23.7%,7.5,,21.91,0.83,2.64,113.12,2.98,,0,30日跌-23.7% 连续2日地量(<15.0%分位) 放量 阳线确认,300045.SZ
000758,中色股份,铅锌,20260413,-23.61,30日跌-23.6%,6.67,,6.73,0.3,1.39,133.0,1.86,,0,30日跌-23.6% 连续2日地量(<15.0%分位) 放量 阳线确认,000758.SZ
002545,东方铁塔,农药化肥,20260413,-23.56,30日跌-23.6%,9.17,,22.9,0.53,1.05,258.81,2.73,,0,30日跌-23.6% 连续2日地量(<15.0%分位) 放量 阳线确认,002545.SZ
002829,星网宇达,航空,20260413,-23.52,30日跌-23.5%,8.33,,22.54,0.49,2.49,32.92,0.82,,0,30日跌-23.5% 连续2日地量(<15.0%分位) 放量 阳线确认,002829.SZ
301213,观想科技,软件服务,20260413,-23.51,30日跌-23.5%,10.0,,68.92,0.8,2.01,35.64,0.71,,0,30日跌-23.5% 连续2日地量(<15.0%分位) 放量 阳线确认,301213.SZ
