symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date
002903,宇环数控,0,2026-02-24,MA60,22.9335,23.8,25.31,3.891,3,1.04,2026-02-27
600742,富维股份,1,2026-02-24,High60,10.4,10.63,10.83,3.814,3,1.0327,2026-02-27
688260,昀冢科技,1,2026-02-24,MA60,32.1408,35.71,35.06,3.782,3,1.0644,2026-02-27
688151,华强科技,1,2026-02-24,High60,22.5,22.91,22.82,3.677,3,1.0036,2026-02-27
600227,赤天化,1,2026-02-24,MA60,2.5587,2.68,2.88,3.61,3,1.1178,2026-02-27
600110,诺德股份,1,2026-02-24,MA60,7.1708,7.43,8.39,3.565,3,1.1393,2026-02-27
600821,金开新能,1,2026-02-24,High60,6.59,6.72,7.39,3.351,2,0.9924,2026-02-27
002875,安奈儿,0,2026-02-24,High60,18.38,19.05,19.23,3.329,3,1.043,2026-02-27
301560,众捷汽车,0,2026-02-24,High60,39.58,40.74,42.95,3.198,3,1.0291,2026-02-27
603330,天洋新材,1,2026-02-24,MA60,7.5237,8.09,8.01,3.038,3,1.0646,2026-02-27
600791,京能置业,1,2026-02-24,High60,7.29,7.9,8.16,2.985,3,1.1111,2026-02-27
002205,国统股份,0,2026-02-24,MA60,14.2482,15.16,14.85,2.939,3,1.0394,2026-02-27
300218,安利股份,0,2026-02-24,MA60,16.4075,17.53,17.79,2.905,3,1.0782,2026-02-27
688800,瑞可达,1,2026-02-24,MA60,81.199,94.0,105.35,2.871,3,1.2003,2026-02-27
002632,道明光学,0,2026-02-24,MA60,12.7575,13.26,13.91,2.87,3,1.0582,2026-02-27
301291,明阳电气,0,2026-02-24,High60,53.45,60.54,57.95,2.869,3,1.0842,2026-02-27
603076,乐惠国际,1,2026-02-24,High60,26.59,27.18,27.11,2.821,3,1.0008,2026-02-27
301063,海锅股份,0,2026-02-24,High60,27.46,28.04,29.16,2.787,2,0.9989,2026-02-27
300862,蓝盾光电,0,2026-02-24,MA60,24.3643,25.35,24.79,2.681,3,1.0138,2026-02-27
301580,爱迪特,0,2026-02-24,High60,66.0,69.52,87.0,2.657,3,1.1485,2026-02-27
600479,千金药业,1,2026-02-24,High60,11.28,11.42,11.36,2.561,3,1.0071,2026-02-27
002797,第一创业,0,2026-02-24,MA60,6.9568,7.1,7.53,2.537,3,1.0436,2026-02-27
300812,易天股份,0,2026-02-24,High60,41.76,44.44,45.52,2.499,3,1.0345,2026-02-27
600148,长春一东,1,2026-02-24,MA120,20.2734,21.11,20.83,2.48,3,1.0275,2026-02-27
300319,麦捷科技,0,2026-02-24,High60,13.14,13.32,13.48,2.46,3,1.0259,2026-02-27
301015,百洋医药,0,2026-02-24,MA60,23.5408,24.21,23.79,2.424,3,1.0106,2026-02-27
000035,中国天楹,0,2026-02-24,MA60,5.8373,6.19,7.01,2.388,3,1.0913,2026-02-27
000801,四川九洲,0,2026-02-24,MA60,16.5558,17.25,17.31,2.381,3,1.0347,2026-02-27
688179,阿拉丁,1,2026-02-24,High60,18.49,18.85,18.63,2.351,2,0.9995,2026-02-27
688178,万德斯,1,2026-02-24,MA60,24.8713,25.75,25.97,2.326,3,1.0341,2026-02-27
603722,阿科力,1,2026-02-24,MA60,39.4182,40.77,39.53,2.31,3,1.0028,2026-02-27
002811,郑中设计,0,2026-02-24,MA60,14.8977,16.14,16.95,2.299,3,1.1378,2026-02-27
300545,联得装备,0,2026-02-24,MA60,31.9677,34.02,34.69,2.29,3,1.0526,2026-02-27
600765,中航重机,1,2026-02-24,High60,21.1,21.45,21.53,2.275,3,1.0204,2026-02-27
605208,永茂泰,1,2026-02-24,MA60,13.404,13.82,13.84,2.271,3,1.0198,2026-02-27
603688,石英股份,1,2026-02-24,High60,47.88,48.71,49.05,2.242,3,1.0244,2026-02-27
300739,明阳电路,0,2026-02-24,High60,23.1,25.03,32.31,2.24,3,1.2684,2026-02-27
601083,锦江航运,1,2026-02-24,MA60,11.516,11.94,12.53,2.227,3,1.0481,2026-02-27
002418,康盛股份,0,2026-02-24,MA60,4.7742,4.97,4.99,2.204,3,1.0326,2026-02-27
300408,三环集团,0,2026-02-24,High60,59.8,65.97,63.1,2.198,3,1.0552,2026-02-27
601798,蓝科高新,1,2026-02-24,MA120,9.5183,9.85,9.97,2.173,3,1.0275,2026-02-27
300523,辰安科技,0,2026-02-24,MA60,24.3898,25.7,24.5,2.166,3,1.0045,2026-02-27
688170,德龙激光,1,2026-02-24,High60,43.5,46.36,50.63,2.162,3,1.1639,2026-02-27
301217,铜冠铜箔,0,2026-02-24,High60,41.05,44.95,47.45,2.155,3,1.1559,2026-02-27
600726,华电能源,1,2026-02-24,MA60,2.4947,2.63,2.72,2.146,3,1.0583,2026-02-27
300505,川金诺,0,2026-02-24,High60,30.35,31.08,36.77,2.144,3,1.2049,2026-02-27
603002,宏昌电子,1,2026-02-24,High60,9.92,10.59,11.54,2.144,3,1.1633,2026-02-27
301469,恒达新材,0,2026-02-24,High60,38.49,40.8,38.19,2.128,2,0.9922,2026-02-27
601390,中国中铁,1,2026-02-24,MA60,5.4922,6.05,6.3,2.111,3,1.1198,2026-02-27
001258,立新能源,0,2026-02-24,MA60,7.4555,7.9,8.03,2.067,3,1.0516,2026-02-27
603005,晶方科技,1,2026-02-24,High60,33.26,34.1,34.09,2.013,3,1.0138,2026-02-27
002312,川发龙蟒,0,2026-02-24,MA60,11.5607,12.76,13.68,2.012,3,1.1781,2026-02-27
002136,安纳达,0,2026-02-24,MA60,12.6328,14.04,14.54,1.998,3,1.132,2026-02-27
301665,泰禾股份,0,2026-02-24,MA60,29.5137,32.07,32.12,1.979,3,1.0883,2026-02-27
300303,聚飞光电,0,2026-02-24,High60,7.57,7.82,9.22,1.967,3,1.0238,2026-02-27
301489,思泉新材,0,2026-02-24,MA60,180.0068,189.1,189.0,1.967,2,0.9959,2026-02-27
301281,科源制药,0,2026-02-24,High60,38.88,39.27,45.3,1.961,3,1.0756,2026-02-27
605289,罗曼股份,1,2026-02-24,High60,89.98,98.98,123.9,1.948,3,1.21,2026-02-27
300264,佳创视讯,0,2026-02-24,High60,9.43,10.42,10.48,1.924,3,1.1113,2026-02-27
000096,广聚能源,0,2026-02-24,MA60,10.756,11.11,10.96,1.922,3,1.0022,2026-02-27
603139,康惠股份,1,2026-02-24,High60,25.53,26.39,26.86,1.909,3,1.0419,2026-02-27
300875,捷强装备,0,2026-02-24,MA120,44.945,46.63,45.38,1.904,3,1.0097,2026-02-27
603209,兴通股份,1,2026-02-24,MA120,15.4385,15.89,16.23,1.894,3,1.0441,2026-02-27
000601,韶能股份,0,2026-02-24,MA120,5.1283,5.33,5.66,1.892,3,1.051,2026-02-27
300247,融捷健康,0,2026-02-24,MA60,5.0803,5.29,5.19,1.874,3,1.0216,2026-02-27
