symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date
000035,中国天楹,0,2026-02-24,MA60,5.8373,6.19,7.01,2.388,3,1.0913,2026-02-27
000801,四川九洲,0,2026-02-24,MA60,16.5558,17.25,17.31,2.381,3,1.0347,2026-02-27
001258,立新能源,0,2026-02-24,MA60,7.4555,7.9,8.03,2.067,3,1.0516,2026-02-27
000096,广聚能源,0,2026-02-24,MA60,10.756,11.11,10.96,1.922,3,1.0022,2026-02-27
000601,韶能股份,0,2026-02-24,MA120,5.1283,5.33,5.66,1.892,3,1.051,2026-02-27
000988,华工科技,0,2026-02-24,MA60,77.4227,82.42,89.86,1.765,3,1.1121,2026-02-27
000966,长源电力,0,2026-02-24,MA120,4.4316,4.62,4.8,1.75,3,1.0425,2026-02-27
000791,甘肃能源,0,2026-02-24,MA60,6.6572,6.8,7.71,1.744,3,1.0335,2026-02-27
000519,中兵红箭,0,2026-02-24,MA60,18.4978,19.68,20.28,1.651,3,1.0688,2026-02-27
002008,大族激光,0,2026-02-24,High60,55.26,58.83,72.3,1.64,3,1.1469,2026-02-27
000553,安道麦A,0,2026-02-24,MA60,5.9687,6.19,6.23,1.58,3,1.0337,2026-02-27
000039,中集集团,0,2026-02-24,High60,11.75,12.06,13.5,1.574,3,1.0494,2026-02-27
001289,龙源电力,0,2026-02-24,MA60,15.608,15.91,16.58,1.532,3,1.0129,2026-02-27
000902,新洋丰,0,2026-02-24,High60,17.72,17.96,18.3,1.517,3,1.0135,2026-02-27
