symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,signals,score,reason
601966,玲珑轮胎,1,20260302,15.17,-0.85,15.216,15.207,15.144,强势回调买 / 支撑确认买 / 金叉跟进买,8.875,强势回调买；支撑确认买；金叉跟进买
301301,川宁生物,0,20260302,11.12,-2.026,11.17,11.156,11.1095,强势回调买 / 支撑确认买 / 金叉跟进买,8.8468,强势回调买；支撑确认买；金叉跟进买
600368,五洲交通,1,20260302,4.03,-0.494,4.014,4.009,4.011,强势回调买 / 支撑确认买 / 金叉跟进买,8.7857,强势回调买；支撑确认买；金叉跟进买
600403,大有能源,1,20260302,7.16,-1.241,7.148,7.11,7.1,强势回调买 / 支撑确认买 / 金叉跟进买,8.7806,强势回调买；支撑确认买；金叉跟进买
300039,上海凯宝,0,20260302,6.39,-2.144,6.436,6.429,6.3795,强势回调买 / 支撑确认买 / 金叉跟进买,8.7527,强势回调买；支撑确认买；金叉跟进买
300915,海融科技,0,20260302,26.0,-0.269,26.024,25.999,25.71,强势回调买 / 支撑确认买 / 金叉跟进买,8.7467,强势回调买；支撑确认买；金叉跟进买
600717,天津港,1,20260302,4.8,-0.208,4.77,4.76,4.773,强势回调买 / 支撑确认买 / 金叉跟进买,8.6982,强势回调买；支撑确认买；金叉跟进买
603105,芯能科技,1,20260302,10.39,-1.423,10.344,10.341,10.2855,强势回调买 / 支撑确认买 / 金叉跟进买,8.6634,强势回调买；支撑确认买；金叉跟进买
002061,浙江交科,0,20260302,4.14,0.0,4.114,4.095,4.104,强势回调买 / 支撑确认买 / 金叉跟进买,8.635,强势回调买；支撑确认买；金叉跟进买
601000,唐山港,1,20260302,4.28,-1.155,4.236,4.229,4.2645,强势回调买 / 支撑确认买 / 金叉跟进买,8.6157,强势回调买；支撑确认买；金叉跟进买
002700,万憬能源,0,20260302,7.44,0.135,7.416,7.392,7.334,强势回调买 / 支撑确认买 / 金叉跟进买,8.6138,强势回调买；支撑确认买；金叉跟进买
000498,山东路桥,0,20260302,6.31,0.0,6.26,6.245,6.25,强势回调买 / 支撑确认买 / 金叉跟进买,8.5684,强势回调买；支撑确认买；金叉跟进买
002936,郑州银行,0,20260302,1.94,0.518,1.928,1.926,1.9165,强势回调买 / 支撑确认买 / 金叉跟进买,8.568,强势回调买；支撑确认买；金叉跟进买
300005,探路者,0,20260302,14.4,-1.974,14.3,14.232,14.2095,强势回调买 / 支撑确认买 / 金叉跟进买,8.5221,强势回调买；支撑确认买；金叉跟进买
002746,仙坛股份,0,20260302,6.46,0.0,6.398,6.381,6.3715,强势回调买 / 支撑确认买 / 金叉跟进买,8.4315,强势回调买；支撑确认买；金叉跟进买
001213,中铁特货,0,20260302,4.24,0.713,4.2,4.187,4.1765,强势回调买 / 支撑确认买 / 金叉跟进买,8.4102,强势回调买；支撑确认买；金叉跟进买
