symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date,close,open,chg_pct,limit_pct,is_limit_up,limit_up_streak,up_streak,yang_streak,ret_3d,ret_5d,ret_10d,hard_stop,dist_to_key_pct,in_pullback_zone,vol_ratio_prev,vol_ratio_ma20,ext_to_ma20_pct,category,strategy_hint,detail
600108,亚盛集团,1,2026-02-27,High60,3.95,3.97,5.29,2.424,3,1.1063,2026-03-04,5.29,4.82,9.98,10.0,1,4,4,1,33.25,45.33,52.89,3.871,33.92,0,0.775,3.354,40.13,连板情绪,按连板/断板分歧策略管理，不用MA60回踩框架,4连板(按10%板估算) | 连涨4天 | 连阳1天
600821,金开新能,1,2026-02-27,High60,6.98,7.39,7.87,3.318,3,1.0244,2026-03-04,7.87,7.1,10.07,10.0,1,1,1,1,6.5,20.34,35.92,6.8404,12.75,0,1.045,1.903,24.63,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按10%板估算) | 高位放量 | 连涨1天 | 连阳1天
603530,神马电力,1,2026-02-27,High60,54.7,60.17,67.21,2.102,3,1.117,2026-03-04,67.21,60.46,10.0,10.0,1,1,1,1,11.7,35.15,41.17,53.606,22.87,0,1.222,2.168,31.8,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按10%板估算) | 高位放量 | 连涨1天 | 连阳1天
300440,运达科技,0,2026-02-27,High60,16.68,17.86,16.65,1.765,2,0.9982,2026-03-04,16.65,16.61,-0.6,20.0,0,0,0,1,-6.77,1.65,11.0,16.3464,-0.18,1,0.442,0.665,7.94,回踩触发,可按回踩低吸策略跟踪，严格执行0.98硬止损,回踩High60区间，缩量44.2% | 连阳1天
600507,方大特钢,1,2026-02-27,High60,7.02,7.23,6.97,1.573,2,0.9929,2026-03-04,6.97,7.02,-2.11,10.0,0,0,0,0,-3.6,4.97,11.16,6.8796,-0.71,1,0.793,0.865,7.06,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(79.3%昨日)
600368,五洲交通,1,2026-02-27,MA60,3.982,4.05,3.96,1.547,2,0.9945,2026-03-04,3.96,4.03,-1.98,10.0,0,0,0,0,-2.22,-1.25,-1.49,3.9024,-0.55,1,0.794,1.403,-1.25,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(79.4%昨日)
002573,清新环境,0,2026-02-27,MA120,3.9306,4.02,3.91,1.615,2,0.9948,2026-03-04,3.91,3.99,-2.98,10.0,0,0,0,0,-2.74,-0.26,0.0,3.852,-0.52,1,0.833,1.996,0.31,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(83.3%昨日)
000544,中原环保,0,2026-02-27,High60,8.87,8.97,8.84,2.141,2,0.9966,2026-03-04,8.84,9.11,-3.91,10.0,0,0,0,0,-1.45,1.38,3.03,8.6926,-0.34,1,1.207,3.06,1.66,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(120.7%昨日)
000708,中信特钢,0,2026-02-27,High60,17.5,18.03,17.46,1.771,2,0.9977,2026-03-04,17.46,17.45,-1.47,10.0,0,0,0,2,-3.16,6.27,10.58,17.15,-0.23,1,0.867,1.105,8.08,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(86.7%昨日) | 连阳2天
000690,宝新能源,0,2026-02-27,High60,4.6,4.68,4.59,2.282,2,0.9978,2026-03-04,4.59,4.57,-0.65,10.0,0,0,0,1,-1.92,2.0,4.32,4.508,-0.22,1,0.632,1.167,2.79,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(63.2%昨日) | 连阳1天
