symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
000408,藏格矿业,0,2019-07-19,2019-07-22,2019-07-22,1,9.05,8.9414,-1.358033,-1.2,止损
000417,合百集团,0,2020-08-03,2020-08-04,2020-08-04,1,6.87,6.78756,-1.358033,-1.2,止损
000100,TCL科技,0,2021-02-04,2021-02-05,2021-02-05,1,9.37,9.25756,-1.358033,-1.2,止损
000155,川能动力,0,2021-05-28,2021-05-31,2021-05-31,1,15.1,15.2812,1.038129,-0.662252,止盈
000159,国际实业,0,2022-01-13,2022-01-14,2022-01-14,1,6.8,6.7184,-1.358033,-1.2,止损
000014,沙河股份,0,2022-02-08,2022-02-09,2022-02-09,1,8.46,8.56152,1.038129,-0.945626,止盈
000159,国际实业,0,2022-02-09,2022-02-10,2022-02-10,1,6.58,6.50104,-1.358033,-1.2,止损
000014,沙河股份,0,2022-03-07,2022-03-08,2022-03-08,1,8.89,8.78332,-1.358033,-1.2,止损
000417,合百集团,0,2022-05-12,2022-05-13,2022-05-13,1,4.78,4.83736,1.038129,-0.209205,止盈
000007,全新好,0,2022-10-11,2022-10-12,2022-10-12,1,8.0,7.904,-1.358033,-1.2,止损
000014,沙河股份,0,2022-12-27,2022-12-28,2022-12-28,1,10.3,10.4236,1.038129,-1.067961,止盈
000417,合百集团,0,2023-02-13,2023-02-14,2023-02-14,1,5.24,5.17712,-1.358033,-1.2,止损
000404,长虹华意,0,2023-05-18,2023-05-19,2023-05-19,1,6.7,6.6196,-1.358033,-1.2,止损
000409,云鼎科技,0,2023-05-18,2023-05-19,2023-05-19,1,8.54,8.64248,1.038129,-1.17096,止盈
000421,南京公用,0,2023-07-24,2023-07-25,2023-07-25,1,5.62,5.55256,-1.358033,-1.2,止损
000153,丰原药业,0,2023-11-17,2023-11-20,2023-11-20,1,10.18,10.30216,1.038129,-0.491159,止盈
000010,美丽生态,0,2024-08-30,2024-09-02,2024-09-02,1,1.72,1.74064,1.038129,-1.162791,止盈
000014,沙河股份,0,2024-10-22,2024-10-23,2024-10-23,1,10.2,10.3224,1.038129,-0.784314,止盈
000068,华控赛格,0,2024-10-22,2024-10-23,2024-10-23,1,3.38,3.42056,1.038129,-1.183432,止盈
000419,通程控股,0,2024-10-25,2024-10-28,2024-10-28,1,5.23,5.29276,1.038129,-0.191205,止盈
000002,万 科Ａ,0,2024-10-28,2024-10-29,2024-10-29,1,9.31,9.19828,-1.358033,-1.2,止损
000419,通程控股,0,2024-11-04,2024-11-05,2024-11-05,1,5.3,5.3636,1.038129,-0.188679,止盈
000020,深华发Ａ,0,2024-11-11,2024-11-12,2024-11-12,1,14.56,14.73472,1.038129,-0.412088,止盈
000159,国际实业,0,2024-11-21,2024-11-22,2024-11-22,1,8.0,7.904,-1.358033,-1.2,止损
000032,深桑达Ａ,0,2024-12-11,2024-12-12,2024-12-12,1,18.88,18.65344,-1.358033,-1.2,止损
