code,name,market,trade_date,close,vol,score,ma_ok,volume_price_ok,k_pattern_ok,reason,breakout_date,breakout_level,breakout_vol_ratio,pullback_date,pullback_vol_ratio
000571,新大洲A,0,2026-02-26,7.37,268713.0,8,True,False,True,量价:地量见底 | 量价:突破回踩形态 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-10,6.79,3.259,2026-02-13,0.23
000059,华锦股份,0,2026-02-26,6.07,239161.0,6,True,False,False,量价:地量见底 | 量价:突破回踩形态 | 均线:5/10/20多头发散,2026-01-23,5.71,5.27,2026-02-03,0.281
000582,北部湾港,0,2026-02-26,10.77,497417.0,6,True,False,False,量价:地量见底 | 量价:突破回踩形态 | 均线:5/10/20多头发散,2026-02-11,9.93,4.252,2026-02-13,0.332
000609,ST中迪,0,2026-02-26,11.0,9939.0,6,True,False,False,量价:地量见底 | 量价:突破回踩形态 | 均线:5/10/20多头发散,2026-02-13,10.0,3.908,2026-02-26,0.067
000157,中联重科,0,2026-02-26,10.0,859360.0,6,True,False,False,量价:地量见底 | 量价:突破回踩形态 | 均线:5/10/20多头发散,2026-02-03,8.99,2.102,2026-02-11,0.321
000010,美丽生态,0,2026-02-26,4.07,705207.0,6,True,False,True,均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,,,,,
000012,南玻Ａ,0,2026-02-26,5.04,1361521.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000039,中集集团,0,2026-02-26,13.56,1302943.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000070,特发信息,0,2026-02-26,18.16,1444689.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000533,顺钠股份,0,2026-02-26,11.81,873715.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000554,泰山石油,0,2026-02-26,8.69,486809.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000581,威孚高科,0,2026-02-26,24.93,880007.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000628,高新发展,0,2026-02-26,52.15,144590.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000636,风华高科,0,2026-02-26,25.69,2289854.0,6,True,False,True,量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,,,,,
000603,盛达资源,0,2026-02-26,50.01,288100.0,5,False,False,True,量价:突破回踩形态 | 形态:近期涨停/仙人指路,2026-01-27,56.65,2.178,2026-01-30,0.299
