symbol,name,market,signal_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason
000008,神州高铁,0,2022-01-12,2022-01-13,2022-01-13,2.75,2.7665,0.439088,止盈
000029,深深房Ａ,0,2022-01-14,2022-01-17,2022-01-17,7.97,8.01782,0.439088,止盈
000031,大悦城,0,2022-01-17,2022-01-18,2022-01-18,3.83,3.85298,0.439088,止盈
000029,深深房Ａ,0,2022-01-19,2022-01-20,2022-01-20,7.99,8.03794,0.439088,止盈
000042,中洲控股,0,2022-01-21,2022-01-24,2022-01-24,8.26,8.30956,0.439088,止盈
000007,全新好,0,2022-02-09,2022-02-10,2022-02-10,6.7,6.7402,0.439088,止盈
000007,全新好,0,2022-02-22,2022-02-23,2022-02-24,6.64,6.67984,0.439088,止盈
000032,深桑达Ａ,0,2022-03-01,2022-03-02,2022-03-02,22.31,22.44386,0.439088,止盈
000032,深桑达Ａ,0,2022-03-03,2022-03-04,2022-03-07,22.68,21.7728,-4.153554,止损
000007,全新好,0,2022-05-06,2022-05-09,2022-05-09,6.7,6.7402,0.439088,止盈
000042,中洲控股,0,2022-05-30,2022-05-31,2022-05-31,8.86,8.91316,0.439088,止盈
000017,深中华A,0,2022-07-28,2022-07-29,2022-07-29,4.33,4.35598,0.439088,止盈
000007,全新好,0,2022-09-13,2022-09-14,2022-09-15,8.11,8.15866,0.439088,止盈
000014,沙河股份,0,2022-12-14,2022-12-15,2022-12-15,9.95,10.0097,0.439088,止盈
000017,深中华A,0,2023-01-13,2023-01-16,2023-01-16,4.77,4.79862,0.439088,止盈
000026,飞亚达,0,2023-02-14,2023-02-15,2023-02-15,11.82,11.89092,0.439088,止盈
000037,深南电A,0,2023-02-22,2023-02-23,2023-02-27,8.5,8.16,-4.153554,止损
000017,深中华A,0,2023-03-01,2023-03-02,2023-03-07,4.86,4.6656,-4.153554,止损
000039,中集集团,0,2023-04-07,2023-04-10,2023-04-10,7.5,7.545,0.439088,止盈
000031,大悦城,0,2023-04-20,2023-04-21,2023-04-21,3.85,3.8731,0.439088,止盈
000027,深圳能源,0,2023-06-05,2023-06-06,2023-06-12,6.82,6.5472,-4.153554,止损
000032,深桑达Ａ,0,2023-06-27,2023-06-28,2023-06-28,34.9,33.504,-4.153554,止损
000026,飞亚达,0,2023-07-04,2023-07-05,2023-07-11,12.11,12.18266,0.439088,止盈
000036,华联控股,0,2023-07-12,2023-07-13,2023-07-19,4.07,4.08,0.085355,时间止盈
000026,飞亚达,0,2023-07-18,2023-07-19,2023-07-19,12.07,12.14242,0.439088,止盈
000027,深圳能源,0,2023-07-21,2023-07-24,2023-07-25,6.74,6.78044,0.439088,止盈
000036,华联控股,0,2023-08-09,2023-08-10,2023-08-10,4.25,4.2755,0.439088,止盈
000039,中集集团,0,2023-12-14,2023-12-15,2023-12-15,7.8,7.8468,0.439088,止盈
000039,中集集团,0,2024-01-19,2024-01-22,2024-01-24,8.04,8.08824,0.439088,止盈
000020,深华发Ａ,0,2024-03-05,2024-03-06,2024-03-06,14.08,14.16448,0.439088,止盈
000039,中集集团,0,2024-03-26,2024-03-27,2024-03-27,8.98,9.03388,0.439088,止盈
000028,国药一致,0,2024-04-12,2024-04-15,2024-04-15,30.98,31.16588,0.439088,止盈
000027,深圳能源,0,2024-05-22,2024-05-23,2024-05-24,7.36,7.40416,0.439088,止盈
000020,深华发Ａ,0,2024-10-15,2024-10-16,2024-10-16,13.43,13.51058,0.439088,止盈
000020,深华发Ａ,0,2024-10-21,2024-10-22,2024-10-22,13.97,14.05382,0.439088,止盈
000010,美丽生态,0,2024-11-19,2024-11-20,2024-11-20,2.8,2.8168,0.439088,止盈
000034,神州数码,0,2024-11-20,2024-11-21,2024-11-21,35.11,35.32066,0.439088,止盈
000009,中国宝安,0,2024-12-03,2024-12-04,2024-12-10,10.02,10.08012,0.439088,止盈
000012,南 玻Ａ,0,2024-12-05,2024-12-06,2024-12-06,5.54,5.57324,0.439088,止盈
000029,深深房Ａ,0,2024-12-16,2024-12-17,2024-12-17,16.13,16.22678,0.439088,止盈
000045,深纺织Ａ,0,2024-12-16,2024-12-17,2024-12-17,11.8,11.328,-4.153554,止损
000026,飞亚达,0,2024-12-20,2024-12-23,2024-12-23,11.12,10.6752,-4.153554,止损
