symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000410,沈阳机床,0,2022-01-04,2022-01-05,2022-01-12,6,5.02,4.9,-2.546567,时间止盈
000058,深 赛 格,0,2022-01-10,2022-01-11,2022-01-13,3,6.56,6.61248,0.638768,止盈
000151,中成股份,0,2022-01-10,2022-01-11,2022-01-11,1,8.68,8.74944,0.638768,止盈
000065,北方国际,0,2022-01-11,2022-01-12,2022-01-12,1,8.53,8.59824,0.638768,止盈
000415,渤海租赁,0,2022-01-11,2022-01-12,2022-01-13,2,2.91,2.93328,0.638768,止盈
000008,神州高铁,0,2022-01-12,2022-01-13,2022-01-13,1,2.75,2.772,0.638768,止盈
000409,云鼎科技,0,2022-01-13,2022-01-14,2022-01-14,1,6.66,6.71328,0.638768,止盈
000029,深深房Ａ,0,2022-01-14,2022-01-17,2022-01-17,1,7.97,8.03376,0.638768,止盈
000058,深 赛 格,0,2022-01-14,2022-01-17,2022-01-17,1,6.38,6.43104,0.638768,止盈
000151,中成股份,0,2022-01-14,2022-01-17,2022-01-17,1,8.77,8.84016,0.638768,止盈
000031,大悦城,0,2022-01-17,2022-01-18,2022-01-18,1,3.83,3.86064,0.638768,止盈
000404,长虹华意,0,2022-01-17,2022-01-18,2022-01-20,3,4.68,4.4928,-4.153554,止损
000411,英特集团,0,2022-01-17,2022-01-18,2022-01-18,1,14.86,14.2656,-4.153554,止损
000029,深深房Ａ,0,2022-01-19,2022-01-20,2022-01-20,1,7.99,8.05392,0.638768,止盈
000014,沙河股份,0,2022-01-21,2022-01-24,2022-01-24,1,8.22,8.28576,0.638768,止盈
000042,中洲控股,0,2022-01-21,2022-01-24,2022-01-24,1,8.26,8.32608,0.638768,止盈
000049,德赛电池,0,2022-01-26,2022-01-27,2022-01-27,1,53.97,51.8112,-4.153554,止损
000090,天健集团,0,2022-01-27,2022-01-28,2022-02-07,2,6.24,6.28992,0.638768,止盈
000007,全新好,0,2022-02-09,2022-02-10,2022-02-10,1,6.7,6.7536,0.638768,止盈
000151,中成股份,0,2022-02-09,2022-02-10,2022-02-16,5,8.52,8.58816,0.638768,止盈
000056,皇庭国际,0,2022-02-11,2022-02-14,2022-02-14,1,8.06,8.12448,0.638768,止盈
000056,皇庭国际,0,2022-02-15,2022-02-16,2022-02-16,1,8.06,8.12448,0.638768,止盈
000007,全新好,0,2022-02-16,2022-02-17,2022-02-17,1,6.63,6.68304,0.638768,止盈
000007,全新好,0,2022-02-22,2022-02-23,2022-02-24,2,6.64,6.69312,0.638768,止盈
000007,全新好,0,2022-02-25,2022-02-28,2022-02-28,1,6.59,6.3264,-4.153554,止损
000048,京基智农,0,2022-02-25,2022-02-28,2022-02-28,1,21.32,21.49056,0.638768,止盈
000090,天健集团,0,2022-02-28,2022-03-01,2022-03-01,1,6.4,6.4512,0.638768,止盈
000156,华数传媒,0,2022-02-28,2022-03-01,2022-03-01,1,8.49,8.55792,0.638768,止盈
000409,云鼎科技,0,2022-02-28,2022-03-01,2022-03-01,1,7.29,7.34832,0.638768,止盈
000032,深桑达Ａ,0,2022-03-01,2022-03-02,2022-03-02,1,22.31,22.48848,0.638768,止盈
000032,深桑达Ａ,0,2022-03-03,2022-03-04,2022-03-07,2,22.68,21.7728,-4.153554,止损
000014,沙河股份,0,2022-03-04,2022-03-07,2022-03-07,1,8.78,8.85024,0.638768,止盈
