symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,ma5_ma10_diff_pct,signals,score,reason
600403,大有能源,1,20260302,7.16,-1.241,7.148,7.11,7.1,0.5345,强势回调买 / 支撑确认买 / 金叉跟进买,8.7806,强势回调买；支撑确认买；金叉跟进买
002700,万憬能源,0,20260302,7.44,0.135,7.416,7.392,7.334,0.3247,强势回调买 / 支撑确认买 / 金叉跟进买,8.6138,强势回调买；支撑确认买；金叉跟进买
300005,探路者,0,20260302,14.4,-1.974,14.3,14.232,14.2095,0.4778,强势回调买 / 支撑确认买 / 金叉跟进买,8.5221,强势回调买；支撑确认买；金叉跟进买
002746,仙坛股份,0,20260302,6.46,0.0,6.398,6.381,6.3715,0.2664,强势回调买 / 支撑确认买 / 金叉跟进买,8.4315,强势回调买；支撑确认买；金叉跟进买
001213,中铁特货,0,20260302,4.24,0.713,4.2,4.187,4.1765,0.3105,强势回调买 / 支撑确认买 / 金叉跟进买,8.4102,强势回调买；支撑确认买；金叉跟进买
600787,中储股份,1,20260302,5.94,0.0,5.878,5.853,5.8485,0.4271,强势回调买 / 支撑确认买 / 金叉跟进买,8.3707,强势回调买；支撑确认买；金叉跟进买
600063,皖维高新,1,20260302,7.3,-0.273,7.286,7.207,7.0965,1.0962,强势回调买 / 支撑确认买 / 金叉跟进买,8.3688,强势回调买；支撑确认买；金叉跟进买
300080,易成新能,0,20260302,5.37,-1.828,5.342,5.313,5.2435,0.5458,强势回调买 / 支撑确认买 / 金叉跟进买,8.3603,强势回调买；支撑确认买；金叉跟进买
600153,建发股份,1,20260302,9.72,0.103,9.614,9.561,9.515,0.5543,强势回调买 / 支撑确认买 / 金叉跟进买,8.2383,强势回调买；支撑确认买；金叉跟进买
000761,本钢板材,0,20260302,3.79,-0.263,3.764,3.735,3.6825,0.7764,强势回调买 / 支撑确认买 / 金叉跟进买,8.2089,强势回调买；支撑确认买；金叉跟进买
600132,重庆啤酒,1,20260302,56.01,1.01,55.068,54.867,54.395,0.3663,强势回调买 / 支撑确认买 / 金叉跟进买,7.893,强势回调买；支撑确认买；金叉跟进买
002921,联诚精密,0,20260302,25.1,3.977,24.352,24.299,23.836,0.2181,强势回调买 / 支撑确认买 / 金叉跟进买,7.2785,强势回调买；支撑确认买；金叉跟进买
002271,东方雨虹,0,20260302,18.9,5.0,18.194,17.967,17.656,1.2634,强势回调买 / 支撑确认买 / 金叉跟进买,7.0359,强势回调买；支撑确认买；金叉跟进买
301662,宏工科技,0,20260302,194.86,4.763,184.412,179.894,178.4515,2.5115,强势回调买 / 支撑确认买 / 金叉跟进买,7.0,强势回调买；支撑确认买；金叉跟进买
301535,浙江华远,0,20260302,27.83,-1.102,27.82,27.661,27.3255,0.5748,强势回调买 / 金叉跟进买,6.62,强势回调买；金叉跟进买
601339,百隆东方,1,20260302,7.15,0.14,7.126,7.07,7.029,0.7921,强势回调买 / 金叉跟进买,6.5547,强势回调买；金叉跟进买
002616,长青集团,0,20260302,5.9,-1.993,5.872,5.823,5.795,0.8415,强势回调买 / 金叉跟进买,6.4946,强势回调买；金叉跟进买
002165,红 宝 丽,0,20260302,12.37,-3.435,12.62,12.48,12.3665,1.1218,支撑确认买 / 金叉跟进买,6.4,支撑确认买；金叉跟进买
601636,旗滨集团,1,20260302,7.45,-1.194,7.416,7.382,7.238,0.4606,强势回调买 / 金叉跟进买,6.2767,强势回调买；金叉跟进买
002287,奇正藏药,0,20260302,25.1,1.991,24.806,24.71,24.4365,0.3885,强势回调买 / 金叉跟进买,6.1014,强势回调买；金叉跟进买
002259,升达林业,0,20260302,5.8,-0.344,5.708,5.685,5.6435,0.4046,强势回调买 / 金叉跟进买,5.9618,强势回调买；金叉跟进买
002226,江南化工,0,20260302,6.33,1.768,6.224,6.174,6.1595,0.8098,强势回调买 / 金叉跟进买,5.9355,强势回调买；金叉跟进买
002772,众兴菌业,0,20260302,18.11,-1.415,17.938,17.564,17.1225,2.1294,强势回调买 / 金叉跟进买,5.9123,强势回调买；金叉跟进买
601077,渝农商行,1,20260302,6.5,0.154,6.506,6.596,6.4745,-1.3645,强势回调买 / 支撑确认买,5.8936,强势回调买；支撑确认买
002958,青农商行,0,20260302,3.15,-0.316,3.142,3.162,3.144,-0.6325,强势回调买 / 支撑确认买,5.8854,强势回调买；支撑确认买
603599,广信股份,1,20260302,15.13,-2.638,15.13,15.14,15.037,-0.0661,强势回调买 / 支撑确认买,5.8763,强势回调买；支撑确认买
688201,信安世纪,1,20260302,16.0,-4.648,15.968,15.999,15.921,-0.1938,强势回调买 / 支撑确认买,5.8406,强势回调买；支撑确认买
000906,浙商中拓,0,20260302,6.25,-0.16,6.246,6.228,6.206,0.289,强势回调买 / 支撑确认买,5.839,强势回调买；支撑确认买
603285,键邦股份,1,20260302,35.91,-2.867,37.07,36.92,35.498,0.4063,支撑确认买 / 金叉跟进买,5.8291,支撑确认买；金叉跟进买
603817,海峡环保,1,20260302,7.06,-1.671,7.07,7.024,6.9995,0.6549,强势回调买 / 支撑确认买,5.7847,强势回调买；支撑确认买
002929,润建股份,0,20260302,47.85,-2.823,47.802,48.351,47.335,-1.1354,强势回调买 / 支撑确认买,5.7523,强势回调买；支撑确认买
300915,海融科技,0,20260302,26.0,-0.269,26.024,25.999,25.71,0.0962,强势回调买 / 支撑确认买,5.7467,强势回调买；支撑确认买
600420,国药现代,1,20260302,10.73,0.374,10.678,10.718,10.6715,-0.3732,强势回调买 / 支撑确认买,5.7443,强势回调买；支撑确认买
600754,锦江酒店,1,20260302,28.1,-0.636,27.532,27.458,27.2325,0.2695,强势回调买 / 金叉跟进买,5.744,强势回调买；金叉跟进买
000895,双汇发展,0,20260302,26.4,0.457,26.304,26.447,26.1995,-0.5407,强势回调买 / 支撑确认买,5.7375,强势回调买；支撑确认买
601229,上海银行,1,20260302,9.75,0.723,9.766,9.884,9.6315,-1.1938,强势回调买 / 支撑确认买,5.7048,强势回调买；支撑确认买
603310,巍华新材,1,20260302,17.71,0.0,17.664,17.52,17.496,0.8219,强势回调买 / 支撑确认买,5.6772,强势回调买；支撑确认买
000589,贵州轮胎,0,20260302,5.18,-0.385,5.166,5.129,5.1165,0.7214,强势回调买 / 支撑确认买,5.6705,强势回调买；支撑确认买
