symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,signals,score,reason
600600,青岛啤酒,1,20260303,62.1,0.21,62.184,62.065,62.038,强势回调买 / 支撑确认买 / 金叉跟进买,8.9395,强势回调买；支撑确认买；金叉跟进买
601333,广深铁路,1,20260303,3.14,0.965,3.112,3.105,3.114,强势回调买 / 支撑确认买 / 金叉跟进买,8.5631,强势回调买；支撑确认买；金叉跟进买
603477,巨星农牧,1,20260303,17.98,1.41,17.634,17.549,17.5735,强势回调买 / 支撑确认买 / 金叉跟进买,7.9487,强势回调买；支撑确认买；金叉跟进买
603836,海程邦达,1,20260303,15.45,5.533,14.894,14.871,14.598,强势回调买 / 支撑确认买 / 金叉跟进买,7.0801,强势回调买；支撑确认买；金叉跟进买
688313,仕佳光子,1,20260303,86.34,0.912,85.788,85.544,85.4445,强势回调买 / 金叉跟进买,6.5974,强势回调买；金叉跟进买
601916,浙商银行,1,20260303,3.0,-0.332,2.984,2.981,2.9585,强势回调买 / 金叉跟进买,6.5586,强势回调买；金叉跟进买
688385,复旦微电,1,20260303,82.8,-4.696,84.364,84.245,82.099,支撑确认买 / 金叉跟进买,6.2731,支撑确认买；金叉跟进买
601860,紫金银行,1,20260303,2.8,-0.709,2.796,2.798,2.797,强势回调买 / 支撑确认买,5.9356,强势回调买；支撑确认买
300498,温氏股份,0,20260303,16.1,1.258,15.818,15.693,15.6775,强势回调买 / 金叉跟进买,5.9262,强势回调买；金叉跟进买
301182,凯旺科技,0,20260303,49.41,0.427,49.898,49.867,47.2945,强势回调买 / 金叉跟进买,5.9066,强势回调买；金叉跟进买
000999,华润三九,0,20260303,29.55,1.303,29.038,29.015,28.6755,强势回调买 / 金叉跟进买,5.8611,强势回调买；金叉跟进买
002936,郑州银行,0,20260303,1.92,-1.031,1.928,1.925,1.917,强势回调买 / 支撑确认买,5.8442,强势回调买；支撑确认买
300620,光库科技,0,20260303,169.54,-0.271,168.926,174.382,169.1235,强势回调买 / 支撑确认买,5.8417,强势回调买；支撑确认买
600787,中储股份,1,20260303,5.9,-0.673,5.9,5.857,5.8495,强势回调买 / 支撑确认买,5.8273,强势回调买；支撑确认买
002746,仙坛股份,0,20260303,6.38,-1.238,6.412,6.376,6.3725,强势回调买 / 支撑确认买,5.8267,强势回调买；支撑确认买
601158,重庆水务,1,20260303,4.59,-0.434,4.586,4.561,4.5535,强势回调买 / 支撑确认买,5.8135,强势回调买；支撑确认买
600502,安徽建工,1,20260303,4.77,-0.832,4.794,4.76,4.761,强势回调买 / 支撑确认买,5.812,强势回调买；支撑确认买
688272,富吉瑞,1,20260303,32.52,-7.059,32.098,31.9,31.226,强势回调买 / 金叉跟进买,5.8056,强势回调买；金叉跟进买
300915,海融科技,0,20260303,25.88,-0.462,25.968,25.978,25.739,强势回调买 / 支撑确认买,5.7888,强势回调买；支撑确认买
001965,招商公路,0,20260303,9.71,-0.512,9.684,9.69,9.644,强势回调买 / 支撑确认买,5.7826,强势回调买；支撑确认买
600073,光明肉业,1,20260303,6.65,0.453,6.664,6.639,6.5985,强势回调买 / 支撑确认买,5.7809,强势回调买；支撑确认买
600035,楚天高速,1,20260303,4.01,-0.249,4.014,3.983,3.972,强势回调买 / 支撑确认买,5.7788,强势回调买；支撑确认买
001338,永顺泰,0,20260303,12.72,-0.857,12.778,12.619,12.661,强势回调买 / 支撑确认买,5.7706,强势回调买；支撑确认买
601169,北京银行,1,20260303,5.41,-0.368,5.392,5.409,5.373,强势回调买 / 支撑确认买,5.7621,强势回调买；支撑确认买
600368,五洲交通,1,20260303,4.04,0.248,4.026,4.01,4.0115,强势回调买 / 支撑确认买,5.7536,强势回调买；支撑确认买
600754,锦江酒店,1,20260303,27.6,-1.779,27.61,27.431,27.265,强势回调买 / 支撑确认买,5.7434,强势回调买；支撑确认买
601200,上海环境,1,20260303,8.61,-0.116,8.624,8.504,8.51,强势回调买 / 支撑确认买,5.7163,强势回调买；支撑确认买
000429,粤高速Ａ,0,20260303,12.23,-0.407,12.156,12.161,12.1665,强势回调买 / 支撑确认买,5.713,强势回调买；支撑确认买
603958,哈森股份,1,20260303,19.58,-9.977,20.52,20.236,19.4925,支撑确认买 / 金叉跟进买,5.7102,支撑确认买；金叉跟进买
300021,大禹节水,0,20260303,4.84,-1.022,4.876,4.795,4.822,强势回调买 / 支撑确认买,5.7038,强势回调买；支撑确认买
600582,天地科技,1,20260303,6.08,-0.977,6.104,6.047,6.0245,强势回调买 / 支撑确认买,5.6978,强势回调买；支撑确认买
301042,安联锐视,0,20260303,84.5,1.089,84.116,82.792,83.704,强势回调买 / 支撑确认买,5.6729,强势回调买；支撑确认买
600153,建发股份,1,20260303,9.62,-1.029,9.666,9.558,9.5295,强势回调买 / 支撑确认买,5.6673,强势回调买；支撑确认买
600874,创业环保,1,20260303,6.35,-0.936,6.376,6.285,6.2815,强势回调买 / 支撑确认买,5.6596,强势回调买；支撑确认买
002237,恒邦股份,0,20260303,18.68,-8.834,18.848,18.075,18.6045,强势回调买 / 支撑确认买,5.6514,强势回调买；支撑确认买
002616,长青集团,0,20260303,5.86,-0.678,5.89,5.824,5.8015,强势回调买 / 支撑确认买,5.6455,强势回调买；支撑确认买
002382,蓝帆医疗,0,20260303,5.96,-1.488,6.026,5.961,5.9505,强势回调买 / 支撑确认买,5.6395,强势回调买；支撑确认买
600901,江苏金租,1,20260303,6.42,-0.619,6.388,6.4,6.351,强势回调买 / 支撑确认买,5.6324,强势回调买；支撑确认买
605005,合兴股份,1,20260303,19.28,-1.532,19.472,19.328,19.208,强势回调买 / 支撑确认买,5.6292,强势回调买；支撑确认买
002100,天康生物,0,20260303,7.16,0.14,7.112,7.062,7.1,强势回调买 / 支撑确认买,5.6285,强势回调买；支撑确认买
