symbol,name,industry,score,pct_chg,turnover_rate,volume_ratio,amount_yi,trade_date,reason,ts_code
300690,双一科技,电气设备,91.67862687288603,19.9872,33.3421,14.24,13.20198464,20260312,涨幅20.0% 成交额13.2亿 换手33.3% 量比14.24,300690.SZ
301667,纳百川,汽车配件,88.15724783432344,20.0,45.1188,7.03,7.69277272,20260312,涨幅20.0% 成交额7.7亿 换手45.1% 量比7.03,301667.SZ
301658,首航新能,电气设备,87.8309028917926,15.8032,67.1537,1.56,14.25505194,20260312,涨幅15.8% 成交额14.3亿 换手67.2% 量比1.56,301658.SZ
301396,宏景科技,软件服务,80.58400262216622,20.0032,33.9606,1.4,36.71849869,20260312,涨幅20.0% 成交额36.7亿 换手34.0% 量比1.40,301396.SZ
300323,华灿光电,半导体,66.20277724236479,13.9337,32.4024,1.27,37.313384909999996,20260312,涨幅13.9% 成交额37.3亿 换手32.4% 量比1.27,300323.SZ
920091,大鹏工业,专用机械,62.103105455598985,13.3384,37.504,3.42,3.65553281,20260312,涨幅13.3% 成交额3.7亿 换手37.5% 量比3.42,920091.BJ
920036,觅睿科技,IT设备,61.07344650614144,8.4211,59.5065,0.0,4.53328475,20260312,涨幅8.4% 成交额4.5亿 换手59.5% 量比0.00,920036.BJ
688295,中复神鹰,化纤,60.94231353255121,20.0055,3.3976,3.57,13.181146669999999,20260312,涨幅20.0% 成交额13.2亿 换手3.4% 量比3.57,688295.SH
688097,博众精工,专用机械,56.176512152900706,17.2325,6.4591,2.27,17.47443784,20260312,涨幅17.2% 成交额17.5亿 换手6.5% 量比2.27,688097.SH
000533,顺钠股份,电气设备,54.57362567851283,5.4281,40.0244,2.36,50.74311706,20260312,涨幅5.4% 成交额50.7亿 换手40.0% 量比2.36,000533.SZ
601868,中国能建,建筑工程,54.351861788420536,10.1449,14.7544,2.09,174.58275094,20260312,涨幅10.1% 成交额174.6亿 换手14.8% 量比2.09,601868.SH
002015,协鑫能科,新型电力,53.94628468221737,9.9897,21.4111,1.61,72.52100668,20260312,涨幅10.0% 成交额72.5亿 换手21.4% 量比1.61,002015.SZ
600821,金开新能,新型电力,53.28371900383768,10.0202,23.4837,1.3,48.26750574,20260312,涨幅10.0% 成交额48.3亿 换手23.5% 量比1.30,600821.SH
300672,国科微,半导体,53.08469373483946,13.9396,9.6011,2.41,30.22529282,20260312,涨幅13.9% 成交额30.2亿 换手9.6% 量比2.41,300672.SZ
603527,众源新材,铜,51.448585538965915,10.0355,17.7339,8.75,6.82666415,20260312,涨幅10.0% 成交额6.8亿 换手17.7% 量比8.75,603527.SH
920375,派诺科技,电气设备,50.905522725615974,8.5074,39.2255,1.14,5.18103468,20260312,涨幅8.5% 成交额5.2亿 换手39.2% 量比1.14,920375.BJ
300243,瑞丰高材,化工原料,50.8719778838616,6.2898,35.1866,5.1,10.595469609999999,20260312,涨幅6.3% 成交额10.6亿 换手35.2% 量比5.10,300243.SZ
000815,美利云,通信设备,50.516238129750214,6.2606,33.4776,1.27,42.95162215,20260312,涨幅6.3% 成交额43.0亿 换手33.5% 量比1.27,000815.SZ
600722,金牛化工,化工原料,50.51371481351161,10.0,23.9954,0.98,24.40938778,20260312,涨幅10.0% 成交额24.4亿 换手24.0% 量比0.98,600722.SH
002177,御银股份,其他商业,49.86090621418137,4.3243,41.0654,2.06,26.35916446,20260312,涨幅4.3% 成交额26.4亿 换手41.1% 量比2.06,002177.SZ
002455,百川股份,化工原料,49.70859649915427,9.7081,23.8193,1.58,19.92195581,20260312,涨幅9.7% 成交额19.9亿 换手23.8% 量比1.58,002455.SZ
300531,优博讯,IT设备,49.67811420948413,10.5559,17.7981,5.01,10.48530684,20260312,涨幅10.6% 成交额10.5亿 换手17.8% 量比5.01,300531.SZ
301449,天溯计量,电器仪表,49.531138156901925,7.9178,31.5656,5.92,3.5592335999999998,20260312,涨幅7.9% 成交额3.6亿 换手31.6% 量比5.92,301449.SZ
301155,海力风电,电气设备,49.0040251730602,11.8631,10.7338,5.29,11.54385988,20260312,涨幅11.9% 成交额11.5亿 换手10.7% 量比5.29,301155.SZ
002281,光迅科技,通信设备,47.27473000696516,8.0118,14.7223,1.58,112.27828629000001,20260312,涨幅8.0% 成交额112.3亿 换手14.7% 量比1.58,002281.SZ
603092,德力佳,机械基件,47.23919914893533,9.9985,20.878,4.61,5.02504403,20260312,涨幅10.0% 成交额5.0亿 换手20.9% 量比4.61,603092.SH
600703,三安光电,半导体,46.69089128607786,9.9765,8.7275,1.62,79.68259055,20260312,涨幅10.0% 成交额79.7亿 换手8.7% 量比1.62,600703.SH
601016,节能风电,新型电力,46.681616668803684,9.9256,13.3537,2.11,34.70422993,20260312,涨幅9.9% 成交额34.7亿 换手13.4% 量比2.11,601016.SH
300131,英唐智控,元器件,46.21074673630983,10.4609,12.3124,3.23,18.753519620000002,20260312,涨幅10.5% 成交额18.8亿 换手12.3% 量比3.23,300131.SZ
002298,中电鑫龙,电气设备,46.19848831212327,4.8973,32.4595,2.08,27.88094624,20260312,涨幅4.9% 成交额27.9亿 换手32.5% 量比2.08,002298.SZ
688106,金宏气体,化工原料,46.153624416020364,11.9914,10.8692,2.14,13.450891440000001,20260312,涨幅12.0% 成交额13.5亿 换手10.9% 量比2.14,688106.SH
600714,金瑞矿业,化工原料,45.96691326361617,9.9861,19.9511,1.18,13.19242421,20260312,涨幅10.0% 成交额13.2亿 换手20.0% 量比1.18,600714.SH
603248,锡华科技,机械基件,45.89463668563339,5.6013,34.903,3.98,6.12417672,20260312,涨幅5.6% 成交额6.1亿 换手34.9% 量比3.98,603248.SH
603803,瑞斯康达,通信设备,45.55724258151189,3.3058,30.014,7.46,15.962764960000001,20260312,涨幅3.3% 成交额16.0亿 换手30.0% 量比7.46,603803.SH
920077,吉林碳谷,化纤,45.16152758780211,9.7588,13.0453,5.69,8.57587483,20260312,涨幅9.8% 成交额8.6亿 换手13.0% 量比5.69,920077.BJ
601330,绿色动力,环境保护,45.15685184215826,10.0358,11.0858,5.71,9.95343341,20260312,涨幅10.0% 成交额10.0亿 换手11.1% 量比5.71,601330.SH
300162,雷曼光电,元器件,45.10918831501112,7.3016,29.2669,1.59,9.96142267,20260312,涨幅7.3% 成交额10.0亿 换手29.3% 量比1.59,300162.SZ
688063,派能科技,电气设备,44.7856194606524,10.2919,11.8083,2.05,22.32707878,20260312,涨幅10.3% 成交额22.3亿 换手11.8% 量比2.05,688063.SH
000890,法尔胜,环境保护,43.90600852869203,10.0437,19.8955,0.83,8.19943558,20260312,涨幅10.0% 成交额8.2亿 换手19.9% 量比0.83,000890.SZ
600888,新疆众和,铝,43.65511100511163,8.4507,14.3677,3.34,21.39276132,20260312,涨幅8.5% 成交额21.4亿 换手14.4% 量比3.34,600888.SH
600844,金煤科技,化工原料,43.363395391212464,10.0559,19.565,1.34,6.19476622,20260312,涨幅10.1% 成交额6.2亿 换手19.6% 量比1.34,600844.SH
301388,欣灵电气,电气设备,42.99138700546887,3.5238,44.6369,1.03,5.08131984,20260312,涨幅3.5% 成交额5.1亿 换手44.6% 量比1.03,301388.SZ
600527,江南高纤,化纤,42.83902366009232,7.4689,18.8892,5.03,8.57811602,20260312,涨幅7.5% 成交额8.6亿 换手18.9% 量比5.03,600527.SH
300443,金雷股份,电气设备,42.835749509281655,8.9853,13.4737,4.47,10.07806888,20260312,涨幅9.0% 成交额10.1亿 换手13.5% 量比4.47,300443.SZ
603077,和邦生物,化工原料,42.35719588309219,9.901,8.8485,1.81,25.402903119999998,20260312,涨幅9.9% 成交额25.4亿 换手8.8% 量比1.81,603077.SH
600063,皖维高新,化纤,42.355309750995396,8.4932,11.4259,4.08,18.68156553,20260312,涨幅8.5% 成交额18.7亿 换手11.4% 量比4.08,600063.SH
603778,国晟科技,电气设备,42.03898347191327,5.6676,23.2349,1.37,31.99416963,20260312,涨幅5.7% 成交额32.0亿 换手23.2% 量比1.37,603778.SH
600108,亚盛集团,种植业,41.921736698735465,5.9361,23.0966,0.97,30.819813909999997,20260312,涨幅5.9% 成交额30.8亿 换手23.1% 量比0.97,600108.SH
688717,艾罗能源,电气设备,41.62937122818869,9.4325,12.8626,1.18,17.84180002,20260312,涨幅9.4% 成交额17.8亿 换手12.9% 量比1.18,688717.SH
002498,汉缆股份,电气设备,41.47355992990127,9.9576,8.4431,0.85,28.085651660000003,20260312,涨幅10.0% 成交额28.1亿 换手8.4% 量比0.85,002498.SZ
002102,能特科技,化学制药,41.070735160739794,8.2857,11.928,5.12,9.86285086,20260312,涨幅8.3% 成交额9.9亿 换手11.9% 量比5.12,002102.SZ
600256,广汇能源,石油开采,40.9232775306846,8.5349,9.2379,1.13,44.23808781,20260312,涨幅8.5% 成交额44.2亿 换手9.2% 量比1.13,600256.SH
002221,东华能源,石油加工,40.82267797575111,9.5613,9.7032,2.71,13.56286061,20260312,涨幅9.6% 成交额13.6亿 换手9.7% 量比2.71,002221.SZ
000600,建投能源,火力发电,40.53408979824755,9.9692,9.4937,2.57,10.651179850000002,20260312,涨幅10.0% 成交额10.7亿 换手9.5% 量比2.57,000600.SZ
605305,中际联合,工程机械,40.496775851457706,9.9974,8.3968,4.17,7.29044762,20260312,涨幅10.0% 成交额7.3亿 换手8.4% 量比4.17,605305.SH
301162,国能日新,软件服务,40.47889754637021,11.976,7.6707,1.86,5.19857475,20260312,涨幅12.0% 成交额5.2亿 换手7.7% 量比1.86,301162.SZ
003041,真爱美家,纺织,40.056144950873254,9.5394,10.1464,3.27,8.6254077,20260312,涨幅9.5% 成交额8.6亿 换手10.1% 量比3.27,003041.SZ
600330,天通股份,专用机械,39.96591458377215,5.0356,19.4519,1.48,46.47074592,20260312,涨幅5.0% 成交额46.5亿 换手19.5% 量比1.48,600330.SH
300315,掌趣科技,互联网,39.87060144761796,7.8095,11.4806,3.63,16.48485997,20260312,涨幅7.8% 成交额16.5亿 换手11.5% 量比3.63,300315.SZ
300468,四方精创,软件服务,39.829835475201236,5.8515,17.5,1.75,35.20270605,20260312,涨幅5.9% 成交额35.2亿 换手17.5% 量比1.75,300468.SZ
688349,三一重能,电气设备,39.80787191174233,11.3797,1.9565,4.48,6.81197629,20260312,涨幅11.4% 成交额6.8亿 换手2.0% 量比4.48,688349.SH
600121,郑州煤电,煤炭开采,39.7749734292279,10.0642,11.2973,2.19,6.821202830000001,20260312,涨幅10.1% 成交额6.8亿 换手11.3% 量比2.19,600121.SH
600868,梅雁吉祥,水力发电,39.55598588046952,9.8985,10.5878,2.03,8.46547975,20260312,涨幅9.9% 成交额8.5亿 换手10.6% 量比2.03,600868.SH
600126,杭钢股份,普钢,39.40752295731872,6.7255,11.4975,2.58,37.63778715,20260312,涨幅6.7% 成交额37.6亿 换手11.5% 量比2.58,600126.SH
300850,新强联,机械基件,39.3287308693207,6.632,15.6317,2.02,24.376605780000002,20260312,涨幅6.6% 成交额24.4亿 换手15.6% 量比2.02,300850.SZ
601015,陕西黑猫,焦炭加工,39.14962686346697,10.0,9.9693,1.28,10.11184566,20260312,涨幅10.0% 成交额10.1亿 换手10.0% 量比1.28,601015.SH
601778,晶科科技,新型电力,38.88337172283754,4.0678,21.0272,1.61,45.827607400000005,20260312,涨幅4.1% 成交额45.8亿 换手21.0% 量比1.61,601778.SH
603507,振江股份,电气设备,38.84762308945935,9.9887,10.7027,1.69,7.21297953,20260312,涨幅10.0% 成交额7.2亿 换手10.7% 量比1.69,603507.SH
300483,首华燃气,石油开采,38.60039792290497,6.2136,20.3834,1.0,16.727364820000002,20260312,涨幅6.2% 成交额16.7亿 换手20.4% 量比1.00,300483.SZ
