symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
300995,奇德新材,300995.SZ,20260306,96.825,低位横盘筑底、缩量回踩支撑、地量地价、右侧转强、短期止跌,低位横盘筑底、缩量回踩支撑、地量地价,右侧转强、短期止跌,38.6,37.56,0.3957,0.1216,0.2515,0.4069,0.00092,0.0321,,,,,,,,,,,
300204,舒泰神,300204.SZ,20260306,91.441,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,25.85,24.76,0.5257,0.0573,0.372,0.6023,0.00067,0.0377,,,,,,,,,,,
300893,松原安全,300893.SZ,20260306,90.608,低位横盘筑底、缩量回踩支撑、地量地价、右侧转强、短期止跌,低位横盘筑底、缩量回踩支撑、地量地价,右侧转强、短期止跌,23.74,23.61,0.4232,0.0689,0.1746,0.7291,-0.00053,0.0047,,,,,,,,,,,
300584,海辰药业,300584.SZ,20260306,87.498,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,42.68,41.5,0.4787,0.0385,0.4028,0.55,-0.0019,0.0292,,,,,,,,,,,
600521,华海药业,600521.SH,20260306,86.801,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,15.99,15.3,0.4283,0.0706,0.252,0.4871,-0.00013,0.0444,,,,,,,,,,,
603222,济民健康,603222.SH,20260306,86.43,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,8.89,8.52,0.4113,0.0908,0.2189,0.7344,0.00244,0.0373,,,,,,,,,,,
002453,华软科技,002453.SZ,20260306,85.873,低位横盘筑底、缩量回踩支撑、右侧转强、短期止跌,低位横盘筑底、缩量回踩支撑,右侧转强、短期止跌,6.26,6.16,0.3586,0.1463,0.258,0.5754,0.00206,0.0146,,,,,,,,,,,
301112,信邦智能,301112.SZ,20260306,85.289,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,35.71,35.27,0.424,0.0405,0.2728,0.4079,-0.00378,0.0125,,,,,,,,,,,
601606,长城军工,601606.SH,20260306,84.888,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,45.5,45.96,0.4096,0.1139,0.221,0.6223,0.00015,-0.0183,,,,,,,,,,,
688660,电气风电,688660.SH,20260306,84.149,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,14.32,14.34,0.453,0.0912,0.3846,0.5844,-0.00025,0.0028,,,,,,,,,,,
300813,泰林生物,300813.SZ,20260306,84.083,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,25.39,24.75,0.3991,0.0767,0.1838,0.6159,0.00171,0.0234,,,,,,,,,,,
688189,南新制药,688189.SH,20260306,83.919,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,8.15,7.83,0.5087,0.0527,0.2422,0.6273,-0.00185,0.0303,,,,,,,,,,,
002104,恒宝股份,002104.SZ,20260306,83.147,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,17.94,17.4,0.4099,0.0553,0.3469,0.5478,0.00025,0.0193,,,,,,,,,,,
301076,新瀚新材,301076.SZ,20260306,83.092,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,40.83,39.88,0.3858,0.0433,0.3358,0.3453,-0.00386,0.0182,,,,,,,,,,,
603590,康辰药业,603590.SH,20260306,83.038,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,40.89,39.84,0.3757,0.0824,0.2505,0.5459,0.00082,0.0256,,,,,,,,,,,
300950,德固特,300950.SZ,20260306,82.982,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,23.7,23.08,0.4275,0.1047,0.2806,0.361,-0.00167,0.0291,,,,,,,,,,,
301013,利和兴,301013.SZ,20260306,82.623,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,25.22,24.01,0.4304,0.2799,0.3695,0.4535,0.00167,0.0396,,,,,,,,,,,
603815,交建股份,603815.SH,20260306,82.534,地量地价、短期止跌,地量地价,短期止跌,6.76,6.62,0.5472,0.0354,1.0232,0.4626,-0.00137,0.0196,,,,,,,,,,,
688775,影石创新,688775.SH,20260306,82.063,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,211.7,210.53,0.4396,0.0443,0.4314,0.6751,-0.0035,0.0056,,,,,,,,,,,
300368,汇金股份,300368.SZ,20260306,81.985,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,12.33,11.99,0.4106,0.0773,0.4143,0.4277,-0.00403,0.019,,,,,,,,,,,
688520,神州细胞,688520.SH,20260306,81.898,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,39.89,37.09,0.4128,0.1059,0.4001,0.6012,-0.00425,0.0755,,,,,,,,,,,
300530,领湃科技,300530.SZ,20260306,81.755,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,27.18,26.65,0.396,0.067,0.3085,0.4025,-0.00215,0.0161,,,,,,,,,,,
300904,威力传动,300904.SZ,20260306,81.584,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,61.61,60.05,0.3582,0.0948,0.3591,0.3838,-0.00113,0.036,,,,,,,,,,,
600400,红豆股份,600400.SH,20260306,81.533,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,2.26,2.22,0.4392,0.0484,0.2396,0.693,-0.00235,0.018,,,,,,,,,,,
300872,天阳科技,300872.SZ,20260306,81.205,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,17.62,17.11,0.3653,0.0848,0.3519,0.6003,0.00025,0.0232,,,,,,,,,,,
300642,透景生命,300642.SZ,20260306,81.057,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,17.7,17.25,0.4231,0.0662,0.3629,0.3342,-0.00392,0.0291,,,,,,,,,,,
603657,春光科技,603657.SH,20260306,80.58,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,28.43,27.66,0.4127,0.0967,0.4458,0.588,0.00098,0.0275,,,,,,,,,,,
002269,美邦服饰,002269.SZ,20260306,80.542,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,1.84,1.8,0.4303,0.0479,0.1864,0.712,-0.00134,0.0166,,,,,,,,,,,
688036,传音控股,688036.SH,20260306,80.374,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,59.5,53.43,0.4328,0.1331,0.4087,0.7081,-0.00087,0.1086,,,,,,,,,,,
600629,华建集团,600629.SH,20260306,80.371,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,22.42,21.0,0.4522,0.3466,0.4102,0.4865,0.0057,0.0595,,,,,,,,,,,
688567,孚能科技,688567.SH,20260306,80.287,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,13.63,13.57,0.3969,0.0303,0.2734,0.6182,-0.00368,0.0081,,,,,,,,,,,
000753,漳州发展,000753.SZ,20260306,80.179,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,7.33,7.28,0.3525,0.1874,0.3476,0.6422,0.00083,0.0,,,,,,,,,,,
688306,均普智能,688306.SH,20260306,79.947,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,10.06,9.93,0.3817,0.0633,0.2873,0.4559,-0.00216,0.008,,,,,,,,,,,
603359,东珠生态,603359.SH,20260306,79.825,地量地价、短期止跌,地量地价,短期止跌,6.82,6.59,0.4442,0.0587,0.6204,0.416,0.00073,0.0318,,,,,,,,,,,
