symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date,close,open,chg_pct,limit_pct,is_limit_up,limit_up_streak,up_streak,yang_streak,ret_3d,ret_5d,ret_10d,hard_stop,dist_to_key_pct,in_pullback_zone,vol_ratio_prev,vol_ratio_ma20,ext_to_ma20_pct,category,strategy_hint,detail
600821,金开新能,1,2026-02-24,High60,6.59,6.72,7.39,3.351,2,0.9924,2026-02-27,7.39,6.6,9.97,10.0,1,1,2,4,9.97,13.52,32.44,6.4582,12.14,0,1.727,2.877,22.18,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按10%板估算) | 高位放量 | 连涨2天 | 连阳4天
002633,申科股份,0,2026-02-24,MA60,16.7348,17.5,19.35,1.648,3,1.0511,2026-02-27,19.35,17.64,10.01,10.0,1,1,1,1,10.57,15.25,16.5,16.4001,15.63,0,3.225,2.451,14.81,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按10%板估算) | 连涨1天 | 连阳1天
000035,中国天楹,0,2026-02-24,MA60,5.8373,6.19,7.01,2.388,3,1.0913,2026-02-27,7.01,7.01,10.05,10.0,1,1,1,0,13.25,19.42,16.25,5.7206,20.09,0,1.197,1.834,14.18,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按10%板估算) | 连涨1天
301226,祥明智能,0,2026-02-24,MA120,32.0757,33.0,41.82,1.671,3,1.0304,2026-02-27,41.82,34.96,20.0,20.0,1,1,6,2,26.73,31.97,37.02,31.4342,30.38,0,3.15,5.429,30.13,涨停首板,关注次日分歧/换手，按强势延续策略跟踪,涨停(按20%板估算) | 高位放量 | 连涨6天 | 连阳2天
301469,恒达新材,0,2026-02-24,High60,38.49,40.8,38.19,2.128,2,0.9922,2026-02-27,38.19,40.5,-8.31,20.0,0,0,0,0,-6.4,7.73,14.44,37.7202,-0.78,1,1.125,1.697,9.46,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(112.5%昨日)
603722,阿科力,1,2026-02-24,MA60,39.4182,40.77,39.53,2.31,3,1.0028,2026-02-27,39.53,39.6,-0.4,10.0,0,0,0,0,-3.04,2.12,3.18,38.6298,0.28,1,1.014,0.755,0.48,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(101.4%昨日)
300523,辰安科技,0,2026-02-24,MA60,24.3898,25.7,24.5,2.166,3,1.0045,2026-02-27,24.5,24.49,-0.04,20.0,0,0,0,1,-4.67,0.86,5.2,23.902,0.45,1,0.767,0.613,1.7,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(76.7%昨日) | 连阳1天
688162,巨一科技,1,2026-02-24,High60,35.54,36.3,35.73,1.609,3,1.0053,2026-02-27,35.73,36.13,-1.52,20.0,0,0,0,0,-1.57,2.5,6.28,34.8292,0.53,1,0.812,0.734,3.4,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(81.2%昨日)
600479,千金药业,1,2026-02-24,High60,11.28,11.42,11.36,2.561,3,1.0071,2026-02-27,11.36,11.37,-0.18,10.0,0,0,0,0,-0.53,3.37,6.77,11.0544,0.71,1,0.849,0.755,4.93,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(84.9%昨日)
688179,阿拉丁,1,2026-02-24,High60,18.49,18.85,18.63,2.351,2,0.9995,2026-02-27,18.63,18.9,0.32,20.0,0,0,2,0,-1.17,17.54,14.72,18.1202,0.76,1,0.891,0.932,10.41,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(89.1%昨日) | 连涨2天
002377,国创高新,0,2026-02-24,High60,3.63,3.8,3.66,1.509,3,1.0083,2026-02-27,3.66,3.69,-0.27,10.0,0,0,0,0,-3.68,3.39,6.4,3.5574,0.83,1,0.91,0.786,7.06,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(91.0%昨日)
300875,捷强装备,0,2026-02-24,MA120,44.945,46.63,45.38,1.904,3,1.0097,2026-02-27,45.38,44.81,-0.5,20.0,0,0,0,2,-2.68,4.2,13.65,44.0461,0.97,1,0.831,0.733,6.96,靠近关键位,等待缩量/企稳信号，或降低仓位,回踩区间但未缩量(83.1%昨日) | 连阳2天
688009,中国通号,1,2026-02-24,MA60,5.4435,5.69,5.72,1.509,3,1.0508,2026-02-27,5.72,5.74,-0.35,20.0,0,0,0,0,0.53,3.06,1.6,5.3346,5.08,0,0.759,0.639,2.22,等待回踩,不追高，等待回到关键位附近再评估,距MA60+5.1%
603209,兴通股份,1,2026-02-24,MA120,15.4385,15.89,16.23,1.894,3,1.0441,2026-02-27,16.23,16.14,0.62,10.0,0,0,4,1,2.14,2.14,4.24,15.1297,5.13,0,0.778,0.857,2.94,等待回踩,不追高，等待回到关键位附近再评估,距MA120+5.1% | 连涨4天 | 连阳1天
603139,康惠股份,1,2026-02-24,High60,25.53,26.39,26.86,1.909,3,1.0419,2026-02-27,26.86,26.99,0.56,10.0,0,0,5,0,1.78,13.05,14.3,25.0194,5.21,0,0.632,0.759,10.8,等待回踩,不追高，等待回到关键位附近再评估,距High60+5.2% | 连涨5天
002706,良信股份,0,2026-02-24,MA120,10.9685,11.7,11.54,1.703,3,1.0521,2026-02-27,11.54,11.62,-1.28,10.0,0,0,0,0,-1.37,2.76,12.7,10.7491,5.21,0,0.925,0.862,4.93,等待回踩,不追高，等待回到关键位附近再评估,距MA120+5.2%
