symbol,name,market,key_level_type,key_level,breakout_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason,entry_year
000166,申万宏源,0,MA60,4.344167,2019-01-04,2019-01-11,2019-01-31,4.33,4.42,2.0785,时间止盈,2019
000533,顺钠股份,0,MA60,3.100833,2019-01-04,2019-01-11,2019-01-11,2.95,3.038817,3.0107,止损,2019
000702,正虹科技,0,MA60,5.335,2019-01-04,2019-01-11,2019-01-29,5.48,5.2283,-4.5931,止损,2019
000720,新能泰山,0,MA120,3.472667,2019-01-04,2019-01-11,2019-01-31,3.54,3.41,-3.6723,时间止盈,2019
000776,广发证券,0,MA60,12.837,2019-01-04,2019-01-11,2019-01-30,13.28,12.58026,-5.2691,止损,2019
000828,东莞控股,0,MA120,7.5185,2019-01-04,2019-01-11,2019-01-31,7.61,7.98,4.862,时间止盈,2019
000863,三湘印象,0,MA60,3.894833,2019-01-03,2019-01-11,2019-01-31,3.92,3.816937,-2.6292,止损,2019
000905,厦门港务,0,MA60,6.352,2019-01-04,2019-01-11,2019-01-28,6.4,6.22496,-2.735,止损,2019
002104,恒宝股份,0,High60,6.26,2019-01-04,2019-01-11,2019-01-17,6.38,6.1348,-3.8433,止损,2019
002111,威海广泰,0,MA120,10.310667,2019-01-04,2019-01-11,2019-01-31,10.53,10.58,0.4748,时间止盈,2019
002119,康强电子,0,MA60,9.014167,2019-01-04,2019-01-11,2019-01-18,9.12,8.833883,-3.1372,止损,2019
002232,启明信息,0,MA60,7.165,2019-01-04,2019-01-11,2019-01-29,7.52,7.0217,-6.6263,止损,2019
002265,建设工业,0,MA60,9.065667,2019-01-04,2019-01-11,2019-01-17,9.18,8.884353,-3.2206,止损,2019
000755,山西高速,0,MA120,4.395917,2019-01-04,2019-01-14,2019-01-24,4.42,4.307998,-2.534,止损,2019
000876,新 希 望,0,High60,7.54,2019-01-07,2019-01-14,2019-02-01,7.65,7.97,4.183,时间止盈,2019
000899,赣能股份,0,High60,4.6,2019-01-07,2019-01-14,2019-01-28,4.68,4.508,-3.6752,止损,2019
002085,万丰奥威,0,MA120,7.67775,2019-01-02,2019-01-14,2019-01-15,7.7,7.524195,-2.2832,止损,2019
002097,山河智能,0,MA60,5.834,2019-01-07,2019-01-14,2019-01-29,5.91,5.71732,-3.2602,止损,2019
002121,科陆电子,0,MA60,4.880167,2019-01-07,2019-01-14,2019-01-28,5.1,4.782563,-6.2242,止损,2019
000153,丰原药业,0,MA60,5.5345,2019-01-08,2019-01-15,2019-01-29,5.55,5.42381,-2.2737,止损,2019
000701,厦门信达,0,MA60,6.235167,2019-01-07,2019-01-15,2019-01-23,6.37,6.110463,-4.0744,止损,2019
000815,美利云,0,MA60,7.031833,2019-01-07,2019-01-15,2019-01-23,7.13,6.891197,-3.3493,止损,2019
002028,思源电气,0,MA60,10.565333,2019-01-07,2019-01-15,2019-01-29,10.79,10.354027,-4.0405,止损,2019
002045,国光电器,0,MA60,4.946833,2019-01-08,2019-01-15,2019-01-18,4.88,4.847897,-0.6579,止损,2019
002105,信隆健康,0,MA120,4.108083,2019-01-08,2019-01-15,2019-01-29,4.21,4.025922,-4.3724,止损,2019
002138,顺络电子,0,MA60,14.228,2019-01-08,2019-01-15,2019-02-11,14.45,16.27,12.5952,时间止盈,2019
002164,宁波东力,0,MA60,2.9385,2019-01-08,2019-01-15,2019-01-25,2.99,2.87973,-3.688,止损,2019
002171,楚江新材,0,MA60,4.977833,2019-01-07,2019-01-15,2019-01-22,5.09,4.878277,-4.1596,止损,2019
002278,神开股份,0,MA60,6.687333,2019-01-07,2019-01-15,2019-01-22,6.73,6.553587,-2.6213,止损,2019
000404,长虹华意,0,MA120,4.10775,2019-01-09,2019-01-16,2019-01-29,4.23,4.025595,-4.8323,止损,2019
