ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
002733.SZ,雄韬股份,0.0982,26.97,25.0,27.6,26.48,60.08,-0.5368,0.0006,-0.4166,20260327,4,主升锁仓,4,主升锁仓,1,1.0185,0.33,1.0,,0.0
603598.SH,引力传媒,0.1233,19.49,18.5,20.9,19.47,60.17,-0.6211,0.0001,-0.5582,20260327,4,主升锁仓,4,主升锁仓,1,1.001,0.33,1.0,,0.0
300143.SZ,盈康生命,0.1767,12.53,11.2,13.4,12.45,60.44,-0.8496,0.0,-0.3346,20260327,4,主升锁仓,4,主升锁仓,1,1.0064,0.33,1.0,,0.0
000937.SZ,冀中能源,0.1568,5.9,5.3,6.2,5.74,60.96,-0.8275,0.0,-0.1078,20260327,4,主升锁仓,4,主升锁仓,1,1.0279,0.33,1.0,,0.0
600716.SH,凤凰股份,0.2247,4.6,3.8,4.8,4.45,61.68,-0.8915,0.0,-0.1134,20260327,4,主升锁仓,4,主升锁仓,1,1.0337,0.33,1.0,,0.0
600988.SH,赤峰黄金,0.2356,39.8,34.4,43.6,39.05,61.99,-0.6526,0.0,-0.2645,20260327,4,主升锁仓,4,主升锁仓,1,1.0192,0.33,1.0,,0.0
002216.SZ,三全食品,0.1301,12.39,11.4,13.0,12.3,62.14,-0.4771,0.0043,-0.127,20260327,4,主升锁仓,4,主升锁仓,1,1.0073,0.33,1.0,,0.0
002628.SZ,成都路桥,0.1744,5.22,4.7,5.6,5.16,62.41,-0.7652,0.0,-0.3708,20260327,4,主升锁仓,4,主升锁仓,1,1.0116,0.33,1.0,,0.0
600054.SH,黄山旅游,0.2002,13.34,11.4,14.0,12.99,62.44,-0.8148,0.0,-0.1228,20260327,4,主升锁仓,4,主升锁仓,1,1.0269,0.33,1.0,,0.0
000719.SZ,中原传媒,0.1331,13.03,11.8,13.5,12.77,62.49,-0.638,0.0002,-0.1039,20260327,4,主升锁仓,4,主升锁仓,1,1.0204,0.33,1.0,,0.0
601665.SH,齐鲁银行,0.1058,5.73,5.4,6.0,5.67,62.65,-0.6163,0.0005,-0.25,20260327,4,主升锁仓,4,主升锁仓,1,1.0106,0.33,1.0,,0.0
600256.SH,广汇能源,0.1873,7.04,6.3,7.6,6.94,62.72,-0.4974,0.0023,-0.236,20260327,4,主升锁仓,4,主升锁仓,1,1.0144,0.33,1.0,,0.0
600158.SH,中体产业,0.1491,10.81,9.8,11.4,10.73,62.85,-0.7652,0.0,-0.1749,20260327,4,主升锁仓,4,主升锁仓,1,1.0075,0.33,1.0,,0.0
301109.SZ,军信股份,0.1165,17.27,16.2,18.2,17.17,63.11,-0.3536,0.0296,-0.0654,20260327,4,主升锁仓,4,主升锁仓,1,1.0058,0.33,1.0,,0.0
603687.SH,大胜达,0.1442,15.63,14.0,16.2,15.26,63.39,-0.4,0.0135,-0.3622,20260327,4,主升锁仓,4,主升锁仓,1,1.0242,0.33,1.0,,0.0
603222.SH,济民健康,0.1341,8.97,8.4,9.6,8.95,63.46,-0.5111,0.0021,-0.192,20260327,4,主升锁仓,4,主升锁仓,1,1.0022,0.33,1.0,,0.0
600337.SH,美克家居,0.1527,2.68,2.4,2.8,2.62,63.71,-0.464,0.0046,-0.5318,20260327,4,主升锁仓,4,主升锁仓,1,1.0229,0.33,1.0,,0.0
688170.SH,德龙激光,0.1316,50.85,46.8,53.4,50.15,63.91,-0.7053,0.0,-0.6381,20260327,4,主升锁仓,4,主升锁仓,1,1.014,0.33,1.0,,0.0
600644.SH,乐山电力,0.0924,13.17,12.3,13.5,12.99,64.01,-0.5474,0.0005,-0.4852,20260327,4,主升锁仓,4,主升锁仓,1,1.0139,0.33,1.0,,0.0
301222.SZ,浙江恒威,0.1482,33.55,30.6,35.5,33.06,64.29,-0.9551,0.0,-0.2802,20260327,4,主升锁仓,4,主升锁仓,1,1.0148,0.33,1.0,,0.0
605318.SH,法狮龙,0.2525,76.0,62.0,80.4,72.87,64.43,-0.7579,0.0,-0.1391,20260327,4,主升锁仓,4,主升锁仓,1,1.043,0.33,1.0,,0.0
600754.SH,锦江酒店,0.1771,27.36,23.6,28.4,27.1,64.66,-0.9761,0.0,-0.1546,20260327,4,主升锁仓,4,主升锁仓,1,1.0096,0.33,1.0,,0.0
300635.SZ,中达安,0.1483,13.66,12.4,14.4,13.49,65.27,-0.6702,0.0,-0.2628,20260327,4,主升锁仓,4,主升锁仓,1,1.0126,0.33,1.0,,0.0
920021.BJ,流金科技,0.1586,9.68,8.7,10.2,9.46,65.3,-0.3579,0.0283,-0.4726,20260327,4,主升锁仓,4,主升锁仓,1,1.0233,0.33,1.0,,0.0
600639.SH,浦东金桥,0.1106,10.95,10.2,11.4,10.85,65.45,-0.5453,0.0012,-0.0037,20260327,4,主升锁仓,4,主升锁仓,1,1.0092,0.33,1.0,,0.0
688161.SH,威高骨科,0.3185,30.7,24.8,34.4,30.14,65.59,-0.8223,0.0,-0.2517,20260327,4,主升锁仓,4,主升锁仓,1,1.0186,0.33,1.0,,0.0
605305.SH,中际联合,0.1552,42.0,38.0,44.4,41.23,65.68,-0.5474,0.0005,-0.2586,20260327,4,主升锁仓,4,主升锁仓,1,1.0187,0.33,1.0,,0.0
000899.SZ,赣能股份,0.1551,14.58,13.2,15.4,14.18,65.75,-0.9474,0.0,-0.6678,20260327,4,主升锁仓,4,主升锁仓,1,1.0282,0.33,1.0,,0.0
600674.SH,川投能源,0.1991,15.41,13.8,16.8,15.07,66.05,-0.9787,0.0,-0.1276,20260327,4,主升锁仓,4,主升锁仓,1,1.0226,0.33,1.0,,0.0
300651.SZ,金陵体育,0.1452,28.6,26.5,30.6,28.24,66.14,-0.3895,0.0164,-0.3529,20260327,4,主升锁仓,4,主升锁仓,1,1.0127,0.33,1.0,,0.0
300266.SZ,兴源环境,0.1465,2.77,2.4,2.8,2.73,66.18,-0.9208,0.0,-0.0366,20260327,4,主升锁仓,4,主升锁仓,1,1.0147,0.33,1.0,,0.0
300308.SZ,中际旭创,0.1841,598.0,524.4,630.2,574.83,66.21,-0.3263,0.0468,-0.0502,20260327,4,主升锁仓,4,主升锁仓,1,1.0403,0.33,1.0,,0.0
300889.SZ,爱克股份,0.181,27.26,23.8,28.6,26.52,66.36,-0.6211,0.0001,-0.2271,20260327,4,主升锁仓,4,主升锁仓,1,1.0279,0.33,1.0,,0.0
000590.SZ,古汉医药,0.1013,12.03,11.2,12.4,11.85,66.42,-0.7702,0.0,-0.2506,20260327,4,主升锁仓,4,主升锁仓,1,1.0152,0.33,1.0,,0.0
002629.SZ,仁智股份,0.1538,6.54,6.0,7.0,6.5,66.46,-0.4105,0.0111,-0.1385,20260327,4,主升锁仓,4,主升锁仓,1,1.0062,0.33,1.0,,0.0
301301.SZ,川宁生物,0.0898,11.26,10.7,11.7,11.13,66.49,-0.5146,0.0016,-0.2831,20260327,4,主升锁仓,4,主升锁仓,1,1.0117,0.33,1.0,,0.0
601187.SH,厦门银行,0.2086,7.41,6.3,7.8,7.19,66.54,-0.9515,0.0,-0.0111,20260327,4,主升锁仓,4,主升锁仓,1,1.0306,0.33,1.0,,0.0
002648.SZ,卫星化学,0.249,27.78,22.6,29.2,26.51,66.68,-0.6526,0.0,-0.2705,20260327,4,主升锁仓,4,主升锁仓,1,1.0479,0.33,1.0,,0.0
000670.SZ,盈方微,0.1365,8.98,8.2,9.4,8.79,67.26,-0.4632,0.0038,-0.0216,20260327,4,主升锁仓,4,主升锁仓,1,1.0216,0.33,1.0,,0.0
688629.SH,华丰科技,0.1186,109.09,102.4,115.2,107.91,67.28,-0.6105,0.0001,-0.4293,20260327,4,主升锁仓,4,主升锁仓,1,1.0109,0.33,1.0,,0.0
