ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage1_quality_pass,close_vs_cost,stage1_chip_band_max,stage1_close_vs_cost_min,stage1_trend_change_rate_max
301606.SZ,绿联科技,0.0943,40.67,40.6,44.6,42.43,0.25,-0.5684,0.0003,-0.157,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9585,0.3,0.9,-0.08
300687.SZ,赛意信息,0.1006,28.32,28.8,31.8,29.83,0.3,-0.4486,0.0058,-0.4845,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9494,0.3,0.9,-0.08
603300.SH,海南华铁,0.1305,10.7,10.8,12.3,11.49,0.33,-0.4842,0.0024,-0.2842,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9312,0.3,0.9,-0.08
300605.SZ,恒锋信息,0.2,15.34,15.6,19.0,17.0,0.36,-0.4591,0.0047,-0.1525,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9024,0.3,0.9,-0.08
301337.SZ,亚华电子,0.0785,31.37,31.6,34.2,33.13,0.51,-0.6632,0.0,-0.425,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9469,0.3,0.9,-0.08
300674.SZ,宇信科技,0.1445,25.12,25.2,29.1,26.99,0.54,-0.3684,0.0237,-0.108,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9307,0.3,0.9,-0.08
920403.BJ,康农种业,0.1414,24.31,17.4,20.1,19.09,0.56,-0.8526,0.0,-0.5261,20250321,1,底部吸筹,1,底部吸筹,1.0,1.2734,0.3,0.9,-0.08
002261.SZ,拓维信息,0.123,32.04,32.1,36.3,34.16,0.62,-0.3789,0.0198,-0.2932,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9379,0.3,0.9,-0.08
301165.SZ,锐捷网络,0.1314,71.51,51.2,58.4,54.8,0.65,-0.6105,0.0001,-0.4594,20250321,1,底部吸筹,1,底部吸筹,1.0,1.3049,0.3,0.9,-0.08
300077.SZ,国民技术,0.1036,25.3,25.6,28.4,27.04,0.66,-0.6385,0.0001,-0.5546,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9357,0.3,0.9,-0.08
605398.SH,新炬网络,0.1468,33.11,33.6,38.8,35.42,0.67,-0.6632,0.0,-0.4742,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9348,0.3,0.9,-0.08
603206.SH,嘉环科技,0.0798,19.45,19.5,21.1,20.06,0.77,-0.5053,0.0014,-0.5094,20250321,1,底部吸筹,1,底部吸筹,1.0,0.9696,0.3,0.9,-0.08
300718.SZ,长盛轴承,0.1261,89.39,90.0,102.0,95.2,0.8,-0.3579,0.0283,-0.321,20250321,1,底部吸筹,1,底部吸筹,1.0,0.939,0.3,0.9,-0.08
