ts_code,name,t_date,t_band,t_band_global_q,t_band_post_q,stage2_date,stage2_band,stage3_days,stage3_slope,stage3_down_ratio,stage3_drop_pct,score,rc_days,rc_start_date,rc_end_date,rc_start_band,rc_end_band,rc_drop_pct,rc_down_ratio,rc_slope,rc_start_global_q,rc_end_global_q,net_amount,net_amount_rate,turnover_rate,volume_ratio,circ_mv,total_mv
000565.SZ,渝三峡Ａ,20260304,0.08333364827590978,0.06,0.06382978723404255,20250523,0.26650925875732073,12,-0.004830643149643814,1.0,0.3727955097251403,56.36773058350842,5,20260225,20260304,0.11160484981778458,0.08333364827590978,0.25331517033563267,1.0,-0.005664452454843004,0.455,0.06,-327.12,-3.55,2.6258,0.62,350776.106,350776.106
000603.SZ,盛达资源,20260304,0.1929755427734993,0.19,0.02127659574468085,20251013,0.47768633847261227,12,-0.018586092078446702,0.6363636363636364,0.5497347847053375,46.71135980959298,5,20260225,20260304,0.4340035729605902,0.1929755427734993,0.5553595527863949,1.0,-0.049949624986255436,0.95,0.19,-13362.05,-7.99,5.1311,0.78,3266910.1591,3380849.7954
000060.SZ,中金岭南,20260304,0.20869810346045425,0.72,0.058823529411764705,20260130,0.3950652476121645,12,-0.009809037725591973,1.0,0.33480717211979705,40.08843032718782,5,20260225,20260304,0.2766833258686388,0.20869810346045425,0.2457149240733862,1.0,-0.014211656293818055,0.895,0.72,-6224.49,-4.06,4.4196,0.67,3472952.8747,3472996.8622
000659.SZ,珠海中富,20260304,0.16045137584452734,0.125,0.041666666666666664,20260121,0.33891687397830644,12,-0.0036258093914378294,0.9090909090909091,0.20071532556021926,37.72473771543134,5,20260225,20260304,0.17569564937986012,0.16045137584452734,0.0867652306083808,1.0,-0.0028760074552187345,0.355,0.125,-230.42,-2.14,1.9304,0.56,557994.8937,557994.8937
000591.SZ,太阳能,20260304,0.18022502716728106,0.6,0.05263157894736842,20260128,0.27029114759287287,12,-0.0050339144232148915,1.0,0.25138491641540295,35.08309498492417,5,20260225,20260304,0.21897858831679762,0.18022502716728106,0.17697420303692685,1.0,-0.0079340329008079,0.92,0.6,5853.43,5.48,4.7027,1.31,2275654.1692,2276176.6459
000020.SZ,深华发Ａ,20260304,0.1108513932617055,0.30833333333333335,0.17525773195876287,20250930,0.2340781253148404,12,-0.0042962138405260785,0.9090909090909091,0.26530317240886647,34.100008526350166,5,20260225,20260304,0.11936343021816093,0.1108513932617055,0.07131193315153521,0.8,-0.0024651010281529838,0.35,0.30833333333333335,-14.77,-0.42,1.4119,0.66,251457.5627,393027.7831
000048.SZ,京基智农,20260304,0.2573880072692732,0.72,0.05263157894736842,20260128,0.3561806625010415,12,-0.006377227157658044,1.0,0.20334636737671377,32.200782042602825,5,20260225,20260304,0.27591494649455023,0.2573880072692732,0.06714728383024722,1.0,-0.004397247411415609,0.75,0.72,-231.99,-2.28,1.1103,0.51,913233.8193,920039.7038
000506.SZ,招金黄金,20260304,0.3073125798182323,0.8944723618090452,0.08333333333333333,20260206,0.35154250036936424,12,-0.005600277841982985,0.9090909090909091,0.1995231292383088,30.15320593611671,5,20260225,20260304,0.38356864932649976,0.3073125798182323,0.1988068358614916,1.0,-0.014805211049799143,0.9698492462311558,0.8944723618090452,-4588.12,-4.04,6.0104,0.81,1895490.9074,1896125.2502
000670.SZ,盈方微,20260304,0.17215120215308385,0.7210526315789474,0.2,20260127,0.3609924170859233,12,-0.0054968032392576785,0.7272727272727273,0.21363163981766622,27.36335293451452,5,20260225,20260304,0.18447353641013664,0.17215120215308385,0.0667973005605355,0.6,-0.0033768005819299874,0.8421052631578947,0.7210526315789474,863.81,3.83,3.5403,0.65,636121.8498,653817.3474
000505.SZ,京粮控股,20260304,0.15412723060238578,0.5,0.04838709677419355,20251126,0.2701091834933056,12,-0.003940728757801449,0.6363636363636364,0.22902347087741431,26.468680979917586,5,20260225,20260304,0.19351180119576716,0.15412723060238578,0.2035254198969384,1.0,-0.007738982011309742,0.845,0.5,2453.02,5.31,9.7516,3.12,483770.957,556116.942
