ts_code,name,t_date,t_band,t_band_global_q,t_band_post_q,stage2_date,stage2_band,stage3_days,stage3_slope,stage3_down_ratio,stage3_drop_pct,score,rc_anchor_peak_date,rc_anchor_peak_band,rc_days,rc_start_date,rc_end_date,rc_start_band,rc_end_band,rc_drop_pct,rc_down_ratio,rc_slope,rc_start_global_q,rc_end_global_q,net_amount,net_amount_rate,turnover_rate,volume_ratio,circ_mv,total_mv
000400.SZ,许继电气,20260304,0.1077077431598908,0.07,0.043478260869565216,20260122,0.2555224826311783,12,-0.005977934266853467,1.0,0.39701396767183794,56.82083806031028,20260122,0.2555224826311783,8,20260213,20260304,0.15285369547281,0.1077077431598908,0.29535401269346395,1.0,-0.006205926608134809,0.3,0.07,-4107.89,-2.35,5.4175,1.25,3204057.8873,3225976.6626
000565.SZ,渝三峡Ａ,20260304,0.08333364827590978,0.06,0.06382978723404255,20250523,0.26650925875732073,12,-0.004830643149643814,1.0,0.3727955097251403,56.36773058350842,20250523,0.26650925875732073,7,20260224,20260304,0.11572548682539234,0.08333364827590978,0.27990237447309824,1.0,-0.005651932377649898,0.49,0.06,-327.12,-3.55,2.6258,0.62,350776.106,350776.106
000603.SZ,盛达资源,20260304,0.1929755427734993,0.19,0.02127659574468085,20251013,0.47768633847261227,12,-0.018586092078446702,0.6363636363636364,0.5497347847053375,46.71135980959298,20251013,0.47768633847261227,7,20260224,20260304,0.44155931978376534,0.1929755427734993,0.5629680223531444,1.0,-0.042328012791250196,0.97,0.19,-13362.05,-7.99,5.1311,0.78,3266910.1591,3380849.7954
000060.SZ,中金岭南,20260304,0.20869810346045425,0.72,0.058823529411764705,20260130,0.3950652476121645,12,-0.009809037725591973,1.0,0.33480717211979705,40.08843032718782,20260130,0.3950652476121645,7,20260224,20260304,0.286103896264819,0.20869810346045425,0.27055134101605394,1.0,-0.013517911753353403,0.92,0.72,-6224.49,-4.06,4.4196,0.67,3472952.8747,3472996.8622
000659.SZ,珠海中富,20260304,0.16045137584452734,0.125,0.041666666666666664,20260121,0.33891687397830644,12,-0.0036258093914378294,0.9090909090909091,0.20071532556021926,37.72473771543134,20260121,0.33891687397830644,7,20260224,20260304,0.17608293104981865,0.16045137584452734,0.0887738244252006,1.0,-0.002282619022652304,0.36,0.125,-230.42,-2.14,1.9304,0.56,557994.8937,557994.8937
000591.SZ,太阳能,20260304,0.18022502716728106,0.6,0.05263157894736842,20260128,0.27029114759287287,12,-0.0050339144232148915,1.0,0.25138491641540295,35.08309498492417,20260128,0.27029114759287287,7,20260224,20260304,0.21924498592188316,0.18022502716728106,0.17797423549063457,1.0,-0.006519964540631043,0.925,0.6,5853.43,5.48,4.7027,1.31,2275654.1692,2276176.6459
000020.SZ,深华发Ａ,20260304,0.1108513932617055,0.30833333333333335,0.17525773195876287,20250930,0.2340781253148404,12,-0.0042962138405260785,0.9090909090909091,0.26530317240886647,34.100008526350166,20250930,0.2340781253148404,7,20260224,20260304,0.12383999924901008,0.1108513932617055,0.10488215492627605,0.8333333333333334,-0.0026470799134591877,0.375,0.30833333333333335,-14.77,-0.42,1.4119,0.66,251457.5627,393027.7831
000006.SZ,深振业Ａ,20260304,0.21337374705560527,0.175,0.02127659574468085,20251013,0.4106856733636128,12,-0.007914770614883606,0.8181818181818182,0.2461547312079949,33.63292023611606,20251013,0.4106856733636128,10,20260211,20260304,0.2802768837010896,0.21337374705560527,0.238703726693477,0.8888888888888888,-0.008541498456348134,0.4666666666666667,0.175,-40.67,-0.26,1.3509,0.53,1155589.211,1155595.7594
000048.SZ,京基智农,20260304,0.2573880072692732,0.72,0.05263157894736842,20260128,0.3561806625010415,12,-0.006377227157658044,1.0,0.20334636737671377,32.200782042602825,20260128,0.3561806625010415,7,20260224,20260304,0.2817745023322816,0.2573880072692732,0.08654613835232933,1.0,-0.004364350279753896,0.765,0.72,-231.99,-2.28,1.1103,0.51,913233.8193,920039.7038
000543.SZ,皖能电力,20260304,0.1214090927541957,0.54,0.012345679012345678,20251030,0.21983650166138546,12,-0.002746081166921985,0.9090909090909091,0.21433880794119498,31.04214665828988,20251030,0.21983650166138546,8,20260213,20260304,0.13071407698677054,0.1214090927541957,0.07118578539568149,0.8571428571428571,-0.0010831947049298445,0.595,0.54,-6656.91,-12.29,2.7913,0.87,1938168.148,1938168.148
