symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
000007,全新好,0,2023-11-15,2023-11-16,2023-11-16,1,5.06,4.99928,-1.358033,-1.2,止损
000007,全新好,0,2023-11-17,2023-11-20,2023-11-20,1,5.03,4.96964,-1.358033,-1.2,止损
000020,深华发Ａ,0,2023-11-22,2023-11-23,2023-11-23,1,12.51,12.73,1.595828,0.0,时间退出
000025,特 力Ａ,0,2023-11-24,2023-11-27,2023-11-27,1,16.64,16.44032,-1.358033,-1.2,止损
000026,飞亚达,0,2023-11-28,2023-11-29,2023-11-29,1,12.04,11.89552,-1.358033,-1.2,止损
000029,深深房Ａ,0,2023-11-28,2023-11-29,2023-11-29,1,12.39,12.37,-0.321114,-0.484262,时间退出
000025,特 力Ａ,0,2023-11-29,2023-11-30,2023-11-30,1,16.8,16.5984,-1.358033,-1.2,止损
000025,特 力Ａ,0,2023-12-04,2023-12-05,2023-12-05,1,16.72,16.51936,-1.358033,-1.2,止损
000009,中国宝安,0,2023-12-05,2023-12-06,2023-12-06,1,11.61,11.72,0.785992,-0.344531,时间退出
000012,南 玻Ａ,0,2023-12-12,2023-12-13,2023-12-13,1,5.58,5.55,-0.696726,-0.537634,时间退出
000006,深振业Ａ,0,2023-12-13,2023-12-14,2023-12-14,1,4.8,4.92,2.336049,0.0,止盈
000019,深粮控股,0,2023-12-13,2023-12-14,2023-12-14,1,7.51,7.69775,2.336049,-0.532623,止盈
000012,南 玻Ａ,0,2023-12-14,2023-12-15,2023-12-15,1,5.55,5.55,-0.159952,0.0,时间退出
000006,深振业Ａ,0,2023-12-15,2023-12-18,2023-12-18,1,4.8,4.7424,-1.358033,-1.2,止损
000007,全新好,0,2023-12-15,2023-12-18,2023-12-18,1,4.99,4.93012,-1.358033,-1.2,止损
000019,深粮控股,0,2023-12-29,2024-01-02,2024-01-02,1,7.51,7.63,1.435362,0.0,时间退出
000027,深圳能源,0,2024-01-09,2024-01-10,2024-01-10,1,6.19,6.14,-0.966414,-0.807754,破均线
000019,深粮控股,0,2024-01-12,2024-01-15,2024-01-15,1,7.51,7.6,1.036533,0.0,时间退出
000027,深圳能源,0,2024-01-15,2024-01-16,2024-01-16,1,6.23,6.24,0.000305,-1.123596,时间退出
