symbol,name,industry,sum_pct,last_pct_chg,avg_amount_yi,days,trade_date,reason,ts_code
301395,仁信新材,化工原料,8.03,2.74,0.98,3,20260312,20260310-20260312 连续3日小阳线 累计8.03%,301395.SZ
603296,华勤技术,元器件,7.87,2.05,9.68,3,20260312,20260310-20260312 连续3日小阳线 累计7.87%,603296.SH
300129,泰胜风能,电气设备,7.55,2.43,11.03,3,20260312,20260310-20260312 连续3日小阳线 累计7.55%,300129.SZ
688006,杭可科技,电气设备,7.18,1.79,2.93,3,20260312,20260310-20260312 连续3日小阳线 累计7.18%,688006.SH
600886,国投电力,水力发电,6.9,2.46,8.8,3,20260312,20260310-20260312 连续3日小阳线 累计6.9%,600886.SH
002608,江苏国信,火力发电,6.9,2.44,3.43,3,20260312,20260310-20260312 连续3日小阳线 累计6.9%,002608.SZ
600458,时代新材,塑料,6.89,2.86,2.32,3,20260312,20260310-20260312 连续3日小阳线 累计6.89%,600458.SH
002056,横店东磁,电气设备,6.72,2.89,9.68,3,20260312,20260310-20260312 连续3日小阳线 累计6.72%,002056.SZ
688819,天能股份,电气设备,6.49,2.58,1.55,3,20260312,20260310-20260312 连续3日小阳线 累计6.49%,688819.SH
600516,方大炭素,矿物制品,6.46,2.3,17.29,3,20260312,20260310-20260312 连续3日小阳线 累计6.46%,600516.SH
688079,美迪凯,元器件,6.35,2.88,1.88,3,20260312,20260310-20260312 连续3日小阳线 累计6.35%,688079.SH
688778,厦钨新能,电气设备,6.24,2.03,4.62,3,20260312,20260310-20260312 连续3日小阳线 累计6.24%,688778.SH
002048,宁波华翔,汽车配件,5.95,1.98,5.3,3,20260312,20260310-20260312 连续3日小阳线 累计5.95%,002048.SZ
600177,雅戈尔,服饰,5.88,2.34,2.42,3,20260312,20260310-20260312 连续3日小阳线 累计5.88%,600177.SH
605068,明新旭腾,汽车配件,5.7,2.59,0.67,3,20260312,20260310-20260312 连续3日小阳线 累计5.7%,605068.SH
603488,展鹏科技,运输设备,5.68,1.05,1.03,3,20260312,20260310-20260312 连续3日小阳线 累计5.68%,603488.SH
300450,先导智能,专用机械,5.64,0.67,30.62,3,20260312,20260310-20260312 连续3日小阳线 累计5.64%,300450.SZ
688499,利元亨,专用机械,5.55,0.97,2.36,3,20260312,20260310-20260312 连续3日小阳线 累计5.55%,688499.SH
601000,唐山港,港口,5.43,1.62,1.98,3,20260312,20260310-20260312 连续3日小阳线 累计5.43%,601000.SH
300426,华智数媒,影视音像,5.27,2.08,0.95,3,20260312,20260310-20260312 连续3日小阳线 累计5.27%,300426.SZ
601801,皖新传媒,出版业,5.23,2.66,1.13,3,20260312,20260310-20260312 连续3日小阳线 累计5.23%,601801.SH
002531,天顺风能,电气设备,5.23,2.17,7.34,3,20260312,20260310-20260312 连续3日小阳线 累计5.23%,002531.SZ
603906,龙蟠科技,电气设备,5.23,0.87,2.74,3,20260312,20260310-20260312 连续3日小阳线 累计5.23%,603906.SH
603391,力聚热能,专用机械,5.21,2.17,1.28,3,20260312,20260310-20260312 连续3日小阳线 累计5.21%,603391.SH
600098,广州发展,火力发电,5.16,2.81,3.69,3,20260312,20260310-20260312 连续3日小阳线 累计5.16%,600098.SH
300569,天能重工,电气设备,5.15,1.15,4.31,3,20260312,20260310-20260312 连续3日小阳线 累计5.15%,300569.SZ
601618,中国中冶,建筑工程,5.04,1.23,10.79,3,20260312,20260310-20260312 连续3日小阳线 累计5.04%,601618.SH
301238,瑞泰新材,化工原料,5.02,1.53,1.67,3,20260312,20260310-20260312 连续3日小阳线 累计5.02%,301238.SZ
002091,江苏国泰,商贸代理,5.02,1.17,2.92,3,20260312,20260310-20260312 连续3日小阳线 累计5.02%,002091.SZ
300761,立华股份,农业综合,4.95,2.31,2.7,3,20260312,20260310-20260312 连续3日小阳线 累计4.95%,300761.SZ
000027,深圳能源,火力发电,4.89,1.78,4.8,3,20260312,20260310-20260312 连续3日小阳线 累计4.89%,000027.SZ
000049,德赛电池,电气设备,4.87,0.79,2.25,3,20260312,20260310-20260312 连续3日小阳线 累计4.87%,000049.SZ
600563,法拉电子,元器件,4.84,1.8,5.97,3,20260312,20260310-20260312 连续3日小阳线 累计4.84%,600563.SH
688598,金博股份,矿物制品,4.79,1.56,1.07,3,20260312,20260310-20260312 连续3日小阳线 累计4.79%,688598.SH
002899,英派斯,文教休闲,4.74,1.56,0.84,3,20260312,20260310-20260312 连续3日小阳线 累计4.74%,002899.SZ
688475,萤石网络,IT设备,4.72,0.68,1.45,3,20260312,20260310-20260312 连续3日小阳线 累计4.72%,688475.SH
002832,比音勒芬,服饰,4.65,1.29,2.59,3,20260312,20260310-20260312 连续3日小阳线 累计4.65%,002832.SZ
600133,东湖高新,环境保护,4.62,1.03,2.63,3,20260312,20260310-20260312 连续3日小阳线 累计4.62%,600133.SH
603062,麦加芯彩,染料涂料,4.62,0.43,0.45,3,20260312,20260310-20260312 连续3日小阳线 累计4.62%,603062.SH
920037,广信科技,电气设备,4.55,1.37,1.3,3,20260312,20260310-20260312 连续3日小阳线 累计4.55%,920037.BJ
600933,爱柯迪,汽车配件,4.5,1.53,2.03,3,20260312,20260310-20260312 连续3日小阳线 累计4.5%,600933.SH
603738,泰晶科技,元器件,4.43,0.66,7.88,3,20260312,20260310-20260312 连续3日小阳线 累计4.43%,603738.SH
300798,锦鸡股份,染料涂料,4.4,0.6,5.52,3,20260312,20260310-20260312 连续3日小阳线 累计4.4%,300798.SZ
600988,赤峰黄金,黄金,4.38,1.49,24.66,3,20260312,20260310-20260312 连续3日小阳线 累计4.38%,600988.SH
600017,日照港,港口,4.37,1.85,1.83,3,20260312,20260310-20260312 连续3日小阳线 累计4.37%,600017.SH
002100,天康生物,饲料,4.37,0.91,3.33,3,20260312,20260310-20260312 连续3日小阳线 累计4.37%,002100.SZ
300068,南都电源,电气设备,4.3,0.62,8.19,3,20260312,20260310-20260312 连续3日小阳线 累计4.3%,300068.SZ
002920,德赛西威,汽车配件,4.29,1.56,8.98,3,20260312,20260310-20260312 连续3日小阳线 累计4.29%,002920.SZ
002616,长青集团,环境保护,4.21,1.76,1.74,3,20260312,20260310-20260312 连续3日小阳线 累计4.21%,002616.SZ
601865,福莱特,玻璃,4.2,0.94,3.47,3,20260312,20260310-20260312 连续3日小阳线 累计4.2%,601865.SH
002157,正邦科技,农业综合,4.14,2.95,8.03,3,20260312,20260310-20260312 连续3日小阳线 累计4.14%,002157.SZ
601908,京运通,电气设备,4.12,2.16,4.0,3,20260312,20260310-20260312 连续3日小阳线 累计4.12%,601908.SH
601113,华鼎股份,化纤,4.11,2.37,1.05,3,20260312,20260310-20260312 连续3日小阳线 累计4.11%,601113.SH
300679,电连技术,元器件,4.08,0.47,3.54,3,20260312,20260310-20260312 连续3日小阳线 累计4.08%,300679.SZ
601528,瑞丰银行,银行,4.07,1.09,1.11,3,20260312,20260310-20260312 连续3日小阳线 累计4.07%,601528.SH
600754,锦江酒店,酒店餐饮,4.02,1.86,1.98,3,20260312,20260310-20260312 连续3日小阳线 累计4.02%,600754.SH
000404,长虹华意,家用电器,4.01,1.78,1.22,3,20260312,20260310-20260312 连续3日小阳线 累计4.01%,000404.SZ
601311,骆驼股份,电气设备,3.99,0.31,2.41,3,20260312,20260310-20260312 连续3日小阳线 累计3.99%,601311.SH
002061,浙江交科,建筑工程,3.85,1.19,1.77,3,20260312,20260310-20260312 连续3日小阳线 累计3.85%,002061.SZ
600551,时代出版,出版业,3.85,0.94,0.49,3,20260312,20260310-20260312 连续3日小阳线 累计3.85%,600551.SH
