symbol,name,industry,sum_pct,drop_pct,desc_ratio,low_pos_ratio,last_pct_chg,last_close,min_low,near_bottom,vol_ratio,avg_amount_yi,consec_days,window_days,trade_date,reason,ts_code
300783,三只松鼠,食品,-0.98,-21.4,0.68,1.0,-0.77,19.21,19.1,1,0.62,1.15,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-21.4% 触底=1,300783.SZ
688625,呈和科技,化工原料,-9.83,-16.53,0.47,1.0,-0.9,60.6,59.5,1,0.52,1.67,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-16.53% 触底=1,688625.SH
603198,迎驾贡酒,白酒,-0.99,-16.36,0.84,1.0,-0.87,35.43,35.15,1,0.8,1.0,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-16.36% 触底=1,603198.SH
300413,芒果超媒,影视音像,-0.52,-16.36,0.63,0.68,-0.49,22.29,21.98,1,0.44,3.28,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-16.36% 触底=1,300413.SZ
601933,永辉超市,超市连锁,-1.2,-14.53,0.63,0.68,-0.49,4.06,4.02,1,0.57,3.98,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-14.53% 触底=1,601933.SH
605108,同庆楼,酒店餐饮,-1.04,-14.49,0.68,0.84,-0.23,17.58,17.46,1,0.41,0.38,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-14.49% 触底=1,605108.SH
002991,甘源食品,食品,-0.21,-14.3,0.74,0.84,-0.38,52.96,52.17,1,0.53,0.32,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-14.3% 触底=1,002991.SZ
601929,吉视传媒,影视音像,-3.62,-13.67,0.58,0.68,-0.92,3.22,3.18,1,0.46,2.84,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-13.67% 触底=1,601929.SH
000031,大悦城,全国地产,-3.03,-13.4,0.63,0.84,-0.62,3.23,3.2,1,0.54,0.76,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-13.4% 触底=1,000031.SZ
605179,一鸣食品,乳制品,-0.65,-12.74,0.68,1.0,-0.77,18.09,18.04,1,0.8,0.42,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-12.74% 触底=1,605179.SH
688552,航天南湖,通信设备,-10.04,-11.78,0.58,1.0,-0.39,38.4,37.95,1,0.46,2.24,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.78% 触底=1,688552.SH
000802,北京文化,影视音像,-0.7,-11.65,0.63,0.68,-0.95,4.17,4.09,1,0.34,0.4,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.65% 触底=1,000802.SZ
002695,煌上煌,食品,-0.54,-11.22,0.68,0.68,-0.68,10.29,10.23,1,0.64,0.33,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.22% 触底=1,002695.SZ
002186,全聚德,酒店餐饮,-1.04,-11.15,0.68,0.68,-1.0,10.92,10.85,1,0.64,0.46,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.15% 触底=1,002186.SZ
920429,康比特,食品,-1.43,-10.87,0.68,0.84,-0.79,13.78,13.55,1,0.56,0.11,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-10.87% 触底=1,920429.BJ
