ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate_db,volume_ratio_db,total_mv,circ_mv_db,free_share,float_share,trade_date_mf,mf_net_amount_mf,mf_net_amount_rate,mf_buy_elg_amount_mf,mf_buy_elg_amount_rate,mf_buy_lg_amount_mf,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,prev_limit_trade_date,prev_limit_times,prev_open_times,prev_fd_amount,prev_first_time,prev_last_time,prev_limit_flag,prev_margin_trade_date,rzye,rzmre,rzche,rqye,rqyl,rqmcl,rzrqye,prev_lhb_trade_date,lhb_turnover_rate,lhb_amount,lhb_net_amount,lhb_net_rate,lhb_amount_rate,lhb_reason,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
001209.SZ,洪兴股份,服装家纺,32.52,10.01,3,0,389252530.0,102039,102039,服装家纺、谷子经济,3连板,服装家纺,20.8584,2.03,312499.7563,9535.74,15447.71,-5911.97,73.27272727272727,20260302,20260227,2026-03-02 14:40:05,20260227,20.8584,2.03,427711.8854,312499.7563,4028.7859,9609.4636,20260227,9535.74,16.3,15447.71,26.41,-5911.97,-10.11,20260302,35.77,29.27,20260227,3.0,0,389252530.0,102039,102039,U,,,,,,,,,20260227,20.86,585010777.0,14302453.84,2.44,32.45,日振幅值达到15%的前5只证券,14:39:14.808,29.33,32.52,-9.80934809348095,34.99,29.27,0.010489510489510261,0.0007000000000000001,13.637913399249626,669.5734779537049,29.29,29.33,1611194.6600000001,2406.3,55042.0,82.0,226351.0,699508288.0,30.903697708426293,-5.3654882660289624,134991.0,91361.0,0.5963790749764746,moneyflow_dc,65.94,True,True,False,False,True,AVOID
603257.SH,中国瑞林,工程咨询,66.43,10.0,1,0,122464170.0,141010,141010,稀土永磁、基础建设,首板,稀土永磁,25.0858,4.61,165410.7,4874.77,6278.3,-1403.53,59.70454545454545,20260302,20260227,2026-03-02 14:40:05,20260227,25.0858,4.61,797160.0,165410.7,2490.0,2490.0,20260227,4874.77,12.12,6278.3,15.61,-1403.53,-3.49,20260302,73.07,59.79,20260227,1.0,0,122464170.0,141010,141010,U,20260227,127463665.0,31929604.0,40309708.0,259077.0,3900.0,0.0,127722742.0,20260227,25.09,402322855.0,45047848.97,11.2,29.78,有价格涨跌幅限制的日换手率达到20%的前五只证券,14:38:44.964,73.07,66.43,9.995483968086686,73.07,67.61,1.0,0.0,-10000.0,305571529999999.94,73.07,0.0,305571.52999999997,0.0,4182.0,0.0,107019.0,753736064.0,70.43011652136536,3.6128143952848366,55856.0,51164.0,0.521926013137854,moneyflow_dc,100.0,True,True,True,False,False,WATCH
002356.SZ,赫美集团,一般零售,4.22,9.9,1,0,53537992.0,111330,111330,甲醇、化工,首板,化工,9.9376,4.52,553346.2429,14847.39,14295.39,552.01,47.52272727272727,20260302,20260227,2026-03-02 14:40:05,20260227,9.9376,4.52,553349.4079,553346.2429,104133.0962,131124.7021,20260227,14847.39,27.88,14295.39,26.84,552.01,1.04,20260302,4.64,3.8,20260227,1.0,0,53537992.0,111330,111330,U,,,,,,,,,,,,,,,,14:39:27.822,4.64,4.22,9.952606635071088,4.64,4.18,1.0,0.0,-10000.0,1342098649999999.8,4.64,0.0,1342098.65,0.0,289299.0,0.0,1691123.0,761839616.0,4.504933207105574,2.910922260655729,1010133.0,680991.0,0.5973149203221765,moneyflow_dc,97.03,True,True,True,False,False,WATCH
600549.SH,厦门钨业,小金属,70.15,10.0,1,0,218425002.0,132354,132354,金属钨、有色金属,首板,有色金属,5.6062,1.17,10900832.8397,54436.56,77736.63,-23300.07,70.56818181818181,20260302,20260227,2026-03-02 14:40:05,20260227,5.6062,1.17,11136914.5694,10900832.8397,97847.5624,155393.198,20260227,54436.56,9.11,77736.63,13.0,-23300.07,-3.9,20260302,77.17,63.14,20260227,1.0,0,218425002.0,132354,132354,U,20260227,3345583999.0,593545519.0,684160548.0,43864795.0,625300.0,28200.0,3389448794.0,,,,,,,,14:38:45.612,74.99,70.15,6.899501069137546,76.26,70.91,0.762616822429905,0.0004,1.333511134816763,0.07987355347096843,74.98,74.99,4271.41,53477.15,57.0,713.0,968070.0,7188539392.0,74.25640079746299,0.978262705076687,491970.0,476101.0,0.5081967213114754,moneyflow_dc,93.93,True,False,True,False,False,WATCH
002182.SZ,宝武镁业,小金属,21.79,9.99,1,0,112861305.0,94224,94224,有色金属、金属镁,首板,有色金属,3.6287,1.05,1885951.6525,15428.44,13569.95,1858.49,50.79545454545454,20260302,20260227,2026-03-02 14:40:05,20260227,3.6287,1.05,2161113.794,1885951.6525,60242.4066,86551.2461,20260227,15428.44,23.02,13569.95,20.24,1858.49,2.77,20260302,23.97,19.61,20260227,1.0,0,112861305.0,94224,94224,U,20260227,833153507.0,49255851.0,97815106.0,6317356.0,289920.0,8000.0,839470863.0,,,,,,,,14:39:16.890,22.86,21.79,4.910509407985316,22.9,21.3,0.9750000000000005,0.009300000000000001,4.374453193351515,0.8162302387035395,22.86,22.87,21603.28,26467.14,946.0,1156.0,921864.0,2045309824.0,22.186676386104676,2.9454226329629214,483994.0,437870.0,0.5250167052840766,moneyflow_dc,90.68,True,False,True,False,False,WATCH
000657.SZ,中钨高新,小金属,66.22,10.0,1,0,87968700.0,133048,133048,金属钨、PCB设备,3天2板,有色金属,6.5665,0.97,9621271.6147,24203.94,39345.97,-15142.03,47.65909090909091,20260302,20260227,2026-03-02 14:40:05,20260227,6.5665,0.97,15088918.3368,9621271.6147,89428.7345,145292.5342,20260227,24203.94,3.92,39345.97,6.37,-15142.03,-2.45,20260302,72.84,59.6,20260227,1.0,0,87968700.0,133048,133048,U,20260227,3025875216.0,876035576.0,642710507.0,25286240.0,381852.0,2600.0,3051161456.0,20260227,6.57,6175451950.0,103303119.84,1.67,38.77,日涨幅偏离值达到7%的前5只证券,14:38:50.640,69.61,66.22,5.119299305345818,71.0,67.22,0.6322751322751322,-0.0033,1.4365752047127016,6.736718564903652,69.61,69.62,85871.19999999998,12746.740000000002,1234.0,183.0,1211476.0,8397362176.0,69.31513439804007,0.4235966124980993,601829.0,609648.0,0.49677335745817497,moneyflow_dc,88.4,True,True,True,False,False,WATCH
002378.SZ,章源钨业,小金属,40.6,10.0,3,0,258991987.0,93636,93636,金属钨、有色金属,7天5板,有色金属,3.3429,0.4,4852192.7581,6659.31,8951.31,-2292.0,61.61363636363636,20260302,20260227,2026-03-02 14:40:05,20260227,3.3429,0.4,4877755.724,4852192.7581,51358.7166,119512.1369,20260227,6659.31,4.19,8951.31,5.63,-2292.0,-1.44,20260302,44.66,36.54,20260227,3.0,0,258991987.0,93636,93636,U,20260227,1038754787.0,191495766.0,204296656.0,18745020.0,461700.0,800.0,1057499807.0,20260227,3.34,5245319412.0,50660299.63,0.97,33.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,14:39:04.260,43.91,40.6,8.152709359605899,44.66,42.0,0.7180451127819545,0.0,2.2773855613767062,1.343933174395468,43.91,43.92,17244.019999999997,12831.010000000002,393.0,292.0,1369824.0,5970047488.0,43.582587894503234,0.7456436016778918,692243.0,677582.0,0.5053517824187633,moneyflow_dc,86.64,True,True,True,False,False,WATCH
002167.SZ,东方锆业,小金属,15.58,10.03,1,0,150887501.0,101639,101639,有色金属、固态电池,首板,有色金属,11.2286,2.27,1180032.2584,40298.25,43614.86,-3316.62,70.47727272727273,20260302,20260227,2026-03-02 14:40:05,20260227,11.2286,2.27,1206941.0014,1180032.2584,56379.114,75740.1963,20260227,40298.25,31.15,43614.86,33.71,-3316.62,-2.56,20260302,17.14,14.02,20260227,1.0,0,150887501.0,101639,101639,U,20260227,600783810.0,118013011.0,101758037.0,46740.0,3000.0,800.0,600830550.0,,,,,,,,14:39:21.264,15.57,15.58,-0.06418485237483816,16.2,15.1,0.42727272727272797,-0.0012,6.422607578676806,0.7704737496425197,15.56,15.57,54717.420000000006,71017.89,3521.0,4556.0,1330951.0,2068085248.0,15.538402600847064,0.20293769526612804,638559.0,692393.0,0.4797764906446593,moneyflow_dc,85.62,True,False,True,False,False,WATCH
600301.SH,华锡有色,小金属,64.76,10.01,1,0,106627016.0,142851,142851,金属锡、金属锑,3天2板,有色金属,5.8942,1.46,1783073.8702,8882.7,8245.94,636.77,49.36363636363635,20260302,20260227,2026-03-02 14:40:05,20260227,5.8942,1.46,4096506.994,1783073.8702,20008.7623,27533.5681,20260227,8882.7,8.71,8245.94,8.08,636.77,0.62,20260302,71.24,58.28,20260227,1.0,0,106627016.0,142851,142851,U,,,,,,,,,20260227,5.89,2708807746.0,-17559000.71,-0.65,25.58,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,14:38:49.062,71.24,64.76,10.006176652254462,71.24,66.02,1.0,0.0,-10000.0,931663939999999.9,71.24,0.0,931663.94,0.0,13078.0,0.0,98955.0,698044992.0,70.54165954221615,0.980264539281082,34245.0,64711.0,0.34606639381537063,moneyflow_dc,85.2,True,True,True,False,False,WATCH
002655.SZ,共达电声,消费电子,17.12,10.03,1,0,138660016.0,110851,110851,AI眼镜、端侧AI,首板,端侧AI,14.2473,1.12,619389.8728,23325.34,19207.71,4117.63,63.25,20260302,20260227,2026-03-02 14:40:05,20260227,14.2473,1.12,619559.2324,619389.8728,31494.5135,36179.315,20260227,23325.34,27.6,19207.71,22.73,4117.63,4.87,20260302,18.83,15.41,20260227,1.0,0,138660016.0,110851,110851,U,,,,,,,,,,,,,,,,14:39:20.004,17.67,17.12,3.2126168224299105,18.45,16.75,0.5411764705882365,-0.0005,5.6593095642320375,0.18863505391273958,17.67,17.68,8507.39,45099.73,482.0,2548.0,743973.0,1328333568.0,17.854593755418545,-1.0446732055378791,399297.0,344677.0,0.5367089934715372,moneyflow_dc,84.02,True,False,False,False,False,WATCH
