ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate_db,volume_ratio_db,total_mv,circ_mv_db,free_share,float_share,trade_date_mf,mf_net_amount_mf,mf_net_amount_rate,mf_buy_elg_amount_mf,mf_buy_elg_amount_rate,mf_buy_lg_amount_mf,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,prev_limit_trade_date,prev_limit_times,prev_open_times,prev_fd_amount,prev_first_time,prev_last_time,prev_limit_flag,prev_margin_trade_date,rzye,rzmre,rzche,rqye,rqyl,rqmcl,rzrqye,prev_lhb_trade_date,lhb_turnover_rate,lhb_amount,lhb_net_amount,lhb_net_rate,lhb_amount_rate,lhb_reason,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,mbar_last_dt,mret_n,mret_5,mret_15,mvol_ratio_5,mtrend_score,mbar_n,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
001209.SZ,洪兴股份,服装家纺,32.52,10.01,3,0,389252530.0,102039,102039,服装家纺、谷子经济,3连板,服装家纺,20.8584,2.03,312499.7563,9535.74,15447.71,-5911.97,73.27272727272727,20260302,20260227,2026-03-02 14:47:56,20260227,20.8584,2.03,427711.8854,312499.7563,4028.7859,9609.4636,20260227,9535.74,16.3,15447.71,26.41,-5911.97,-10.11,20260302,35.77,29.27,20260227,3.0,0,389252530.0,102039,102039,U,,,,,,,,,20260227,20.86,585010777.0,14302453.84,2.44,32.45,日振幅值达到15%的前5只证券,14:47:09.444,29.27,32.52,-9.993849938499395,34.99,29.27,0.0,-0.0006,,0.0,0.0,29.27,0.0,383351.21,0.0,13097.0,231600.0,714879424.0,30.866987219343695,-5.456054729565069,136261.0,95340.0,0.588346286701209,2026-03-02 14:09,1.0591048855483387,-0.47106325706595076,0.13540961408259697,1.0644570286475683,-0.09090909090909091,40,moneyflow_dc,69.35,False,False,False,True,True,AVOID
603257.SH,中国瑞林,工程咨询,66.43,10.0,1,0,122464170.0,141010,141010,稀土永磁、基础建设,首板,稀土永磁,25.0858,4.61,165410.7,4874.77,6278.3,-1403.53,59.70454545454545,20260302,20260227,2026-03-02 14:47:56,20260227,25.0858,4.61,797160.0,165410.7,2490.0,2490.0,20260227,4874.77,12.12,6278.3,15.61,-1403.53,-3.49,20260302,73.07,59.79,20260227,1.0,0,122464170.0,141010,141010,U,20260227,127463665.0,31929604.0,40309708.0,259077.0,3900.0,0.0,127722742.0,20260227,25.09,402322855.0,45047848.97,11.2,29.78,有价格涨跌幅限制的日换手率达到20%的前五只证券,14:46:43.164,73.07,66.43,9.995483968086686,73.07,67.61,1.0,0.0,,1000000.0,73.07,0.0,270205.56999999995,0.0,3698.0,0.0,107621.0,758134912.0,70.44488640692802,3.5926010579881935,55856.0,51766.0,0.5190065135986471,2026-03-02 14:09,0.0,0.0,0.0,6.9488304093567255,0.0,40,moneyflow_dc,100.0,False,True,True,True,False,WATCH
600549.SH,厦门钨业,小金属,70.15,10.0,1,0,218425002.0,132354,132354,金属钨、有色金属,首板,有色金属,5.6062,1.17,10900832.8397,54436.56,77736.63,-23300.07,70.56818181818181,20260302,20260227,2026-03-02 14:47:56,20260227,5.6062,1.17,11136914.5694,10900832.8397,97847.5624,155393.198,20260227,54436.56,9.11,77736.63,13.0,-23300.07,-3.9,20260302,77.17,63.14,20260227,1.0,0,218425002.0,132354,132354,U,20260227,3345583999.0,593545519.0,684160548.0,43864795.0,625300.0,28200.0,3389448794.0,,,,,,,,14:46:40.206,75.0,70.15,6.9137562366357725,76.26,70.91,0.7644859813084106,-0.0003,2.6666666666680308,0.5625161765448401,74.99,75.01,12366.35,21983.99,165.0,293.0,984544.0,7312142848.0,74.26933532681119,0.9742195642517496,499174.0,485371.0,0.50701035200052,2026-03-02 14:09,-0.18671645772205997,-0.06676458806248786,-0.37273695420660424,0.4888021341661787,0.21052631578947367,40,moneyflow_dc,95.48,True,False,True,False,False,WATCH
000593.SZ,德龙汇能,燃气Ⅱ,15.74,9.99,1,0,187970228.0,132603,132603,实控人变更、天然气,3天2板,实控人变更,9.8684,1.38,564252.508,11006.59,11426.62,-420.03,64.3409090909091,20260302,20260227,2026-03-02 14:47:56,20260227,9.8684,1.38,564485.2082,564252.508,22956.3559,35848.3169,20260227,11006.59,20.88,11426.62,21.68,-420.03,-0.8,20260302,17.31,14.17,20260227,1.0,0,187970228.0,132603,132603,U,20260227,331504447.0,42703538.0,45980324.0,0.0,0.0,0.0,331504447.0,,,,,,,,14:47:17.682,15.54,15.74,-1.2706480304955594,15.9,15.21,0.47826086956521524,0.0032,6.435006435007441,2.572923100030929,15.54,15.55,26037.39,10119.77,1678.0,650.0,376572.0,585978432.0,15.560860393231573,-0.13423676468194526,160633.0,215940.0,0.4265664998990897,2026-03-02 14:09,0.708762886597946,0.19230769230769962,0.19230769230769962,0.8353987494638948,0.0,40,moneyflow_dc,94.66,True,True,False,True,False,WATCH
002167.SZ,东方锆业,小金属,15.58,10.03,1,0,150887501.0,101639,101639,有色金属、固态电池,首板,有色金属,11.2286,2.27,1180032.2584,40298.25,43614.86,-3316.62,70.47727272727273,20260302,20260227,2026-03-02 14:47:56,20260227,11.2286,2.27,1206941.0014,1180032.2584,56379.114,75740.1963,20260227,40298.25,31.15,43614.86,33.71,-3316.62,-2.56,20260302,17.14,14.02,20260227,1.0,0,150887501.0,101639,101639,U,20260227,600783810.0,118013011.0,101758037.0,46740.0,3000.0,800.0,600830550.0,,,,,,,,14:47:17.664,15.57,15.58,-0.06418485237483816,16.2,15.1,0.42727272727272797,0.0,6.422607578676806,0.7030334336538258,15.56,15.57,73671.45,104790.82,4740.0,6721.0,1378300.0,2141827072.0,15.539629050279329,0.1950606918476008,667667.0,710634.0,0.48441340782122905,2026-03-02 14:09,0.0,0.3873466752743738,0.06435006435007441,0.6328293378427666,0.10526315789473684,40,moneyflow_dc,91.48,True,False,True,True,False,WATCH
600230.SH,沧州大化,化学制品,24.76,10.0,1,0,73536556.0,142618,142618,化工、化肥,3天2板,化工,9.5646,1.62,1024967.4731,12978.54,13000.24,-21.7,45.43181818181818,20260302,20260227,2026-03-02 14:47:56,20260227,9.5646,1.62,1024967.4731,1024967.4731,22349.3591,41396.1015,20260227,12978.54,13.92,13000.24,13.94,-21.7,-0.02,20260302,27.24,22.28,20260227,1.0,0,73536556.0,142618,142618,U,20260227,238114488.0,62479186.0,81803708.0,636827.2,25720.0,800.0,238751315.2,,,,,,,,14:47:10.806,25.0,24.76,0.969305331179315,26.0,23.5,0.6,-0.0011,4.000000000000625,0.41909561968904463,25.0,25.01,12017.24,28674.220000000005,481.0,1146.0,406056.0,997910784.0,24.575693598912466,1.6972256043501375,185782.0,220275.0,0.4575280256910377,2026-03-02 14:09,1.0799999999999983,0.9992006394884093,0.8782435129740473,1.1597351892717704,-0.08571428571428572,40,moneyflow_dc,91.02,True,False,True,True,False,WATCH
002261.SZ,拓维信息,软件开发,36.52,10.0,1,0,464133191.0,93409,93409,AI应用、DeepSeek,首板,AI应用,8.1717,1.79,4183922.1302,156876.3,185254.08,-28377.78,73.61363636363636,20260302,20260227,2026-03-02 14:47:56,20260227,8.1717,1.79,4600904.543,4183922.1302,102798.276,114565.2281,20260227,156876.3,46.67,185254.08,55.11,-28377.78,-8.44,20260302,40.17,32.87,20260227,1.0,0,464133191.0,93409,93409,U,20260227,1872017130.0,312797849.0,327947295.0,17112505.0,468579.0,18300.0,1889129635.0,20260227,8.17,3361531963.0,567307282.29,16.88,25.13,日涨幅偏离值达到7%的前5只证券,14:47:05.538,35.78,36.52,-2.0262869660460074,37.48,35.73,0.028571428571431006,-0.001,2.794857462268868,0.36307138863841465,35.77,35.78,75359.77999999998,207561.88,2108.0,5798.0,2392196.0,8777435136.0,36.69195641159838,-2.5487881822201843,1279534.0,1112663.0,0.5348784129728501,2026-03-02 14:09,0.8384572386808193,0.13877324451844897,0.3337041156840863,0.8719903469191509,-0.3142857142857143,40,moneyflow_dc,90.64,True,False,False,True,False,WATCH
603093.SH,南华期货,多元金融,19.66,10.02,1,0,97442430.0,103522,103522,香港牌照、金融概念,首板,金融概念,3.1805,5.22,1199389.5456,13950.57,10024.22,3926.35,51.204545454545446,20260302,20260227,2026-03-02 14:47:56,20260227,3.1805,5.22,1411047.1396,1199389.5456,14046.4993,61006.5893,20260227,13950.57,37.64,10024.22,27.05,3926.35,10.59,20260302,21.63,17.69,20260227,1.0,0,97442430.0,103522,103522,U,,,,,,,,,20260227,3.18,370640643.0,82853634.0,22.35,41.63,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,14:47:13.770,21.06,19.66,7.121057985757877,21.5,20.03,0.7006802721088424,-0.0018,4.748338081670471,0.8312193946906703,21.05,21.06,12284.5,14778.89,584.0,701.0,405148.0,840086336.0,20.735295151401463,1.5418083979037798,218752.0,186396.0,0.5399310869114496,2026-03-02 14:09,0.0,0.0,-0.33143939393939525,0.7213337870023817,-0.3548387096774194,40,moneyflow_dc,90.02,True,False,True,True,False,WATCH
002356.SZ,赫美集团,一般零售,4.22,9.9,1,0,53537992.0,111330,111330,甲醇、化工,首板,化工,9.9376,4.52,553346.2429,14847.39,14295.39,552.01,47.52272727272727,20260302,20260227,2026-03-02 14:47:56,20260227,9.9376,4.52,553349.4079,553346.2429,104133.0962,131124.7021,20260227,14847.39,27.88,14295.39,26.84,552.01,1.04,20260302,4.64,3.8,20260227,1.0,0,53537992.0,111330,111330,U,,,,,,,,,,,,,,,,14:47:24.222,4.64,4.22,9.952606635071088,4.64,4.18,1.0,0.0,,1000000.0,4.64,0.0,1337291.7299999997,0.0,288263.0,0.0,1692095.0,762290624.0,4.505010794311194,2.9092501226035687,1010133.0,681963.0,0.5969718012286545,2026-03-02 14:09,0.0,0.0,0.0,0.449766355140187,0.0,40,moneyflow_dc,89.95,False,True,True,True,False,WATCH
001216.SZ,华瓷股份,家居用品,20.66,10.01,1,0,122671559.0,145239,145239,有色金属、地产链,首板,有色金属,10.5758,5.7,507312.9091,9163.11,7406.1,1757.01,63.1590909090909,20260302,20260227,2026-03-02 14:47:56,20260227,10.5758,5.7,520356.6022,507312.9091,7555.3199,24555.3199,20260227,9163.11,17.78,7406.1,14.37,1757.01,3.41,20260302,22.73,18.59,20260227,1.0,0,122671559.0,145239,145239,U,,,,,,,,,,,,,,,,14:47:14.922,20.14,20.66,-2.516940948693125,21.3,19.58,0.32558139534883807,0.0034999999999999996,4.965243296922325,3.8196163159258583,20.13,20.14,22257.63,5827.19,1106.0,289.0,204682.0,415170816.0,20.283699397113573,-0.7135024682898313,105755.0,98927.0,0.5166795321523143,2026-03-02 14:09,0.5961251862891257,0.14836795252226082,0.8968609865470838,0.23340218353496606,-0.37142857142857144,40,moneyflow_dc,89.46,True,True,False,True,False,WATCH
