ts_code,name,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate,volume_ratio,total_mv,circ_mv,free_share,float_share,trade_date_mf,mf_net_amount,mf_net_amount_rate,mf_buy_elg_amount,mf_buy_elg_amount_rate,mf_buy_lg_amount,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
002916.SZ,深南电路,20260302,20260227,2026-03-02 16:33:14,20260227,1.8413,1.14,19444581.6209,18977650.5597,23832.0179,66480.945,20260227,14069.95,4.07,3776.26,1.09,10293.69,2.98,20260302,314.01,256.91,14:58:15.686,289.77,285.46,1.509843760947244,295.66,278.58,0.6551522248243543,0.0052,0.6902025744569367,5.998512859794769,289.77,289.79,34769.54,5796.36,120.0,20.0,126710.0,3630137088.0,286.4917597663957,1.1313249244588002,67460.0,59251.0,0.5323968116170784,moneyflow_dc,100.0,True,True,True,True,False,BUY
301398.SZ,星源卓镁,20260302,20260227,2026-03-02 16:33:14,20260227,10.9768,2.7,719488.0,239094.856,3346.0,3721.9,20260227,1090.59,4.22,81.42,0.31,1009.16,3.9,20260302,77.09,51.39,15:29:20.922,65.14,64.24,1.4009962640099716,65.48,61.52,0.9141414141414133,-0.0014000000000000002,1.535155050660902,3.613749274091128,65.14,65.15,20970.84,5803.07,322.0,89.0,37937.0,241955328.0,63.778192266125416,2.090586020685577,19898.0,18039.0,0.524501146637847,moneyflow_dc,99.95,True,True,True,True,False,BUY
000969.SZ,安泰科技,20260302,20260227,2026-03-02 16:33:14,20260227,6.0887,1.63,2679874.9817,2637086.1633,66453.4417,103374.6046,20260227,10123.19,6.36,6179.33,3.88,3943.86,2.48,20260302,28.06,22.96,14:59:50.428,26.6,25.51,4.272834182673461,26.6,25.3,1.0,0.0042,3.7593984962398537,25.18626619179685,26.6,26.61,421830.92,16748.45,15862.0,629.0,901657.0,2335730688.0,25.904869457010815,2.6132727180044615,460569.0,441088.0,0.5108028884598024,moneyflow_dc,99.25,True,True,True,True,False,BUY
600309.SH,万华化学,20260302,20260227,2026-03-02 16:33:14,20260227,1.4931,1.19,29113386.1218,29113386.1218,182051.9021,313047.1626,20260227,4915.77,1.14,2463.83,0.57,2451.94,0.57,20260302,102.3,83.7,14:59:26.408,94.32,93.0,1.41935483870967,95.2,91.88,0.7349397590361423,0.0006,1.0602205258699233,6.553572718321239,94.32,94.33,252248.98,38490.3,2675.0,408.0,513070.0,4802574336.0,93.6046608844797,0.7584172132318638,251520.0,261551.0,0.4902255052916756,moneyflow_dc,98.6,True,True,True,True,False,BUY
600362.SH,江西铜业,20260302,20260227,2026-03-02 16:33:14,20260227,2.4894,1.15,20097681.4666,12044735.9386,86976.8295,207524.7405,20260227,4188.46,1.41,7546.16,2.53,-3357.7,-1.13,20260302,63.84,52.24,14:59:39.264,59.61,58.04,2.705031013094418,60.3,55.72,0.8493449781659393,-0.0001,1.677570877369235,3.488304356475221,59.6,59.61,149751.72000000003,42929.659999999996,2513.0,720.0,892222.0,5157671424.0,57.80704156588831,3.024590562173607,428176.0,464047.0,0.479898500597385,moneyflow_dc,98.47,True,True,True,True,False,BUY
301518.SZ,长华化学,20260302,20260227,2026-03-02 16:33:14,20260227,6.3688,0.48,669887.1166,246361.2971,5265.8302,5349.8653,20260227,-16.64,-0.11,135.49,0.86,-152.12,-0.97,20260302,55.26,36.84,15:29:32.142,46.44,46.05,0.8469055374592847,46.82,43.6,0.8819875776397507,-0.0008,2.1533161068055806,6.261974984693431,46.44,46.45,35796.58,5716.5,771.0,123.0,57882.0,262347536.0,45.32454580007602,2.401925495099012,29181.0,28701.0,0.5041463667461387,moneyflow_dc,98.45,True,True,True,True,False,BUY
688375.SH,国博电子,20260302,20260227,2026-03-02 16:33:14,20260227,1.2047,1.1,7329195.2253,7329195.2253,16937.8309,59601.49,20260227,1113.65,1.28,-1677.47,-1.93,2791.13,3.21,20260302,147.56,98.38,15:28:48.906,126.5,122.97,2.8706188501260477,129.0,119.0,0.75,0.0036,0.7905138339924993,3.6849789350468467,126.5,126.51,7460.9400000000005,2024.69,59.0,16.0,117985.0,1470985216.0,124.6756126626266,1.4422034287536718,59636.0,58349.0,0.5054540831461627,moneyflow_dc,98.01,True,True,True,True,False,BUY
301070.SZ,开勒股份,20260302,20260227,2026-03-02 16:33:14,20260227,4.2367,2.0,584960.0527,384797.1684,4849.3088,5935.48,20260227,95.6,0.59,1183.71,7.36,-1088.1,-6.76,20260302,77.8,51.86,15:29:20.046,66.6,64.83,2.7302174919018913,67.46,64.01,0.7507246376811587,0.0027,1.50150150150227,4.5720843995829785,66.6,66.61,23155.230000000003,5064.4800000000005,348.0,76.0,31907.0,210739088.0,66.04791675807816,0.8289538166994521,17416.0,14492.0,0.5458363368539819,moneyflow_dc,97.67,True,True,True,True,False,BUY
603067.SH,振华股份,20260302,20260227,2026-03-02 16:33:14,20260227,4.3295,1.18,2899901.9302,2899901.9302,44594.521,71076.0277,20260227,3877.5,3.1,3817.32,3.06,60.19,0.05,20260302,44.88,36.72,14:59:45.388,42.6,40.8,4.411764705882364,43.05,41.1,0.7692307692307709,-0.0032,2.34741784037512,23.363926732910333,42.59,42.6,48789.72,2088.25,1146.0,49.0,310920.0,1317535488.0,42.37538556541876,0.5272639309418805,169536.0,141384.0,0.5452720957159398,moneyflow_dc,97.55,True,True,True,True,False,BUY
603737.SH,三棵树,20260302,20260227,2026-03-02 16:33:14,20260227,0.4071,0.58,3860261.0187,3860261.0187,24336.3845,73781.7473,20260227,77.23,0.49,-398.3,-2.54,475.52,3.03,20260302,57.55,47.09,14:59:40.585,53.94,52.32,3.0963302752293527,54.25,51.24,0.8970099667774079,-0.001,1.8539117538014678,2.5727420670106587,53.94,53.95,21674.4,8424.63,402.0,156.0,54549.0,290530016.0,53.260374342334416,1.2599659949306306,33948.0,20601.0,0.6223395479293846,moneyflow_dc,97.36,True,True,True,True,False,BUY
