market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2,liutongguben_raw,liutongguben_factor,流通盘,circulating,turnover_low_ratio,turnover_low_ok,ma20,ma20_support_ok
0,000526,1318,38.34,38.4,38.68,38.69,38.15,14:59:46.201,14996167,-3834,14338,196,55019512.0,8264,6075,0,4293,38.33,38.34,13,41,38.32,38.35,47,43,38.31,38.36,6,47,38.3,38.37,13,65,38.29,38.38,27,45,"(4950,)",0,0,0,0,0.03,1318,119459501.953125,20,18,20251105,19931101,121861103.515625,25830000.0,1757280000.0,22468170000.0,0.0,0.0,19500.00047683716,42322980000.0,15716176250.0,1927821093.75,78358002.9296875,16988.0,27625010000.0,-276324003.90625,9569590625.0,9972450000.0,26129512500.0,17281623750.0,111062998.046875,2885261875.0,136429003.90625,7617811250.0,-904396953.125,233398007.8125,2847046250.0,2266232031.25,2311136875.0,219426992.1875,8.184000015258789,9.0,119459501.953125,1,4580077304.8828125,4580077304.8828125,0.9,True,7.995,True
0,000576,2458,10.78,10.63,10.71,10.9,10.63,14:59:56.123,14998923,-1078,83720,566,90175592.0,42722,40998,0,3224,10.78,10.79,463,98,10.77,10.8,79,396,10.76,10.81,328,100,10.75,10.82,339,183,10.74,10.83,90,172,"(86,)",0,0,0,0,0.0,2458,433815312.5,12,29,20251025,19940907,436418203.125,12390000.0,200283808.59375,2783806562.5,0.0,0.0,1800.0000715255735,22607022500.0,10497832500.0,1083208984.375,262193984.375,37910.0,3087855937.5,598833007.8125,6696043750.0,16513701250.0,3611437812.5,1967300937.5,4618062187.5,736362031.25,433380000.0,113981992.1875,-84582001.953125,2612389062.5,1045562968.75,795052031.25,775312968.75,4405407812.5,3.783999919891357,9.0,433815312.5,1,4676529068.75,4676529068.75,0.8,True,7.928,True
0,000590,2369,12.28,11.76,11.87,12.42,11.87,14:59:55.583,14998773,-1228,117694,969,144010656.0,42534,75161,0,16642,12.28,12.29,444,459,12.27,12.3,108,921,12.26,12.31,78,593,12.25,12.32,174,178,12.24,12.33,99,74,"(3734,)",0,0,0,0,0.08,2369,239371406.25,21,34,20251223,19960119,239471308.59375,12270000.0,-284544707.03125,2162311875.0,0.0,0.0,-599.9999865889549,9455893125.0,4312295000.0,2845903750.0,1261262968.75,17617.0,1624625000.0,24270000.0,4740643125.0,5834255000.0,2248157031.25,1198992031.25,32345000.0,-123868007.8125,922999.9542236328,331316992.1875,-195907988.28125,1149050937.5,-127360996.09375,-150629003.90625,-148206005.859375,-1760085000.0,2.436000108718872,9.0,239371406.25,1,2939480868.75,2939480868.75,1.0,True,7.835500000000001,True
0,000626,1633,7.75,7.74,7.81,7.83,7.72,14:59:57.214,14999226,-775,52890,383,41024376.0,26954,25936,0,2046,7.75,7.76,155,397,7.74,7.77,644,1417,7.73,7.78,602,408,7.72,7.79,1041,680,7.71,7.8,557,479,"(22,)",0,0,0,0,0.13,1633,503716484.375,26,13,20251027,19961128,506626914.0625,15510000.0,-760738203.125,666028720000.0,0.0,0.0,599.9999865889549,84251170000.0,70833560000.0,4191601875.0,1166690000.0,22483.0,54422830000.0,2434477968.75,13182611250.0,23759547500.0,634836840000.0,632456760000.0,12269910000.0,712163984.375,2135000937.5,-4645909062.5,-1755871093.75,10092249375.0,808991015.625,467078984.375,321810000.0,5134396875.0,4.690000057220459,9.0,503716484.375,1,3903802753.90625,3903802753.90625,1.0,True,7.667500000000001,True
0,000635,1694,10.22,10.17,10.22,10.3,10.11,14:59:56.324,14998979,-1022,50858,548,51920000.0,28636,22223,1,501,10.22,10.23,69,119,10.21,10.24,22,293,10.2,10.25,130,346,10.19,10.26,209,144,10.17,10.27,30,56,"(5078,)",0,0,0,0,0.1,1694,303087597.65625,14,19,20260203,19961120,394133593.75,12260000.0,-2579159062.5,13759887500.0,0.0,0.0,-7900.000214576721,29931522500.0,7968965625.0,19440615000.0,604281992.1875,20348.0,12829900000.0,0.0,24680805000.0,15433193750.0,12800352500.0,14251660000.0,435480000.0,-2443189062.5,1031000.0610351562,-3055826875.0,4333207812.5,945369062.5,-2407000000.0,-2474253906.25,-2474253906.25,-14513476250.0,3.9159998893737793,9.0,303087597.65625,1,3097555248.046875,3097555248.046875,1.0,True,7.8115,True
0,000668,589,14.06,13.94,13.8,14.26,13.78,14:59:54.942,14998595,-1406,18937,182,26548332.0,9858,9079,1,2594,14.06,14.07,29,64,14.05,14.08,108,43,14.01,14.1,18,120,14.0,14.13,274,58,13.98,14.14,51,103,"(22,)",0,0,0,0,0.36,589,146841904.296875,15,11,20260204,19961210,146841904.296875,20700000.0,-343300781.25,387380390.625,0.0,0.0,-1899.999976158142,12838371250.0,5843795000.0,11155999.755859377,720000.0,4536.0,4196735937.5,92030000.0,898896953.125,7063688125.0,1849923125.0,1808518906.25,689167031.25,-323054003.90625,0.0,-187010000.0,-434893007.8125,4750803125.0,-339803007.8125,-277766992.1875,-274040000.0,3571830937.5,4.809999942779541,9.0,146841904.296875,1,2064597174.4140625,2064597174.4140625,0.95,True,8.060500000000001,True
0,000691,959,8.51,8.54,8.48,8.65,8.4,14:59:56.940,14999150,-851,52385,849,44685672.0,27707,24678,-3,11719,8.51,8.53,46,200,8.5,8.54,951,569,8.49,8.55,236,1088,8.48,8.56,120,339,8.47,8.57,77,122,"(2902,)",0,0,0,0,-0.22,959,323270000.0,4,19,20260204,19970228,484905000.0,12260000.0,-210231191.40625,3484459375.0,0.0,0.0,-1199.99997317791,5719617500.0,2928930000.0,2209980000.0,240788984.375,15659.0,5161551250.0,1258521953.125,1862900937.5,-1028495000.0,3526185937.5,3152439062.5,634235000.0,-248484003.90625,77999.99713897705,105703007.8125,51478999.0234375,838130937.5,-420968984.375,-417827968.75,-381348007.8125,-6277146875.0,-0.3179999887943268,9.0,323270000.0,1,2751027700.0,2751027700.0,0.95,True,8.1515,True
0,000702,1958,7.2,7.1,7.14,7.2,7.07,14:59:57.412,14999281,-720,60425,1316,43259916.0,23551,36875,0,1292,7.19,7.2,449,1316,7.18,7.21,789,1790,7.17,7.22,69,4348,7.16,7.23,28,240,7.15,7.24,514,264,"(5398,)",0,0,0,0,0.14,1958,266634609.375,21,17,20251028,19970318,346625000.0,12130000.0,-222408808.59375,7847202500.0,0.0,0.0,-299.99999329447746,5055842187.5,2194817031.25,1261951953.125,59396000.9765625,31981.0,2025075000.0,-587312968.75,4365423125.0,3520348750.0,7968913125.0,7408031250.0,798817031.25,-101769003.90625,1779000.0915527344,-361137968.75,-2281807968.75,864192031.25,-99528994.140625,-101607001.953125,-104797998.046875,-4844605937.5,1.0160000324249268,9.0,266634609.375,1,1919769187.5,1919769187.5,1.0,True,6.623,True
0,000705,1523,9.61,9.51,9.59,9.64,9.55,14:59:56.544,14999040,-961,53442,694,51299680.0,25583,27859,0,11096,9.6,9.61,480,7,9.59,9.62,119,470,9.58,9.63,541,1238,9.57,9.64,217,938,9.56,9.65,170,743,"(22,)",0,0,0,0,-0.09,1523,281960703.125,28,12,20251031,19970410,334123281.25,15510000.0,435689414.0625,28516245000.0,0.0,0.0,1700.0000178813934,30307602500.0,14712365000.0,7279580000.0,1004245000.0,35792.0,6772028125.0,0.0,5197368125.0,20174685000.0,17796306250.0,13179162500.0,3187190000.0,669986015.625,333143984.375,300290000.0,-113631992.1875,4989335000.0,651073007.8125,560447031.25,560599023.4375,9790855000.0,6.038000106811523,9.0,281960703.125,1,2709642357.03125,2709642357.03125,1.0,True,6.808,True
0,000713,1750,6.85,6.84,6.86,6.86,6.82,14:59:57.538,14999316,-685,102498,1000,70102376.0,62296,40203,0,6003,6.84,6.85,1990,1988,6.83,6.86,6120,1339,6.82,6.87,4424,778,6.81,6.88,2648,1151,6.8,6.89,7783,776,"(5910,)",0,0,0,0,0.0,1750,614015000.0,24,17,20260202,19970422,798219531.25,10050000.0,-710513437.5,17204847500.0,0.0,0.0,-1500.0000596046448,35230580000.0,21051065000.0,5612451250.0,2605852968.75,67378.0,13275597500.0,758927031.25,4471451250.0,19058286250.0,15255948750.0,13858056250.0,2664196250.0,-958367031.25,18307000.732421875,1364962031.25,1204000000.0,9876150000.0,-973710000.0,-977200937.5,-907137968.75,7355656250.0,3.1040000915527344,9.0,614015000.0,1,4206002750.0,4206002750.0,0.85,True,6.648000000000001,True
