时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-28 09:30:00,0.0,10.94,10.94,10.94,4419,4833948.0,10.94
2026-01-28 09:31:00,0.0,10.95,10.97,10.94,13016,14257427.0,10.951
2026-01-28 09:32:00,0.0,10.95,10.95,10.94,8057,8820183.0,10.95
2026-01-28 09:33:00,0.0,10.95,10.97,10.95,8001,8766074.0,10.951
2026-01-28 09:34:00,0.0,10.95,10.96,10.94,10077,11038202.0,10.952
2026-01-28 09:35:00,0.0,10.96,10.96,10.94,8058,8820954.0,10.951
2026-01-28 09:36:00,0.0,10.94,10.96,10.94,6881,7531830.0,10.95
2026-01-28 09:37:00,0.0,10.94,10.94,10.93,11645,12741011.0,10.949
2026-01-28 09:38:00,0.0,10.94,10.95,10.93,7642,8361105.0,10.948
2026-01-28 09:39:00,0.0,10.93,10.94,10.93,6904,7552281.0,10.947
2026-01-28 09:40:00,0.0,10.93,10.94,10.93,6547,7158404.0,10.946
2026-01-28 09:41:00,0.0,10.92,10.93,10.91,61697,67405277.0,10.938
2026-01-28 09:42:00,0.0,10.91,10.93,10.91,12026,13129424.0,10.936
2026-01-28 09:43:00,0.0,10.92,10.93,10.91,8039,8777245.0,10.936
2026-01-28 09:44:00,0.0,10.92,10.93,10.92,5344,5836930.0,10.935
2026-01-28 09:45:00,0.0,10.91,10.93,10.91,5247,5729185.0,10.935
2026-01-28 09:46:00,0.0,10.91,10.92,10.91,3817,4165139.0,10.934
2026-01-28 09:47:00,0.0,10.92,10.92,10.91,7829,8546638.0,10.934
2026-01-28 09:48:00,0.0,10.93,10.94,10.92,6353,6942952.0,10.933
2026-01-28 09:49:00,0.0,10.92,10.93,10.92,3985,4355193.0,10.933
2026-01-28 09:50:00,0.0,10.92,10.93,10.92,6251,6826901.0,10.933
2026-01-28 09:51:00,0.0,10.92,10.93,10.91,4681,5110702.0,10.933
2026-01-28 09:52:00,0.0,10.93,10.93,10.91,3090,3373399.0,10.932
2026-01-28 09:53:00,0.0,10.92,10.93,10.92,2727,2978548.0,10.932
2026-01-28 09:54:00,0.0,10.93,10.94,10.92,6224,6801655.0,10.932
2026-01-28 09:55:00,0.0,10.94,10.94,10.93,4287,4689082.0,10.932
2026-01-28 09:56:00,0.0,10.95,10.95,10.93,1154,1262715.0,10.932
2026-01-28 09:57:00,0.0,10.94,10.95,10.93,2617,2861257.0,10.932
2026-01-28 09:58:00,0.0,10.93,10.95,10.93,2136,2335760.0,10.932
2026-01-28 09:59:00,0.0,10.93,10.94,10.93,1807,1975751.0,10.932
2026-01-28 10:00:00,0.0,10.93,10.95,10.93,3281,3589010.0,10.933
2026-01-28 10:01:00,0.0,10.95,10.95,10.94,3605,3944909.0,10.933
2026-01-28 10:02:00,0.0,10.95,10.95,10.94,5529,6052801.0,10.933
2026-01-28 10:03:00,0.0,10.95,10.96,10.95,3033,3322040.0,10.933
2026-01-28 10:04:00,0.0,10.95,10.96,10.95,5019,5497371.0,10.934
2026-01-28 10:05:00,0.0,10.96,10.96,10.95,2770,3034208.0,10.934
2026-01-28 10:06:00,0.0,10.95,10.96,10.95,1839,2014597.0,10.934
2026-01-28 10:07:00,0.0,10.96,10.96,10.95,2033,2226476.0,10.934
2026-01-28 10:08:00,0.0,10.95,10.96,10.94,3517,3851352.0,10.934
2026-01-28 10:09:00,0.0,10.96,10.96,10.94,3732,4086084.0,10.935
2026-01-28 10:10:00,0.0,10.96,10.97,10.95,9159,10038558.0,10.935
2026-01-28 10:11:00,0.0,10.96,10.97,10.96,7987,8760626.0,10.936
2026-01-28 10:12:00,0.0,10.97,10.98,10.96,8695,9539015.0,10.937
2026-01-28 10:13:00,0.0,10.96,10.97,10.96,8016,8786306.0,10.938
2026-01-28 10:14:00,0.0,10.96,10.97,10.96,1456,1595954.0,10.938
2026-01-28 10:15:00,0.0,10.97,10.97,10.96,1588,1741013.0,10.938
2026-01-28 10:16:00,0.0,10.96,10.97,10.96,2031,2226932.0,10.938
2026-01-28 10:17:00,0.0,10.96,10.97,10.96,2167,2375896.0,10.938
2026-01-28 10:18:00,0.0,10.96,10.97,10.96,1372,1504312.0,10.939
2026-01-28 10:19:00,0.0,10.97,10.98,10.96,7352,8065884.0,10.939
2026-01-28 10:20:00,0.0,10.96,10.98,10.96,4411,4838723.0,10.94
2026-01-28 10:21:00,0.0,10.96,10.97,10.96,3567,3911544.0,10.94
2026-01-28 10:22:00,0.0,10.95,10.97,10.95,8923,9777940.0,10.94
2026-01-28 10:23:00,0.0,10.96,10.96,10.95,1956,2142194.0,10.941
2026-01-28 10:24:00,0.0,10.95,10.96,10.95,4084,4474937.0,10.941
2026-01-28 10:25:00,0.0,10.95,10.96,10.95,2496,2734380.0,10.941
2026-01-28 10:26:00,0.0,10.95,10.96,10.95,1947,2132198.0,10.941
2026-01-28 10:27:00,0.0,10.95,10.96,10.94,2986,3271057.0,10.941
2026-01-28 10:28:00,0.0,10.94,10.96,10.94,4437,4857151.0,10.941
2026-01-28 10:29:00,0.0,10.94,10.95,10.94,4047,4427653.0,10.941
2026-01-28 10:30:00,0.0,10.94,10.95,10.94,4737,5182832.0,10.941
2026-01-28 10:31:00,0.0,10.95,10.95,10.94,4538,4966569.0,10.941
2026-01-28 10:32:00,0.0,10.94,10.95,10.94,3978,4352778.0,10.941
2026-01-28 10:33:00,0.0,10.95,10.95,10.93,3502,3831752.0,10.941
2026-01-28 10:34:00,0.0,10.96,10.96,10.94,5041,5523243.0,10.941
2026-01-28 10:35:00,0.0,10.96,10.97,10.95,3850,4222116.0,10.942
2026-01-28 10:36:00,0.0,10.97,10.98,10.96,9137,10023699.0,10.942
2026-01-28 10:37:00,0.0,10.97,10.98,10.97,2682,2942754.0,10.942
2026-01-28 10:38:00,0.0,10.97,10.98,10.97,4452,4886355.0,10.943
2026-01-28 10:39:00,0.0,10.97,10.98,10.97,3767,4133967.0,10.943
2026-01-28 10:40:00,0.0,10.97,10.98,10.97,2020,2217037.0,10.943
2026-01-28 10:41:00,0.0,10.98,10.98,10.97,1480,1624297.0,10.943
2026-01-28 10:42:00,0.0,10.98,10.99,10.98,20277,22267053.0,10.945
2026-01-28 10:43:00,0.0,10.97,10.99,10.97,7349,8067421.0,10.946
2026-01-28 10:44:00,0.0,10.97,10.98,10.97,7687,8434748.0,10.946
2026-01-28 10:45:00,0.0,10.96,10.97,10.96,3673,4026533.0,10.946
2026-01-28 10:46:00,0.0,10.95,10.97,10.95,3709,4065578.0,10.946
2026-01-28 10:47:00,0.0,10.95,10.96,10.95,3978,4356687.0,10.946
2026-01-28 10:48:00,0.0,10.95,10.95,10.94,6469,7082317.0,10.947
2026-01-28 10:49:00,0.0,10.96,10.96,10.94,6227,6815712.0,10.946
2026-01-28 10:50:00,0.0,10.94,10.95,10.94,4840,5295530.0,10.946
2026-01-28 10:51:00,0.0,10.94,10.95,10.93,9704,10614271.0,10.946
2026-01-28 10:52:00,0.0,10.94,10.94,10.93,6532,7141383.0,10.946
2026-01-28 10:53:00,0.0,10.93,10.94,10.93,10272,11226395.0,10.946
2026-01-28 10:54:00,0.0,10.94,10.94,10.92,7334,8014622.0,10.945
2026-01-28 10:55:00,0.0,10.94,10.94,10.92,4303,4702833.0,10.945
2026-01-28 10:56:00,0.0,10.94,10.94,10.92,4620,5050263.0,10.945
2026-01-28 10:57:00,0.0,10.92,10.94,10.92,3263,3566677.0,10.945
2026-01-28 10:58:00,0.0,10.94,10.94,10.92,4733,5170689.0,10.945
2026-01-28 10:59:00,0.0,10.93,10.94,10.92,3274,3577444.0,10.945
2026-01-28 11:00:00,0.0,10.92,10.94,10.92,5608,6126603.0,10.945
2026-01-28 11:01:00,0.0,10.92,10.93,10.92,5325,5816316.0,10.944
2026-01-28 11:02:00,0.0,10.92,10.93,10.92,7201,7865256.0,10.944
2026-01-28 11:03:00,0.0,10.92,10.93,10.92,3509,3832843.0,10.944
2026-01-28 11:04:00,0.0,10.93,10.93,10.92,2939,3211086.0,10.944
2026-01-28 11:05:00,0.0,10.93,10.94,10.92,1655,1808801.0,10.944
2026-01-28 11:06:00,0.0,10.93,10.94,10.92,10970,11989556.0,10.944
2026-01-28 11:07:00,0.0,10.93,10.93,10.92,2111,2305896.0,10.944
