ts_code,buy_date,sell_date,buy_price,sell_price,shares,profit,profit_rate,sell_reason
00008.sz,20260112,20260113,3.21,2.74,31100,-14616.999999999993,-14.641744548286598,低开-10.0%，止损全出
00032.sz,20260112,20260113,22.82,17.89,3900,-19227.0,-21.603856266432953,低开-10.0%，止损全出
00004.sz,20260113,20260114,11.14,3.18,8600,-68456.00000000001,-71.45421903052065,低开-10.0%，止损全出
00027.sz,20260114,20260115,7.05,6.63,12700,-5333.999999999999,-5.957446808510637,低开-5.7%，止损全出
00021.sz,20260115,20260116,28.1,28.1,3100,0.0,0.0,平开0.4%，不翻红全出
00026.sz,20260119,20260120,17.25,14.92,5100,-11883.0,-13.507246376811594,低开-10.0%，止损全出
00008.sz,20260119,20260120,3.13,2.74,25600,-9983.999999999993,-12.460063897763568,低开-10.0%，止损全出
00035.sz,20260119,20260120,6.12,6.62,11800,2950.0,8.169934640522875,高开10.0%，卖半仓锁定利润
00048.sz,20260119,20260120,15.29,15.35,4200,252.0000000000021,0.3924133420536331,高开3.0%，开盘全卖
00031.sz,20260120,20260121,3.25,2.94,25700,-7967.000000000002,-9.53846153846154,低开-10.0%，止损全出
00004.sz,20260120,20260121,11.45,3.18,6500,-53755.0,-72.22707423580786,低开-10.0%，止损全出
00048.sz,20260120,20260121,16.82,15.35,4000,-5880.000000000003,-8.739595719381692,低开-6.4%，止损全出
00017.sz,20260121,20260122,8.02,6.86,9600,-11135.999999999993,-14.463840399002484,低开-10.0%，止损全出
00045.sz,20260121,20260122,13.64,12.17,5000,-7350.000000000004,-10.777126099706749,低开-10.0%，止损全出
00048.sz,20260121,20260122,18.5,15.35,3300,-10395.000000000002,-17.027027027027028,低开-10.0%，止损全出
00036.sz,20260121,20260122,6.17,4.92,9100,-11375.0,-20.25931928687196,低开-10.0%，止损全出
00010.sz,20260121,20260122,3.68,3.75,13700,958.9999999999978,1.9021739130434738,平开1.6%，不翻红全出
00008.sz,20260122,20260123,3.24,2.74,22500,-11250.0,-15.432098765432098,低开-10.0%，止损全出
00032.sz,20260122,20260123,21.75,17.89,3000,-11579.999999999998,-17.747126436781606,低开-10.0%，止损全出
00036.sz,20260122,20260123,6.79,4.92,8700,-16269.000000000002,-27.540500736377027,低开-10.0%，止损全出
00039.sz,20260122,20260123,9.9,11.91,5300,5326.499999999999,20.3030303030303,高开10.0%，卖半仓锁定利润
00048.sz,20260123,20260126,18.98,15.35,3500,-12705.000000000004,-19.125395152792414,低开-10.0%，止损全出
00026.sz,20260123,20260126,16.93,14.92,3500,-7034.999999999999,-11.872415829887773,低开-10.0%，止损全出
00028.sz,20260126,20260127,26.48,26.24,2400,-576.0000000000048,-0.9063444108761405,平开-1.1%，不翻红全出
00017.sz,20260128,20260129,8.55,6.86,7600,-12844.000000000004,-19.76608187134503,低开-10.0%，止损全出
00002.sz,20260129,20260130,5.13,3.89,11200,-13887.999999999998,-24.17153996101364,低开-10.0%，止损全出
00029.sz,20260129,20260130,21.97,20.37,2300,-3679.999999999995,-7.282658170232126,低开-8.1%，止损全出
00031.sz,20260129,20260130,3.73,2.94,12600,-9954.0,-21.179624664879356,低开-10.0%，止损全出
00004.sz,20260130,20260202,12.62,3.18,4300,-40592.0,-74.80190174326466,低开-10.0%，止损全出
00021.sz,20260130,20260202,32.49,28.1,1500,-6585.000000000001,-13.511849799938444,低开-10.0%，止损全出
00028.sz,20260204,20260205,26.57,26.24,1800,-594.0000000000033,-1.242002258185931,平开-1.5%，不翻红全出
00002.sz,20260204,20260205,4.9,3.89,9300,-9393.000000000002,-20.612244897959187,低开-10.0%，止损全出
00011.sz,20260204,20260205,9.15,8.39,4400,-3343.999999999999,-8.306010928961745,低开-7.7%，止损全出
00012.sz,20260204,20260205,4.77,4.49,7700,-2155.999999999995,-5.870020964360574,低开-6.7%，止损全出
00045.sz,20260206,20260209,12.9,12.17,3700,-2701.0000000000014,-5.6589147286821735,低开-5.5%，止损全出
00016.sz,20260206,20260209,3.68,3.13,11900,-6545.000000000003,-14.945652173913048,低开-10.0%，止损全出
00007.sz,20260206,20260209,11.82,13.68,3300,3068.999999999999,15.736040609137051,高开10.0%，卖半仓锁定利润
00021.sz,20260209,20260210,28.84,28.1,1600,-1183.9999999999975,-2.565880721220522,低开-2.2%，止损全出
00016.sz,20260209,20260210,4.05,3.13,10300,-9476.0,-22.71604938271605,低开-10.0%，止损全出
00029.sz,20260211,20260212,23.21,20.37,1900,-5396.0,-12.236105127100387,低开-10.0%，止损全出
00048.sz,20260212,20260213,18.06,15.35,2400,-6503.999999999998,-15.005537098560351,低开-10.0%，止损全出
